dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,gender
500,15,109,78,125,47,62,0,109,46,110,94,78,110,109,94,79,1
93,375,110,93,110,109,203,0,125,141,78,125,109,63,78,110,94,1
156,47,141,109,109,31,78,78,31,15,78,62,47,125,47,47,31,1
78,156,47,47,31,156,16,531,31,47,31,62,94,0,62,109,32,1
78,156,31,47,109,31,78,671,31,78,16,62,47,125,47,47,0,1
110,15,141,110,110,31,125,125,125,63,203,93,47,141,31,16,46,1
47,31,94,125,16,110,94,0,125,0,16,79,0,93,47,78,0,1
32,62,203,16,110,31,125,657,15,250,94,93,47,141,31,16,93,1
94,62,63,63,63,172,78,78,78,78,63,106,47,125,63,94,63,1
78,47,63,62,79,62,63,78,47,94,78,31,78,109,63,176,63,1
63,62,62,94,63,172,78,62,78,78,74,106,47,125,63,94,62,1
78,78,109,109,109,79,109,109,78,47,110,109,140,16,62,203,32,2
78,47,93,63,125,63,62,0,141,94,78,63,109,16,78,63,78,2
78,16,78,62,109,79,109,0,94,125,63,109,140,16,62,203,78,2
375,16,62,94,94,156,250,250,141,109,109,62,94,62,94,47,156,2
94,31,63,47,47,47,62,0,141,47,78,63,79,78,62,62,16,2
171,63,94,125,94,156,250,62,94,63,109,62,94,62,94,47,78,2
109,47,78,94,94,141,250,250,47,62,47,78,32,141,31,78,16,2
63,15,94,94,78,172,16,0,47,47,94,78,31,94,31,63,16,2
32,93,62,78,94,141,250,906,47,94,91,78,32,141,31,78,110,2
62,16,62,78,78,31,109,109,63,62,62,359,218,47,16,47,16,2
47,359,63,32,62,16,47,0,94,31,62,94,94,15,62,156,16,2
63,78,78,79,78,31,109,0,94,125,62,359,218,47,16,47,47,2
172,437,78,94,94,31,140,140,62,93,94,109,62,94,62,94,125,2
219,15,94,94,94,62,78,0,62,31,94,63,94,109,62,78,16,2
140,110,94,78,94,31,140,109,78,109,62,109,62,94,62,94,78,2
57,4369,69,90,90,63,80,80,110,89,79,78,69,111,41,78,81,2
192,4,98,65,78,31,78,70,65,89,94,150,78,94,94,62,79,2
74,6,79,104,90,63,80,73,103,11,47,78,69,111,41,78,78,2
110,156,94,109,109,63,172,172,109,79,109,78,156,63,141,47,15,2
94,15,78,63,156,16,78,0,109,109,110,63,110,47,62,94,410,2
187,78,78,78,109,63,172,0,109,93,141,78,156,63,141,47,125,2
93,32,63,93,93,32,187,187,78,63,78,78,94,78,47,15,20,2
125,32,94,93,62,16,62,110,78,47,94,63,94,31,63,172,32,2
78,78,78,93,93,32,187,109,63,63,94,78,94,78,47,15,125,2
62,141,63,78,78,219,62,62,47,63,94,1015,79,125,62,203,62,2
62,78,47,46,62,63,78,63,78,79,63,62,93,110,93,62,47,2
31,109,47,62,78,219,62,47,109,94,63,1015,79,125,62,203,63,2
109,125,78,125,125,63,109,109,125,94,94,109,78,93,203,47,47,2
94,16,78,78,94,31,110,78,187,16,109,78,109,110,62,94,78,2
125,0,94,94,125,63,109,93,110,94,94,109,78,93,203,47,94,2
93,47,110,94,94,31,79,79,140,78,110,79,125,62,109,15,31,2
94,16,62,47,78,32,78,98,124,62,94,93,79,93,140,78,62,2
79,31,46,62,94,31,79,94,125,78,78,79,125,62,109,15,62,2
94,31,79,79,79,15,140,140,90,109,110,78,94,94,47,0,16,2
94,0,62,78,78,32,94,0,93,31,78,78,78,94,78,78,78,2
62,16,62,78,79,15,140,0,125,62,109,78,94,94,47,0,94,2
63,343,46,47,47,62,78,78,79,62,156,156,63,109,62,234,47,2
63,0,47,47,93,47,63,125,141,110,78,47,62,125,63,63,16,2
203,47,62,47,47,62,78,79,110,62,47,156,63,109,62,234,62,2
140,31,109,94,94,62,172,172,100,94,94,62,141,62,125,109,16,2
125,32,94,78,93,32,78,94,110,16,94,46,109,31,110,78,16,2
31,109,63,94,94,62,172,78,125,79,516,62,141,62,125,109,79,2
63,78,62,62,62,63,78,78,79,63,78,94,78,93,63,78,47,2
78,62,62,62,63,78,63,63,62,78,63,63,78,94,63,93,78,2
94,78,62,78,62,63,78,47,63,62,78,94,78,93,63,78,63,2
109,47,31,78,78,47,125,125,47,93,78,78,47,63,109,110,16,2
47,16,78,110,16,93,32,484,47,609,16,78,31,62,79,109,0,2
94,156,78,110,78,47,125,0,62,31,78,78,47,63,109,110,16,2
94,32,78,62,62,157,78,78,62,79,94,79,79,78,78,63,94,2
94,16,78,63,93,0,94,109,78,125,110,78,78,110,78,78,78,2
110,78,93,78,62,157,78,47,94,140,79,79,79,78,78,63,94,2
94,109,63,63,63,94,78,78,63,63,63,109,78,94,63,188,78,2
94,47,78,63,62,63,62,63,78,62,78,78,63,109,78,62,63,2
63,62,47,63,63,94,78,63,47,63,62,109,78,94,63,188,47,2
78,47,125,156,156,0,78,78,180,63,266,62,31,109,47,93,31,2
94,15,125,78,15,78,47,141,187,62,156,63,15,125,46,63,16,2
47,47,78,94,156,0,78,0,172,125,31,62,31,109,47,93,63,2
62,79,94,78,78,62,109,109,125,94,110,94,141,0,62,93,31,2
78,125,94,63,47,78,31,110,125,78,156,46,63,172,16,125,78,2
78,31,31,156,78,62,109,0,94,78,63,94,141,0,62,93,78,2
