dtfk1,ft1,dtsk1,ft2,dtsk2,dtfk3,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtfk8,dtsk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
78,47,78,47,94,93,63,62,0,31,141,109,78,63,110,63,109,16,78,63,78,16,78,2
78,16,78,31,125,78,79,109,0,16,94,109,63,125,94,109,140,16,62,203,78,16,62,2
375,16,78,94,62,62,156,250,250,31,141,62,109,141,235,62,94,62,94,47,156,47,110,2
94,31,78,31,110,63,47,62,0,32,141,125,78,110,47,63,79,78,62,62,16,31,78,2
171,63,16,63,31,94,156,250,62,94,94,15,109,94,47,62,94,62,94,47,78,47,110,2
109,47,172,31,78,78,141,250,250,47,47,47,47,47,94,78,32,141,31,78,16,31,78,2
63,15,109,62,109,94,172,16,0,47,47,125,94,49,47,78,31,94,31,63,16,31,110,2
32,93,16,188,62,62,141,250,906,1000,47,203,91,968,47,78,32,141,31,78,110,31,78,2
62,16,109,16,62,62,31,109,109,31,63,32,62,94,94,359,218,47,16,47,16,46,63,2
47,359,94,15,47,63,16,47,0,15,94,47,62,78,94,94,94,15,62,156,16,47,47,2
63,78,16,203,16,78,31,109,0,31,94,78,62,94,31,359,218,47,16,47,47,46,63,2
172,437,94,94,78,78,31,140,140,31,62,16,94,78,94,109,62,94,62,94,125,78,62,2
219,15,94,16,78,94,62,78,0,16,62,109,94,78,32,63,94,109,62,78,16,63,78,2
140,110,16,31,63,94,31,140,109,16,78,16,62,109,31,109,62,94,62,94,78,78,62,2
57,4369,113,168,69,69,63,80,80,442,110,36,79,80,141,78,69,111,41,78,81,69,61,2
192,4,79,80,72,98,31,78,70,411,65,24,94,78,406,150,78,94,94,62,79,63,78,2
74,6,79,136,79,79,63,80,73,185,103,73,47,141,89,78,69,111,41,78,78,69,61,2
110,156,125,31,94,94,63,172,172,47,109,78,109,94,63,78,156,63,141,47,15,78,125,2
94,15,94,125,78,78,16,78,0,31,109,94,110,94,110,63,110,47,62,94,410,172,125,2
187,78,410,15,94,78,63,172,0,15,109,172,141,109,109,78,156,63,141,47,125,78,125,2
93,32,125,47,63,63,32,187,187,0,78,31,78,94,78,78,94,78,47,15,20,16,93,2
125,32,94,125,32,94,16,62,110,31,78,117,94,156,15,63,94,31,63,172,32,46,125,2
78,78,32,32,78,78,32,187,109,47,63,15,94,109,47,78,94,78,47,15,125,16,93,2
62,141,78,109,63,63,219,62,62,31,47,109,94,63,94,1015,79,125,62,203,62,47,78,2
62,78,63,125,47,47,63,78,63,94,78,125,63,63,78,62,93,110,93,62,47,62,63,2
31,109,47,125,78,47,219,62,47,78,109,219,63,188,79,1015,79,125,62,203,63,47,78,2
109,125,109,79,78,78,63,109,109,47,125,0,94,110,125,109,78,93,203,47,47,31,78,2
94,16,78,15,78,78,31,110,78,78,187,62,109,94,125,78,109,110,62,94,78,31,94,2
125,0,78,78,94,94,63,109,93,78,110,31,94,94,16,109,78,93,203,47,94,31,78,2
93,47,125,47,110,110,31,79,79,31,140,16,110,78,94,79,125,62,109,15,31,16,78,2
94,16,62,62,125,62,32,78,98,59,124,94,94,94,78,93,79,93,140,78,62,32,62,2
79,31,62,156,344,46,31,79,94,31,125,16,78,78,62,79,125,62,109,15,62,16,78,2
94,31,78,125,79,79,15,140,140,47,90,0,110,47,140,78,94,94,47,0,16,16,78,2
94,0,63,62,94,62,32,94,0,16,93,140,78,78,0,78,78,94,78,78,78,16,94,2
62,16,78,94,63,62,15,140,0,63,125,31,109,94,31,78,94,94,47,0,94,16,78,2
63,343,63,219,46,46,62,78,78,125,79,16,156,94,78,156,63,109,62,234,47,31,47,2
63,0,78,47,47,47,47,63,125,62,141,62,78,63,125,47,62,125,63,63,16,47,62,2
203,47,16,203,16,62,62,78,79,46,110,16,47,140,110,156,63,109,62,234,62,31,47,2
140,31,141,31,109,109,62,172,172,15,100,46,94,78,93,62,141,62,125,109,16,47,62,2
125,32,110,16,78,94,32,78,94,46,110,141,94,63,94,46,109,31,110,78,16,62,79,2
31,109,16,31,94,63,62,172,78,94,125,15,516,110,16,62,141,62,125,109,79,47,62,2
63,78,78,94,62,62,63,78,78,62,79,78,78,62,124,94,78,93,63,78,47,47,62,2
78,62,79,109,63,62,78,63,63,125,62,125,63,62,62,63,78,94,63,93,78,62,63,2
94,78,78,109,63,62,63,78,47,125,63,78,78,79,78,94,78,93,63,78,63,47,62,2
109,47,63,47,31,31,47,125,125,47,47,16,78,78,94,78,47,63,109,110,16,0,31,2
47,16,78,78,78,78,93,32,484,500,47,47,16,31,93,78,31,62,79,109,0,94,16,2
94,156,0,78,47,78,47,125,0,47,62,78,78,78,609,78,47,63,109,110,16,0,31,2
94,32,109,703,78,78,157,78,78,172,62,78,94,63,266,79,79,78,78,63,94,31,79,2
94,16,93,110,62,78,0,94,109,157,78,141,110,94,47,78,78,110,78,78,78,94,94,2
110,78,78,125,63,93,157,78,47,156,94,63,79,141,125,79,79,78,78,63,94,31,79,2
94,109,62,141,63,63,94,78,78,187,63,62,63,63,110,109,78,94,63,188,78,78,63,2
94,47,63,125,62,78,63,62,63,62,78,94,78,63,109,78,63,109,78,62,63,62,47,2
63,62,63,125,47,47,94,78,63,140,47,47,62,156,62,109,78,94,63,188,47,78,63,2
78,47,157,62,125,125,0,78,78,78,180,16,266,62,141,62,31,109,47,93,31,31,63,2
94,15,94,47,94,125,78,47,141,47,187,47,156,70,165,63,15,125,46,63,16,0,63,2
47,47,16,94,0,78,0,78,0,15,172,94,31,1390,62,62,31,109,47,93,63,31,63,2
62,79,109,78,94,94,62,109,109,31,125,141,110,109,94,94,141,0,62,93,31,32,93,2
78,125,93,109,16,94,78,31,110,31,125,78,156,111,62,46,63,172,16,125,78,93,78,2
78,31,78,46,94,31,62,109,0,0,94,47,63,0,78,94,141,0,62,93,78,32,93,2
