dtfk1,ft1,dtsk1,dtfk3,ft4,dtsk4,dtfk5,ft5,dtfk7,ft7,dtfk8,dtsk9,dtsk10,dtfk11,ft11,dtsk11,ft12,dtfk13,ft14,dtsk14,gender
32,62,0,203,31,125,657,720,250,78,94,0,93,47,141,31,16,93,93,47,1
94,62,62,63,172,78,78,31,78,79,63,78,106,47,125,63,94,63,79,62,1
78,47,62,63,62,63,78,250,94,93,78,62,31,78,109,63,176,63,141,62,1
63,62,63,62,172,78,62,188,78,140,74,94,106,47,125,63,94,62,79,62,1
78,78,110,109,79,109,109,31,47,234,110,94,109,140,16,62,203,32,16,62,2
78,47,78,93,63,62,0,31,94,109,78,110,63,109,16,78,63,78,16,78,2
78,16,78,78,79,109,0,16,125,109,63,94,109,140,16,62,203,78,16,62,2
375,16,78,62,156,250,250,31,109,62,109,235,62,94,62,94,47,156,47,110,2
94,31,78,63,47,62,0,32,47,125,78,47,63,79,78,62,62,16,31,78,2
171,63,16,94,156,250,62,94,63,15,109,47,62,94,62,94,47,78,47,110,2
109,47,172,78,141,250,250,47,62,47,47,94,78,32,141,31,78,16,31,78,2
63,15,109,94,172,16,0,47,47,125,94,47,78,31,94,31,63,16,31,110,2
32,93,16,62,141,250,906,1000,94,203,91,47,78,32,141,31,78,110,31,78,2
62,16,109,62,31,109,109,31,62,32,62,94,359,218,47,16,47,16,46,63,2
47,359,94,63,16,47,0,15,31,47,62,94,94,94,15,62,156,16,47,47,2
63,78,16,78,31,109,0,31,125,78,62,31,359,218,47,16,47,47,46,63,2
172,437,94,78,31,140,140,31,93,16,94,94,109,62,94,62,94,125,78,62,2
219,15,94,94,62,78,0,16,31,109,94,32,63,94,109,62,78,16,63,78,2
140,110,16,94,31,140,109,16,109,16,62,31,109,62,94,62,94,78,78,62,2
57,4369,113,69,63,80,80,442,89,36,79,141,78,69,111,41,78,81,69,61,2
192,4,79,98,31,78,70,411,89,24,94,406,150,78,94,94,62,79,63,78,2
74,6,79,79,63,80,73,185,11,73,47,89,78,69,111,41,78,78,69,61,2
110,156,125,94,63,172,172,47,79,78,109,63,78,156,63,141,47,15,78,125,2
94,15,94,78,16,78,0,31,109,94,110,110,63,110,47,62,94,410,172,125,2
187,78,410,78,63,172,0,15,93,172,141,109,78,156,63,141,47,125,78,125,2
93,32,125,63,32,187,187,0,63,31,78,78,78,94,78,47,15,20,16,93,2
125,32,94,94,16,62,110,31,47,117,94,15,63,94,31,63,172,32,46,125,2
78,78,32,78,32,187,109,47,63,15,94,47,78,94,78,47,15,125,16,93,2
62,141,78,63,219,62,62,31,63,109,94,94,1015,79,125,62,203,62,47,78,2
62,78,63,47,63,78,63,94,79,125,63,78,62,93,110,93,62,47,62,63,2
31,109,47,47,219,62,47,78,94,219,63,79,1015,79,125,62,203,63,47,78,2
109,125,109,78,63,109,109,47,94,0,94,125,109,78,93,203,47,47,31,78,2
94,16,78,78,31,110,78,78,16,62,109,125,78,109,110,62,94,78,31,94,2
125,0,78,94,63,109,93,78,94,31,94,16,109,78,93,203,47,94,31,78,2
93,47,125,110,31,79,79,31,78,16,110,94,79,125,62,109,15,31,16,78,2
94,16,62,62,32,78,98,59,62,94,94,78,93,79,93,140,78,62,32,62,2
79,31,62,46,31,79,94,31,78,16,78,62,79,125,62,109,15,62,16,78,2
94,31,78,79,15,140,140,47,109,0,110,140,78,94,94,47,0,16,16,78,2
94,0,63,62,32,94,0,16,31,140,78,0,78,78,94,78,78,78,16,94,2
62,16,78,62,15,140,0,63,62,31,109,31,78,94,94,47,0,94,16,78,2
63,343,63,46,62,78,78,125,62,16,156,78,156,63,109,62,234,47,31,47,2
63,0,78,47,47,63,125,62,110,62,78,125,47,62,125,63,63,16,47,62,2
203,47,16,62,62,78,79,46,62,16,47,110,156,63,109,62,234,62,31,47,2
140,31,141,109,62,172,172,15,94,46,94,93,62,141,62,125,109,16,47,62,2
125,32,110,94,32,78,94,46,16,141,94,94,46,109,31,110,78,16,62,79,2
31,109,16,63,62,172,78,94,79,15,516,16,62,141,62,125,109,79,47,62,2
63,78,78,62,63,78,78,62,63,78,78,124,94,78,93,63,78,47,47,62,2
