dtfk1,ft1,dtsk1,dtsk4,dtfk5,ft5,dtfk6,dtfk7,ft7,dtsk7,dtfk10,ft10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
94,31,78,62,0,32,62,47,125,156,63,62,79,78,62,94,62,266,16,78,110,31,78,2
171,63,16,250,62,94,32,63,15,62,156,63,94,62,94,109,47,78,78,110,93,47,110,2
109,47,172,250,250,47,94,62,47,62,63,62,32,141,31,16,78,16,16,78,63,31,78,2
63,15,109,16,0,47,78,47,125,16,15,63,31,94,31,968,63,125,16,78,63,31,110,2
32,93,16,250,906,1000,78,94,203,78,63,62,32,141,31,16,78,16,110,15,63,31,78,2
62,16,109,109,109,31,32,62,32,78,16,188,218,47,16,16,47,62,16,78,47,46,63,2
47,359,94,47,0,15,359,31,47,16,62,63,94,15,62,94,156,16,16,78,63,47,47,2
63,78,16,109,0,31,59,125,78,78,16,188,218,47,16,16,47,62,47,15,47,46,63,2
172,437,94,140,140,31,94,93,16,94,125,63,62,94,62,78,94,109,125,78,78,78,62,2
219,15,94,78,0,16,109,31,109,125,78,78,94,109,62,109,78,78,16,78,78,63,78,2
140,110,16,140,109,16,63,109,16,78,125,63,62,94,62,78,94,109,78,94,78,78,62,2
57,4369,113,80,80,442,65,89,36,79,47,78,69,111,41,63,78,109,81,37,33,69,61,2
192,4,79,78,70,411,78,89,24,81,58,68,78,94,94,141,62,141,79,13,78,63,78,2
74,6,79,80,73,185,109,11,73,31,47,78,69,111,41,63,78,109,78,15,33,69,61,2
110,156,125,172,172,47,63,79,78,78,110,250,156,63,141,78,47,125,15,63,78,78,125,2
94,15,94,78,0,31,78,109,94,15,78,78,110,47,62,109,94,62,410,94,109,172,125,2
187,78,410,172,0,15,47,93,172,94,110,250,156,63,141,78,47,125,125,266,78,78,125,2
93,32,125,187,187,0,93,63,31,78,16,94,94,78,47,63,15,78,20,88,109,16,93,2
125,32,94,62,110,31,78,47,117,20,47,47,94,31,63,109,172,15,32,32,63,46,125,2
78,78,32,187,109,47,16,63,15,78,16,94,94,78,47,63,15,78,125,15,109,16,93,2
62,141,78,62,62,31,46,63,109,47,547,63,79,125,62,63,203,62,62,188,47,47,78,2
62,78,63,78,63,94,1015,79,125,62,31,828,93,110,93,188,62,485,47,172,63,62,63,2
31,109,47,62,47,78,79,94,219,47,547,63,79,125,62,63,203,62,63,125,47,47,78,2
109,125,109,109,109,47,78,94,0,94,63,78,78,93,203,94,47,78,47,78,79,31,78,2
94,16,78,110,78,78,109,16,62,47,78,78,109,110,62,94,94,62,78,78,78,31,94,2
125,0,78,109,93,78,78,94,31,78,63,78,78,93,203,94,47,78,94,31,79,31,78,2
93,47,125,79,79,31,47,78,16,46,31,62,125,62,109,110,15,94,31,78,94,16,78,2
94,16,62,78,98,59,79,62,94,31,63,78,79,93,140,78,78,0,62,32,93,32,62,2
79,31,62,79,94,31,62,78,16,94,31,62,125,62,109,110,15,94,62,32,94,16,78,2
94,31,78,140,140,47,78,109,0,62,47,63,94,94,47,78,0,78,16,78,94,16,78,2
94,0,63,94,0,16,78,31,140,16,63,78,78,94,78,94,78,31,78,15,62,16,94,2
62,16,78,140,0,63,0,62,31,78,47,63,94,94,47,78,0,78,94,15,94,16,78,2
63,343,63,78,78,125,47,62,16,62,94,62,63,109,62,110,234,31,47,78,62,31,47,2
63,0,78,63,125,62,156,110,62,47,32,125,62,125,63,140,63,94,16,78,47,47,62,2
203,47,16,78,79,46,78,62,16,62,94,62,63,109,62,110,234,31,62,47,62,31,47,2
140,31,141,172,172,15,78,94,46,63,78,47,141,62,125,110,109,94,16,93,94,47,62,2
125,32,110,78,94,46,62,16,141,16,47,94,109,31,110,110,78,47,16,78,78,62,79,2
31,109,16,172,78,94,141,79,15,94,78,47,141,62,125,110,109,94,79,46,94,47,62,2
63,78,78,78,78,62,62,63,78,62,109,62,78,93,63,63,78,62,47,31,63,47,62,2
78,62,79,63,63,125,94,78,125,47,62,78,78,94,63,79,93,78,78,47,78,62,63,2
94,78,78,78,47,125,0,62,78,63,109,62,78,93,63,63,78,62,63,31,63,47,62,2
109,47,63,125,125,47,110,93,16,78,15,78,47,63,109,16,110,62,16,47,78,0,31,2
47,16,78,32,484,500,78,609,47,16,31,63,31,62,79,78,109,62,0,94,16,94,16,2
94,156,0,125,0,47,78,31,78,94,15,78,47,63,109,16,110,62,16,93,78,0,31,2
94,32,109,78,78,172,63,79,78,93,141,62,79,78,78,78,63,93,94,15,62,31,79,2
94,16,93,94,109,157,79,125,141,94,94,78,78,110,78,141,78,94,78,47,78,94,94,2
110,78,78,78,47,156,62,140,63,78,141,62,79,78,78,78,63,93,94,156,62,31,79,2
94,109,62,78,78,187,63,63,62,47,156,63,78,94,63,78,188,78,78,78,47,78,63,2
94,47,63,62,63,62,109,62,94,78,63,78,63,109,78,156,62,125,63,78,63,62,47,2
63,62,63,78,63,140,63,63,47,78,156,63,78,94,63,78,188,78,47,47,47,78,63,2
78,47,157,78,78,78,78,63,16,78,78,94,31,109,47,46,93,0,31,94,78,31,63,2
94,15,94,47,141,47,62,62,47,31,94,62,15,125,46,1390,63,141,16,94,93,0,63,2
47,47,16,78,0,15,94,125,94,94,78,94,31,109,47,46,93,0,63,31,78,31,63,2
62,79,109,109,109,31,63,94,141,31,63,78,141,0,62,15,93,32,31,78,78,32,93,2
78,125,93,31,110,31,94,78,78,31,94,94,63,172,16,0,125,500,78,78,63,93,78,2
78,31,78,109,0,0,0,78,47,109,63,78,141,0,62,15,93,32,78,94,78,32,93,2
