dtfk1,dtfk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk6,dtsk6,dtsk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,dtfk14,gender
94,62,78,32,78,98,124,79,125,31,94,93,79,93,140,78,0,62,93,2
79,46,94,31,79,94,125,62,62,94,78,79,125,62,109,110,94,62,94,2
94,79,79,15,140,140,90,78,94,62,110,78,94,94,47,78,78,16,94,2
94,62,78,32,94,0,93,78,31,16,78,78,78,94,78,94,31,78,62,2
62,62,79,15,140,0,125,0,31,78,109,78,94,94,47,78,78,94,94,2
63,46,47,62,78,78,79,47,63,62,156,156,63,109,62,110,31,47,62,2
63,47,93,47,63,125,141,156,141,47,78,47,62,125,63,140,94,16,47,2
203,62,47,62,78,79,110,78,156,62,47,156,63,109,62,110,31,62,62,2
140,109,94,62,172,172,100,78,125,63,94,62,141,62,125,110,94,16,94,2
125,94,93,32,78,94,110,62,62,16,94,46,109,31,110,110,47,16,78,2
31,63,94,62,172,78,125,141,78,94,516,62,141,62,125,110,94,79,94,2
63,62,62,63,78,78,79,62,78,62,78,94,78,93,63,63,62,47,63,2
78,62,63,78,63,63,62,94,15,47,63,63,78,94,63,79,78,78,78,2
94,62,62,63,78,47,63,0,94,63,78,94,78,93,63,63,62,63,63,2
109,31,78,47,125,125,47,110,47,78,78,78,47,63,109,16,62,16,78,2
47,78,16,93,32,484,47,78,0,16,16,78,31,62,79,78,62,0,16,2
94,78,78,47,125,0,62,78,110,94,78,78,47,63,109,16,62,16,78,2
94,78,62,157,78,78,62,63,94,93,94,79,79,78,78,78,93,94,62,2
94,78,93,0,94,109,78,79,93,94,110,78,78,110,78,141,94,78,78,2
110,93,62,157,78,47,94,62,15,78,79,79,79,78,78,78,93,94,62,2
94,63,63,94,78,78,63,63,94,47,63,109,78,94,63,78,78,78,47,2
94,78,62,63,62,63,78,109,172,78,78,78,63,109,78,156,125,63,63,2
63,47,63,94,78,63,47,63,110,78,62,109,78,94,63,78,78,47,47,2
78,125,156,0,78,78,180,78,94,78,266,62,31,109,47,46,0,31,78,2
94,125,15,78,47,141,187,62,219,31,156,63,15,125,46,1390,141,16,93,2
47,78,156,0,78,0,172,94,110,94,31,62,31,109,47,46,0,63,78,2
62,94,78,62,109,109,125,63,78,31,110,94,141,0,62,15,32,31,78,2
78,94,47,78,31,110,125,94,109,31,156,46,63,172,16,0,500,78,63,2
78,31,78,62,109,0,94,0,120,109,63,94,141,0,62,15,32,78,78,2
