dtfk1,ft1,dtsk3,dtfk4,ft4,dtsk4,dtsk5,dtfk7,dtfk8,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,gender
93,47,297,297,16,203,137,125,78,125,94,78,109,141,78,94,1
172,16,78,93,32,78,137,109,94,79,109,63,141,375,109,15,1
62,110,125,297,16,203,140,47,78,125,94,78,109,141,78,78,1
94,78,110,110,109,203,109,125,110,125,109,63,78,109,93,78,1
500,15,78,125,47,62,109,46,110,94,78,110,109,94,172,79,1
93,375,93,110,109,203,125,141,78,125,109,63,78,109,93,94,1
156,47,109,109,31,78,31,15,78,62,47,125,47,62,63,31,1
78,156,47,31,156,16,31,47,31,62,94,0,62,47,31,32,1
78,156,47,109,31,78,31,78,16,62,47,125,47,62,63,0,1
110,15,110,110,31,125,125,63,203,93,47,141,31,31,63,46,1
47,31,125,16,110,94,125,0,16,79,0,93,47,1000,156,0,1
32,62,16,110,31,125,15,250,94,93,47,141,31,31,63,93,1
94,62,63,63,172,78,78,78,63,106,47,125,63,63,62,63,1
78,47,62,79,62,63,47,94,78,31,78,109,63,101,13,63,1
63,62,94,63,172,78,78,78,74,106,47,125,63,63,62,62,1
78,78,109,109,79,109,78,47,110,109,140,16,62,109,63,32,2
78,47,63,125,63,62,141,94,78,63,109,16,78,125,94,78,2
78,16,62,109,79,109,94,125,63,109,140,16,62,109,63,78,2
375,16,94,94,156,250,141,109,109,62,94,62,94,109,78,156,2
94,31,47,47,47,62,141,47,78,63,79,78,62,94,266,16,2
171,63,125,94,156,250,94,63,109,62,94,62,94,109,78,78,2
109,47,94,94,141,250,47,62,47,78,32,141,31,16,16,16,2
63,15,94,78,172,16,47,47,94,78,31,94,31,968,125,16,2
32,93,78,94,141,250,47,94,91,78,32,141,31,16,16,110,2
62,16,78,78,31,109,63,62,62,359,218,47,16,16,62,16,2
47,359,32,62,16,47,94,31,62,94,94,15,62,94,16,16,2
63,78,79,78,31,109,94,125,62,359,218,47,16,16,62,47,2
172,437,94,94,31,140,62,93,94,109,62,94,62,78,109,125,2
219,15,94,94,62,78,62,31,94,63,94,109,62,109,78,16,2
140,110,78,94,31,140,78,109,62,109,62,94,62,78,109,78,2
