ft1,dtsk1,dtfk4,dtsk4,ft5,dtsk5,dtfk6,dtfk7,ft7,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtsk12,dtfk13,ft14,gender
31,78,47,62,32,141,62,47,125,63,62,63,79,78,62,266,16,31,2
63,16,94,250,94,94,32,63,15,156,63,62,94,62,94,78,78,47,2
47,172,94,250,47,47,94,62,47,63,62,78,32,141,31,16,16,31,2
15,109,78,16,47,47,78,47,125,15,63,78,31,94,31,125,16,31,2
93,16,94,250,1000,47,78,94,203,63,62,78,32,141,31,16,110,31,2
16,109,78,109,31,63,32,62,32,16,188,359,218,47,16,62,16,46,2
359,94,62,47,15,94,359,31,47,62,63,94,94,15,62,16,16,47,2
78,16,78,109,31,94,59,125,78,16,188,359,218,47,16,62,47,46,2
437,94,94,140,31,62,94,93,16,125,63,109,62,94,62,109,125,78,2
15,94,94,78,16,62,109,31,109,78,78,63,94,109,62,78,16,63,2
110,16,94,140,16,78,63,109,16,125,63,109,62,94,62,109,78,78,2
4369,113,90,80,442,110,65,89,36,47,78,78,69,111,41,109,81,69,2
4,79,78,78,411,65,78,89,24,58,68,150,78,94,94,141,79,63,2
6,79,90,80,185,103,109,11,73,47,78,78,69,111,41,109,78,69,2
156,125,109,172,47,109,63,79,78,110,250,78,156,63,141,125,15,78,2
15,94,156,78,31,109,78,109,94,78,78,63,110,47,62,62,410,172,2
78,410,109,172,15,109,47,93,172,110,250,78,156,63,141,125,125,78,2
32,125,93,187,0,78,93,63,31,16,94,78,94,78,47,78,20,16,2
32,94,62,62,31,78,78,47,117,47,47,63,94,31,63,15,32,46,2
78,32,93,187,47,63,16,63,15,16,94,78,94,78,47,78,125,16,2
141,78,78,62,31,47,46,63,109,547,63,1015,79,125,62,62,62,47,2
78,63,62,78,94,78,1015,79,125,31,828,62,93,110,93,485,47,62,2
109,47,78,62,78,109,79,94,219,547,63,1015,79,125,62,62,63,47,2
125,109,125,109,47,125,78,94,0,63,78,109,78,93,203,78,47,31,2
16,78,94,110,78,187,109,16,62,78,78,78,109,110,62,62,78,31,2
0,78,125,109,78,110,78,94,31,63,78,109,78,93,203,78,94,31,2
47,125,94,79,31,140,47,78,16,31,62,79,125,62,109,94,31,16,2
16,62,78,78,59,124,79,62,94,63,78,93,79,93,140,0,62,32,2
31,62,94,79,31,125,62,78,16,31,62,79,125,62,109,94,62,16,2
31,78,79,140,47,90,78,109,0,47,63,78,94,94,47,78,16,16,2
0,63,78,94,16,93,78,31,140,63,78,78,78,94,78,31,78,16,2
16,78,79,140,63,125,0,62,31,47,63,78,94,94,47,78,94,16,2
343,63,47,78,125,79,47,62,16,94,62,156,63,109,62,31,47,31,2
0,78,93,63,62,141,156,110,62,32,125,47,62,125,63,94,16,47,2
47,16,47,78,46,110,78,62,16,94,62,156,63,109,62,31,62,31,2
