@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,93,94,93,125,125,109,63,93,94,125,94,62,94,125,94,109,110,47,109,62,79,1
141,78,94,78,47,171,110,140,94,94,16,47,93,78,156,47,187,94,31,125,94,94,1
109,16,93,63,125,141,125,110,78,125,110,94,62,94,125,94,109,110,78,141,62,79,1
78,63,63,62,125,98,78,109,63,78,110,93,63,78,78,110,94,46,94,78,62,94,1
109,32,62,47,31,78,110,15,63,63,109,78,109,47,94,93,125,63,16,93,109,63,1
78,78,63,15,125,78,93,0,63,93,110,93,63,78,78,110,94,46,31,94,62,94,1
93,47,171,16,47,140,94,31,109,110,203,15,141,94,250,31,125,16,109,16,0,109,1
94,16,110,47,0,187,62,109,78,0,16,62,110,93,125,93,110,93,140,16,0,125,1
250,0,109,32,47,140,141,15,94,860,62,15,141,94,250,31,125,16,0,109,0,109,1
125,15,78,31,16,125,78,63,78,109,157,47,47,63,62,140,109,78,110,15,62,156,1
78,15,125,16,78,125,78,78,0,47,79,78,109,63,78,93,31,109,15,94,31,78,1
78,31,78,31,16,94,140,63,62,937,78,47,47,63,62,140,109,78,141,78,62,156,1
93,47,109,203,16,137,125,16,94,94,125,157,62,125,94,78,141,94,109,125,31,110,1
172,16,94,31,32,137,109,0,94,16,46,110,93,79,109,63,375,78,78,0,15,78,1
62,110,94,16,16,140,47,16,172,110,109,157,62,125,94,78,141,94,15,141,31,110,1
94,78,109,141,109,109,125,47,110,94,468,156,78,125,109,63,109,110,94,78,47,78,1
500,15,109,485,47,109,46,109,78,141,15,79,62,94,78,110,94,94,78,78,31,94,1
93,375,110,78,109,125,141,31,110,1020,46,156,78,125,109,63,109,110,484,203,47,78,1
156,47,141,47,31,31,15,47,31,687,16,94,16,62,47,125,62,47,78,0,78,16,1
78,156,47,63,156,31,47,79,31,0,32,31,94,62,94,0,47,109,78,31,62,0,1
