@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,5,6,8,9,12,14,16,18,19,21,22,23,24,26,27,28,34,36,37,38,39,40,42,43'

@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
16,110,62,94,141,906,47,31,203,735,62,78,32,141,31,78,31,2
109,109,62,78,31,109,63,140,32,0,188,359,218,47,16,47,46,2
94,63,63,62,16,0,94,78,47,79,63,94,94,15,62,156,47,2
16,110,78,78,31,0,94,32,78,703,188,359,218,47,16,47,46,2
94,94,78,94,31,140,62,141,16,94,63,109,62,94,62,94,78,2
94,125,94,94,62,0,62,62,109,94,78,63,94,109,62,78,63,2
16,219,94,94,31,109,78,78,16,937,63,109,62,94,62,94,78,2
113,113,69,90,63,80,110,101,36,78,78,78,69,111,41,78,69,2
79,68,98,78,31,70,65,94,24,172,68,150,78,94,94,62,63,2
79,39,79,90,63,73,103,31,73,74,78,78,69,111,41,78,69,2
125,125,94,109,63,172,109,78,78,78,250,78,156,63,141,47,78,2
94,78,78,156,16,0,109,94,94,141,78,63,110,47,62,94,172,2
410,110,78,109,63,0,109,93,172,828,250,78,156,63,141,47,78,2
125,125,63,93,32,187,78,47,31,562,94,78,94,78,47,15,16,2
94,47,94,62,16,110,78,78,117,94,47,63,94,31,63,172,46,2
32,125,78,93,32,109,63,94,15,719,94,78,94,78,47,15,16,2
78,78,63,78,219,62,47,157,109,78,63,1015,79,125,62,203,47,2
63,62,47,62,63,63,78,78,125,125,828,62,93,110,93,62,62,2
47,47,47,78,219,47,109,62,219,79,63,1015,79,125,62,203,47,2
109,109,78,125,63,109,125,109,0,109,78,109,78,93,203,47,31,2
78,156,78,94,31,78,187,79,62,63,78,78,109,110,62,94,31,2
78,94,94,125,63,93,110,78,31,843,78,109,78,93,203,47,31,2
125,125,110,94,31,79,140,109,16,172,62,79,125,62,109,15,16,2
62,125,62,78,32,98,124,62,94,62,78,93,79,93,140,78,32,2
62,31,46,94,31,94,125,16,16,609,62,79,125,62,109,15,16,2
78,78,79,79,15,140,90,62,0,94,63,78,94,94,47,0,16,2
63,16,62,78,32,0,93,172,140,31,78,78,78,94,78,78,16,2
78,78,62,79,15,0,125,63,31,781,63,78,94,94,47,0,16,2
63,63,46,47,62,78,79,156,16,62,62,156,63,109,62,234,31,2
78,125,47,93,47,125,141,47,62,156,125,47,62,125,63,63,47,2
16,63,62,47,62,79,110,47,16,922,62,156,63,109,62,234,31,2
141,141,109,94,62,172,100,62,46,94,47,62,141,62,125,109,47,2
110,172,94,93,32,94,110,141,141,78,94,46,109,31,110,78,62,2
16,250,63,94,62,78,125,0,15,828,47,62,141,62,125,109,47,2
78,78,62,62,63,78,79,94,78,62,62,94,78,93,63,78,47,2
79,47,62,63,78,63,62,188,125,94,78,63,78,94,63,93,62,2
78,47,62,62,63,47,63,93,78,62,62,94,78,93,63,78,47,2
63,63,31,78,47,125,47,62,16,594,78,78,47,63,109,110,0,2
78,31,78,16,93,484,47,94,47,110,63,78,31,62,79,109,94,2
0,32,78,78,47,0,62,31,78,0,78,78,47,63,109,110,0,2
109,109,78,62,157,78,62,93,78,125,62,79,79,78,78,63,31,2
93,78,78,93,0,109,78,78,141,15,78,78,78,110,78,78,94,2
78,93,93,62,157,47,94,172,63,0,62,79,79,78,78,63,31,2
62,62,63,63,94,78,63,140,62,93,63,109,78,94,63,188,78,2
63,78,78,62,63,63,78,63,94,110,78,78,63,109,78,62,62,2
63,78,47,63,94,63,47,62,47,110,63,109,78,94,63,188,78,2
157,157,125,156,0,78,180,109,16,0,94,62,31,109,47,93,31,2
94,110,125,15,78,141,187,94,47,110,62,63,15,125,46,63,0,2
16,16,78,156,0,0,172,15,94,984,94,62,31,109,47,93,31,2
109,109,94,78,62,109,125,125,141,94,78,94,141,0,62,93,32,2
93,0,94,47,78,110,125,78,78,120,94,46,63,172,16,125,93,2
78,97,31,78,62,0,94,187,47,735,78,94,141,0,62,93,32,2
