@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,12,16,17,18,21,22,23,24,26,30,33,34,35,36,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,32,94,31,78,93,32,94,46,110,16,141,78,94,47,94,109,31,16,78,47,62,79,2
31,109,63,78,94,94,62,78,94,125,79,15,828,16,78,47,141,62,79,46,94,47,62,2
63,78,62,63,62,62,63,78,62,79,63,78,62,124,109,62,78,93,47,31,78,47,62,2
78,62,62,63,62,63,78,63,125,62,78,125,94,62,62,78,78,94,78,47,62,62,63,2
94,78,62,47,78,62,63,47,125,63,62,78,62,78,109,62,78,93,63,31,125,47,62,2
109,47,31,16,78,78,47,125,47,47,93,16,594,94,15,78,47,63,16,47,94,0,31,2
47,16,78,16,110,16,93,484,500,47,609,47,110,93,31,63,31,62,0,94,16,94,16,2
94,156,78,0,110,78,47,0,47,62,31,78,0,609,15,78,47,63,16,93,78,0,31,2
94,32,78,94,62,62,157,78,172,62,79,78,125,266,141,62,79,78,94,15,94,31,79,2
94,16,78,141,63,93,0,109,157,78,125,141,15,47,94,78,78,110,78,47,78,94,94,2
110,78,93,79,78,62,157,47,156,94,140,63,0,125,141,62,79,78,94,156,94,31,79,2
94,109,63,93,63,63,94,78,187,63,63,62,93,110,156,63,78,94,78,78,78,78,63,2
94,47,78,78,63,62,63,63,62,78,62,94,110,109,63,78,63,109,63,78,62,62,47,2
63,62,47,109,63,63,94,63,140,47,63,47,110,62,156,63,78,94,47,47,94,78,63,2
78,47,125,46,156,156,0,78,78,180,63,16,0,141,78,94,31,109,31,94,47,31,63,2
94,15,125,110,78,15,78,141,47,187,62,47,110,165,94,62,15,125,16,94,94,0,63,2
47,47,78,15,94,156,0,0,15,172,125,94,984,62,78,94,31,109,63,31,156,31,63,2
62,79,94,94,78,78,62,109,31,125,94,141,94,94,63,78,141,0,31,78,63,32,93,2
78,125,94,109,63,47,78,110,31,125,78,78,120,62,94,94,63,172,78,78,94,93,78,2
78,31,31,78,156,78,62,0,0,94,78,47,735,78,63,78,141,0,78,94,78,32,93,2
