@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,9,13,14,16,17,18,22,23,24,25,27,28,33,34,36,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,0,93,78,78,141,78,46,31,78,15,125,62,78,125,31,94,32,110,31,78,31,94,1
78,109,203,94,47,391,438,94,110,31,94,844,31,78,109,125,16,94,62,63,78,0,94,1
125,31,110,125,93,485,594,140,78,141,62,16,78,78,47,62,16,0,125,62,78,32,93,1
93,16,125,78,109,47,78,141,32,110,0,0,94,62,125,62,78,94,15,63,94,47,93,1
156,16,188,62,93,485,594,109,125,78,94,1078,78,78,47,62,16,93,125,94,78,32,93,1
62,63,93,47,31,125,63,79,62,32,78,156,47,93,78,78,172,63,78,63,46,79,78,1
172,15,94,78,79,46,47,94,78,15,63,63,78,63,78,94,62,63,125,31,62,63,78,1
62,0,78,78,31,125,63,94,62,16,62,141,47,93,78,78,172,78,62,32,46,79,78,1
93,547,156,172,79,128,225,110,63,47,78,93,62,109,78,63,15,32,93,16,94,47,94,1
78,16,109,109,78,47,62,0,79,93,32,94,78,78,79,78,94,78,0,63,15,62,47,1
78,78,15,78,79,128,225,141,94,31,172,78,62,109,78,63,15,47,78,47,94,47,94,1
63,15,63,63,93,63,140,109,63,578,94,109,94,141,78,94,78,47,109,47,93,63,62,1
62,78,79,94,79,62,78,109,94,78,47,63,78,63,78,125,110,47,438,62,94,31,94,1
62,31,63,94,93,63,140,94,125,453,78,125,94,141,78,94,78,94,47,62,93,63,62,1
78,47,94,78,40,271,380,125,47,16,62,78,62,63,125,32,15,32,94,31,62,16,78,1
62,31,31,78,78,32,78,125,62,31,32,31,62,63,312,63,94,62,32,62,78,31,79,1
63,0,141,62,40,271,380,94,62,0,32,891,62,63,125,32,15,79,31,156,62,16,78,1
78,94,94,78,78,140,79,93,47,141,62,156,47,63,63,93,125,63,125,62,62,110,78,1
63,47,94,63,63,94,62,125,78,78,63,47,78,63,78,110,62,78,63,46,63,47,78,1
63,78,94,62,78,140,79,125,63,125,83,187,47,63,63,93,125,78,78,47,62,110,78,1
126,31,125,78,109,31,172,156,94,16,93,47,93,453,140,47,46,31,94,78,78,32,78,1
125,46,47,109,125,15,78,156,31,63,31,141,110,78,829,31,78,62,47,94,157,31,109,1
141,0,78,93,109,31,172,157,94,78,94,875,93,453,140,47,46,109,0,110,78,32,78,1
62,78,110,78,63,78,62,94,78,31,94,547,62,110,78,94,0,31,79,46,78,62,63,1
94,0,0,47,78,61,52,188,63,62,31,110,78,63,62,110,94,31,31,94,78,47,78,1
94,47,93,94,63,78,62,78,94,47,78,62,62,110,78,94,0,78,47,78,78,62,63,1
125,16,94,78,93,188,78,94,110,31,78,110,63,62,78,110,125,125,125,125,78,32,125,1
156,16,140,109,78,0,78,109,156,31,125,156,47,63,62,94,94,125,0,94,62,235,125,1
109,31,78,78,93,188,78,94,156,16,94,62,63,62,78,110,125,125,31,109,78,32,125,1
125,16,109,125,47,109,203,62,31,63,31,0,62,94,157,31,31,156,110,62,78,16,62,1
47,78,32,31,344,94,0,31,0,62,156,32,78,78,0,47,156,31,125,15,63,31,94,1
16,79,47,31,47,109,203,125,125,719,109,110,62,94,157,31,31,94,0,62,78,16,62,1
141,62,110,94,78,203,78,88,78,344,407,531,79,93,94,140,47,78,391,109,78,109,94,1
109,63,94,109,62,157,78,78,78,172,78,78,63,93,94,172,94,78,516,78,94,125,93,1
110,0,109,407,78,203,78,250,94,203,78,250,79,93,94,140,47,93,235,78,78,109,94,1
156,47,47,140,78,79,110,110,78,16,110,578,78,79,63,47,31,48,5,84,46,109,78,1
15,63,31,93,15,94,31,94,16,78,48,140,78,63,16,78,109,16,94,0,16,109,16,1
63,15,235,110,78,79,110,31,625,32,79,62,78,79,63,47,31,16,110,15,46,109,78,1
156,16,125,109,187,109,157,94,110,94,93,110,109,63,94,203,157,110,93,161,141,15,94,1
125,110,156,94,78,141,47,172,125,125,110,156,110,62,16,141,172,531,140,516,125,63,93,1
250,110,312,93,187,109,157,110,141,140,78,125,109,63,94,203,157,93,110,109,141,15,94,1
125,93,125,94,94,125,125,125,109,63,93,109,62,94,125,94,110,94,47,109,109,62,79,1
141,78,125,94,94,47,109,171,110,140,94,125,93,78,156,47,94,94,31,125,109,94,94,1
109,16,156,93,94,125,125,141,125,110,78,94,62,94,125,94,110,94,78,141,109,62,79,1
78,63,109,63,78,125,94,98,78,109,63,94,63,78,78,110,46,63,94,78,110,62,94,1
109,32,78,62,94,31,78,78,110,15,63,78,109,47,94,93,63,63,16,93,78,109,63,1
78,78,109,63,78,125,94,78,93,0,63,125,63,78,78,110,46,63,31,94,110,62,94,1
93,47,110,171,94,47,156,140,94,31,109,47,141,94,250,31,16,78,109,16,125,0,109,1
94,16,0,110,125,0,63,187,62,109,78,140,110,93,125,93,93,62,140,16,78,0,125,1
250,0,312,109,94,47,156,140,141,15,94,125,141,94,250,31,16,125,0,109,125,0,109,1
125,15,78,78,78,16,141,125,78,63,78,32,47,63,62,140,78,0,110,15,110,62,156,1
78,15,32,125,78,78,63,125,78,78,0,93,109,63,78,93,109,94,15,94,94,31,78,1
78,31,79,78,78,16,141,94,140,63,62,94,47,63,62,140,78,78,141,78,110,62,156,1
93,47,94,109,297,16,203,137,125,16,94,188,62,125,94,78,94,94,109,125,109,31,110,1
172,16,219,94,93,32,78,137,109,0,94,141,93,79,109,63,78,15,78,0,78,15,78,1
62,110,63,94,297,16,203,140,47,16,172,78,62,125,94,78,94,78,15,141,109,31,110,1
94,78,125,109,110,109,203,109,125,47,110,343,78,125,109,63,110,78,94,78,94,47,78,1
500,15,141,109,125,47,62,109,46,109,78,266,62,94,78,110,94,79,78,78,78,31,94,1
93,375,94,110,110,109,203,125,141,31,110,1114,78,125,109,63,110,94,484,203,94,47,78,1
156,47,78,141,109,31,78,31,15,47,31,125,16,62,47,125,47,31,78,0,0,78,16,1
78,156,15,47,31,156,16,31,47,79,31,78,94,62,94,0,109,32,78,31,31,62,0,1
78,156,62,31,109,31,78,31,78,32,93,937,16,62,47,125,47,0,79,78,0,78,16,1
110,15,109,141,110,31,125,125,63,125,203,109,47,93,47,141,16,46,109,16,15,93,47,1
47,31,62,94,16,110,94,125,0,16,46,203,93,79,0,93,78,0,94,15,0,63,93,1
32,62,15,203,110,31,125,15,250,78,453,781,47,93,47,141,16,93,63,219,15,93,47,1
94,62,62,63,63,172,78,78,78,79,62,125,60,106,47,125,94,63,94,62,78,79,62,1
78,47,47,63,79,62,63,47,94,93,63,76,78,31,78,109,176,63,78,62,62,141,62,1
63,62,62,62,63,172,78,78,78,140,63,63,60,106,47,125,94,62,141,235,78,79,62,1
78,78,110,109,109,79,109,78,47,234,78,16,62,109,140,16,203,32,78,109,63,16,62,2
78,47,94,93,125,63,62,141,94,109,32,203,78,63,109,16,63,78,265,110,78,16,78,2
78,16,328,78,109,79,109,94,125,109,109,156,62,109,140,16,203,78,219,78,63,16,62,2
375,16,78,62,94,156,250,141,109,62,94,157,63,62,94,62,47,156,63,109,93,47,110,2
94,31,219,63,47,47,62,141,47,125,156,219,62,63,79,78,62,16,78,31,110,31,78,2
171,63,218,94,94,156,250,94,63,15,62,1047,63,62,94,62,47,78,110,172,93,47,110,2
109,47,172,78,94,141,250,47,62,47,62,31,62,78,32,141,78,16,78,47,63,31,78,2
63,15,110,94,78,172,16,47,47,125,16,31,63,78,31,94,63,16,78,16,63,31,110,2
32,93,110,62,94,141,250,47,94,203,78,797,62,78,32,141,78,110,15,93,63,31,78,2
62,16,109,62,78,31,109,63,62,32,78,47,188,359,218,47,47,16,78,16,47,46,63,2
47,359,63,63,62,16,47,94,31,47,16,93,63,94,94,15,156,16,78,15,63,47,47,2
63,78,110,78,78,31,109,94,125,78,78,766,188,359,218,47,47,47,15,94,47,46,63,2
172,437,94,78,94,31,140,62,93,16,94,125,63,109,62,94,94,125,78,94,78,78,62,2
219,15,125,94,94,62,78,62,31,109,125,46,78,63,94,109,78,16,78,46,78,63,78,2
140,110,219,94,94,31,140,78,109,16,78,63,63,109,62,94,94,78,94,78,78,78,62,2
57,4369,113,69,90,63,80,110,89,36,79,297,78,78,69,111,78,81,37,78,33,69,61,2
192,4,68,98,78,31,78,65,89,24,81,94,68,150,78,94,62,79,13,85,78,63,78,2
74,6,39,79,90,63,80,103,11,73,31,258,78,78,69,111,78,78,15,94,33,69,61,2
110,156,125,94,109,63,172,109,79,78,78,109,250,78,156,63,47,15,63,78,78,78,125,2
94,15,78,78,156,16,78,109,109,94,15,78,78,63,110,47,94,410,94,62,109,172,125,2
187,78,110,78,109,63,172,109,93,172,94,94,250,78,156,63,47,125,266,109,78,78,125,2
93,32,125,63,93,32,187,78,63,31,78,110,94,78,94,78,15,20,88,78,109,16,93,2
125,32,47,94,62,16,62,78,47,117,20,78,47,63,94,31,172,32,32,421,63,46,125,2
78,78,125,78,93,32,187,63,63,15,78,94,94,78,94,78,15,125,15,125,109,16,93,2
62,141,78,63,78,219,62,47,63,109,47,109,63,1015,79,125,203,62,188,46,47,47,78,2
62,78,62,47,62,63,78,78,79,125,62,94,828,62,93,110,62,47,172,63,63,62,63,2
31,109,47,47,78,219,62,109,94,219,47,171,63,1015,79,125,203,63,125,78,47,47,78,2
109,125,109,78,125,63,109,125,94,0,94,47,78,109,78,93,47,47,78,63,79,31,78,2
94,16,156,78,94,31,110,187,16,62,47,93,78,78,109,110,94,78,78,94,78,31,94,2
125,0,94,94,125,63,109,110,94,31,78,984,78,109,78,93,47,94,31,141,79,31,78,2
93,47,125,110,94,31,79,140,78,16,46,78,62,79,125,62,15,31,78,16,94,16,78,2
94,16,125,62,78,32,78,124,62,94,31,94,78,93,79,93,78,62,32,93,93,32,62,2
79,31,31,46,94,31,79,125,78,16,94,94,62,79,125,62,15,62,32,78,94,16,78,2
94,31,78,79,79,15,140,90,109,0,62,46,63,78,94,94,0,16,78,0,94,16,78,2
94,0,16,62,78,32,94,93,31,140,16,125,78,78,78,94,78,78,15,79,62,16,94,2
62,16,78,62,79,15,140,125,62,31,78,94,63,78,94,94,0,94,15,110,94,16,78,2
63,343,63,46,47,62,78,79,62,16,62,157,62,156,63,109,234,47,78,110,62,31,47,2
63,0,125,47,93,47,63,141,110,62,47,63,125,47,62,125,63,16,78,47,47,47,62,2
203,47,63,62,47,62,78,110,62,16,62,62,62,156,63,109,234,62,47,63,62,31,47,2
140,31,141,109,94,62,172,100,94,46,63,16,47,62,141,62,109,16,93,32,94,47,62,2
125,32,172,94,93,32,78,110,16,141,16,62,94,46,109,31,78,16,78,47,78,62,79,2
31,109,250,63,94,62,172,125,79,15,94,968,47,62,141,62,109,79,46,94,94,47,62,2
63,78,78,62,62,63,78,79,63,78,62,63,62,94,78,93,78,47,31,78,63,47,62,2
78,62,47,62,63,78,63,62,78,125,47,157,78,63,78,94,93,78,47,62,78,62,63,2
94,78,47,62,62,63,78,63,62,78,63,63,62,94,78,93,78,63,31,125,63,47,62,2
109,47,63,31,78,47,125,47,93,16,78,78,78,78,47,63,110,16,47,94,78,0,31,2
47,16,31,78,16,93,32,47,609,47,16,31,63,78,31,62,109,0,94,16,16,94,16,2
94,156,32,78,78,47,125,62,31,78,94,547,78,78,47,63,110,16,93,78,78,0,31,2
94,32,109,78,62,157,78,62,79,78,93,141,62,79,79,78,63,94,15,94,62,31,79,2
94,16,78,78,93,0,94,78,125,141,94,125,78,78,78,110,78,78,47,78,78,94,94,2
110,78,93,93,62,157,78,94,140,63,78,32,62,79,79,78,63,94,156,94,62,31,79,2
94,109,62,63,63,94,78,63,63,62,47,47,63,109,78,94,188,78,78,78,47,78,63,2
94,47,78,78,62,63,62,78,62,94,78,78,78,78,63,109,62,63,78,62,63,62,47,2
63,62,78,47,63,94,78,47,63,47,78,94,63,109,78,94,188,47,47,94,47,78,63,2
78,47,157,125,156,0,78,180,63,16,78,16,94,62,31,109,93,31,94,47,78,31,63,2
94,15,110,125,15,78,47,187,62,47,31,20,62,63,15,125,63,16,94,94,93,0,63,2
47,47,16,78,156,0,78,172,125,94,94,1094,94,62,31,109,93,63,31,156,78,31,63,2
62,79,109,94,78,62,109,125,94,141,31,93,78,94,141,0,93,31,78,63,78,32,93,2
78,125,0,94,47,78,31,125,78,78,31,94,94,46,63,172,125,78,78,94,63,93,78,2
78,31,97,31,78,62,109,94,78,47,109,78,78,94,141,0,93,78,94,78,78,32,93,2
