@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,12,14,16,21,22,23,24,26,27,30,33,34,36,40,42'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
47,78,31,31,344,94,1469,31,78,63,0,62,47,78,78,0,47,156,31,125,15,31,4361,1
16,79,31,62,47,109,141,125,0,47,125,719,859,16,62,157,31,31,94,0,62,16,4186,1
141,62,94,78,78,203,78,88,282,109,78,344,94,234,79,94,140,47,78,391,109,109,5854,1
109,63,109,78,62,157,62,78,63,172,78,172,157,281,63,94,172,94,78,516,78,125,5009,1
110,0,407,78,78,203,1109,250,93,157,94,203,63,234,79,94,140,47,93,235,78,109,5833,1
156,47,140,78,78,79,110,110,47,15,78,16,469,63,78,63,47,31,48,5,84,109,3717,1
15,63,93,31,15,94,141,94,188,31,16,78,47,31,78,16,78,109,16,94,0,109,2360,1
63,15,110,16,78,79,438,31,32,47,625,32,0,63,78,63,47,31,16,110,15,109,3677,1
156,16,109,187,187,109,157,94,203,125,110,94,125,94,109,94,203,157,110,93,161,15,4960,1
125,110,94,109,78,141,172,172,93,500,125,125,125,93,110,16,141,172,531,140,516,63,5704,1
250,110,93,125,187,109,94,110,78,125,141,140,750,94,109,94,203,157,93,110,109,15,5814,1
125,93,94,94,94,125,125,125,109,141,109,63,94,94,62,125,94,110,94,47,109,62,4233,1
141,78,94,94,94,47,109,171,94,140,110,140,94,47,93,156,47,94,94,31,125,94,4563,1
109,16,93,109,94,125,125,141,140,94,125,110,125,94,62,125,94,110,94,78,141,62,4142,1
78,63,63,78,78,125,94,98,94,109,78,109,78,93,63,78,110,46,63,94,78,62,3677,1
109,32,62,78,94,31,94,78,62,125,110,15,63,78,109,94,93,63,63,16,93,109,3404,1
78,78,63,94,78,125,110,78,109,63,93,0,93,93,63,78,110,46,63,31,94,62,3484,1
93,47,171,94,94,47,156,140,15,94,94,31,110,15,141,250,31,16,78,109,16,0,4112,1
