@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,8,10,15,16,17,18,19,20,21,22,23,24,27,33,34,39,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
47,31,78,110,93,32,484,500,110,31,31,63,78,31,62,109,62,0,94,16,94,16,2
94,32,78,110,47,125,0,47,0,547,15,78,78,47,63,110,62,16,93,78,0,31,2
94,109,78,62,157,78,78,172,125,141,141,62,79,79,78,63,93,94,15,62,31,79,2
94,78,78,63,0,94,109,157,15,125,94,78,78,78,110,78,94,78,47,78,94,94,2
110,93,93,78,157,78,47,156,0,32,141,62,79,79,78,63,93,94,156,62,31,79,2
94,62,63,63,94,78,78,187,93,47,156,63,109,78,94,188,78,78,78,47,78,63,2
94,78,78,63,63,62,63,62,110,78,63,78,78,63,109,62,125,63,78,63,62,47,2
63,78,47,63,94,78,63,140,110,94,156,63,109,78,94,188,78,47,47,47,78,63,2
78,157,125,156,0,78,78,78,0,16,78,94,62,31,109,93,0,31,94,78,31,63,2
94,110,125,78,78,47,141,47,110,20,94,62,63,15,125,63,141,16,94,93,0,63,2
47,16,78,94,0,78,0,15,984,1094,78,94,62,31,109,93,0,63,31,78,31,63,2
62,109,94,78,62,109,109,31,94,93,63,78,94,141,0,93,32,31,78,78,32,93,2
78,0,94,63,78,31,110,31,120,94,94,94,46,63,172,125,500,78,78,63,93,78,2
78,97,31,156,62,109,0,0,735,78,63,78,94,141,0,93,32,78,94,78,32,93,2
