@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,9,12,14,16,23,25,26,27,31,32,33,34,35,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
187,16,78,125,63,94,62,78,31,0,94,62,125,94,63,78,93,94,234,328,110,32,78,32,62,94,78,1
78,31,78,109,62,78,63,93,94,94,63,78,94,109,16,62,79,94,141,109,63,78,78,16,78,93,62,1
125,172,94,203,109,109,110,109,250,78,78,156,110,125,140,63,62,47,94,78,110,94,63,422,78,93,78,1
110,359,94,62,78,78,110,78,219,94,78,93,610,62,328,63,109,109,93,94,63,140,93,547,94,110,93,1
94,313,93,109,78,63,15,109,250,93,94,63,156,94,187,78,109,156,94,78,110,94,93,203,63,93,78,1
63,94,93,125,47,47,47,63,93,156,63,469,62,78,125,78,141,172,78,56,73,110,78,78,47,62,63,1
62,16,47,140,47,63,62,47,16,0,656,166,16,62,125,78,78,62,62,78,63,62,31,47,63,63,78,1
78,31,31,94,63,78,32,63,93,0,94,141,15,94,31,63,78,47,78,56,73,110,78,172,78,62,63,1
109,16,110,47,109,109,78,47,391,438,46,62,94,78,31,94,110,79,94,31,78,78,15,78,31,78,94,1
94,0,109,63,110,78,47,78,141,0,46,94,78,31,78,15,63,47,63,62,78,78,32,110,31,78,94,1
78,109,32,31,93,94,31,47,391,0,94,47,46,110,31,94,0,687,94,31,78,78,94,62,63,78,94,1
125,31,110,46,125,125,79,93,485,594,140,47,93,78,141,62,125,63,47,78,78,93,0,125,62,78,93,1
93,16,94,31,125,78,125,109,47,125,141,79,109,32,110,0,78,109,62,94,62,94,94,15,63,94,93,1
156,16,94,47,63,62,31,93,485,234,109,94,109,125,78,94,109,172,47,78,78,93,93,125,94,78,93,1
62,63,93,110,47,47,78,31,125,63,79,109,172,62,32,78,78,78,63,47,93,78,63,78,63,46,78,1
172,15,93,94,47,78,47,79,46,47,94,63,125,78,15,63,78,109,62,78,63,47,63,125,31,62,78,1
62,0,63,78,63,78,47,31,125,46,94,47,109,62,16,62,62,125,63,47,93,78,78,62,32,46,78,1
93,547,156,16,172,172,292,79,128,225,110,78,78,63,47,78,15,94,47,62,109,62,32,93,16,94,94,1
78,16,109,47,109,109,0,78,47,609,0,63,172,79,93,32,109,125,78,78,78,78,78,0,63,15,47,1
78,78,78,63,47,78,297,79,128,0,141,32,62,94,31,172,47,110,47,62,109,62,47,78,47,94,94,1
63,15,63,93,63,63,16,93,63,140,109,141,62,63,578,94,78,62,47,94,141,62,47,109,47,93,62,1
