@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,6,7,9,10,11,12,14,16,21,24,25,26,27,28,34,37,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute ft3 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
141,62,110,250,62,78,88,282,109,78,344,78,94,79,93,94,140,79,47,109,391,78,109,94,5854,1
109,63,93,93,94,62,78,63,172,78,172,109,125,63,93,94,172,78,94,110,516,94,125,93,5009,1
110,0,78,110,15,1109,250,93,157,94,203,78,88,79,93,94,140,79,47,109,235,78,109,94,5833,1
156,47,47,62,32,110,110,47,15,78,16,94,62,78,79,63,47,15,31,63,5,46,109,78,3717,1
15,63,31,79,32,141,94,188,31,16,78,46,32,78,63,16,78,62,109,31,94,16,109,16,2360,1
63,15,16,328,15,438,31,32,47,625,32,93,0,78,79,63,47,15,31,63,110,46,109,78,3677,1
156,16,125,109,32,157,94,203,125,110,94,218,16,109,63,94,203,63,157,171,93,141,15,94,4960,1
125,110,109,16,125,172,172,93,500,125,125,297,47,110,62,16,141,62,172,78,140,125,63,93,5704,1
250,110,531,16,63,94,110,78,125,141,140,110,0,109,63,94,203,63,157,171,110,141,15,94,5814,1
125,93,125,94,93,125,125,109,141,109,63,78,157,62,94,125,94,78,110,93,47,109,62,79,4233,1
141,78,125,125,78,109,171,94,140,110,140,109,125,93,78,156,47,110,94,453,31,109,94,94,4563,1
109,16,94,31,63,125,141,140,94,125,110,110,94,62,94,125,94,78,110,93,78,109,62,79,4142,1
78,63,109,78,62,94,98,94,109,78,109,94,109,63,78,78,110,46,46,63,94,110,62,94,3677,1
109,32,62,109,47,94,78,62,125,110,15,94,125,109,47,94,93,78,63,109,16,78,109,63,3404,1
78,78,63,110,15,110,78,109,63,93,0,94,78,63,78,78,110,46,46,63,31,110,62,94,3484,1
93,47,110,93,16,156,140,15,94,94,31,141,93,141,94,250,31,125,16,114,109,125,0,109,4112,1
94,16,109,140,47,110,187,109,47,62,109,94,94,110,93,125,93,94,93,110,140,78,0,125,3546,1
250,0,62,63,32,125,140,125,0,141,15,94,109,141,94,250,31,125,16,114,0,125,0,109,4802,1
125,15,78,94,31,141,125,79,78,78,63,140,47,47,63,62,140,63,78,16,110,110,62,156,3298,1
78,15,94,109,16,0,125,62,110,78,78,172,47,109,63,78,93,32,109,187,15,94,31,78,3000,1
78,31,94,93,31,187,94,0,47,140,63,78,0,47,63,62,140,63,78,16,141,110,62,156,4078,1
93,47,94,141,203,203,137,63,172,125,16,78,109,62,125,94,78,109,94,78,109,109,31,110,4810,1
172,16,78,0,31,156,137,78,94,109,0,94,94,93,79,109,63,141,78,109,78,78,15,78,3762,1
62,110,15,219,16,0,140,125,16,47,16,78,94,62,125,94,78,109,94,78,15,109,31,110,4143,1
94,78,125,94,141,203,109,390,500,125,47,110,93,78,125,109,63,78,110,93,94,94,47,78,5623,1
500,15,156,16,485,0,109,63,609,46,109,110,94,62,94,78,110,109,94,172,78,78,31,94,5015,1
93,375,79,109,78,0,125,78,141,141,31,78,109,78,125,109,63,78,110,93,484,94,47,78,6649,1
156,47,78,63,47,78,31,62,78,15,47,78,78,16,62,47,125,47,47,63,78,0,78,16,3281,1
