dtfk1,dtsk1,ft2,dtfk3,ft4,dtsk4,ft5,dtfk7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,gender
94,94,125,78,16,78,31,109,15,110,78,63,110,109,94,62,410,94,62,109,2
187,410,15,78,63,172,15,93,94,141,110,78,156,78,47,125,125,266,109,78,2
93,125,47,63,32,187,0,63,78,78,16,78,94,63,15,78,20,88,78,109,2
125,94,125,94,16,62,31,47,20,94,47,63,94,109,172,15,32,32,421,63,2
78,32,32,78,32,187,47,63,78,94,16,78,94,63,15,78,125,15,125,109,2
62,78,109,63,219,62,31,63,47,94,547,1015,79,63,203,62,62,188,46,47,2
62,63,125,47,63,78,94,79,62,63,31,62,93,188,62,485,47,172,63,63,2
31,47,125,47,219,62,78,94,47,63,547,1015,79,63,203,62,63,125,78,47,2
109,109,79,78,63,109,47,94,94,94,63,109,78,94,47,78,47,78,63,79,2
94,78,15,78,31,110,78,16,47,109,78,78,109,94,94,62,78,78,94,78,2
125,78,78,94,63,109,78,94,78,94,63,109,78,94,47,78,94,31,141,79,2
93,125,47,110,31,79,31,78,46,110,31,79,125,110,15,94,31,78,16,94,2
94,62,62,62,32,78,59,62,31,94,63,93,79,78,78,0,62,32,93,93,2
79,62,156,46,31,79,31,78,94,78,31,79,125,110,15,94,62,32,78,94,2
94,78,125,79,15,140,47,109,62,110,47,78,94,78,0,78,16,78,0,94,2
94,63,62,62,32,94,16,31,16,78,63,78,78,94,78,31,78,15,79,62,2
62,78,94,62,15,140,63,62,78,109,47,78,94,78,0,78,94,15,110,94,2
63,63,219,46,62,78,125,62,62,156,94,156,63,110,234,31,47,78,110,62,2
63,78,47,47,47,63,62,110,47,78,32,47,62,140,63,94,16,78,47,47,2
203,16,203,62,62,78,46,62,62,47,94,156,63,110,234,31,62,47,63,62,2
140,141,31,109,62,172,15,94,63,94,78,62,141,110,109,94,16,93,32,94,2
125,110,16,94,32,78,46,16,16,94,47,46,109,110,78,47,16,78,47,78,2
31,16,31,63,62,172,94,79,94,516,78,62,141,110,109,94,79,46,94,94,2
63,78,94,62,63,78,62,63,62,78,109,94,78,63,78,62,47,31,78,63,2
78,79,109,62,78,63,125,78,47,63,62,63,78,79,93,78,78,47,62,78,2
94,78,109,62,63,78,125,62,63,78,109,94,78,63,78,62,63,31,125,63,2
109,63,47,31,47,125,47,93,78,78,15,78,47,16,110,62,16,47,94,78,2
47,78,78,78,93,32,500,609,16,16,31,78,31,78,109,62,0,94,16,16,2
94,0,78,78,47,125,47,31,94,78,15,78,47,16,110,62,16,93,78,78,2
94,109,703,78,157,78,172,79,93,94,141,79,79,78,63,93,94,15,94,62,2
94,93,110,78,0,94,157,125,94,110,94,78,78,141,78,94,78,47,78,78,2
110,78,125,93,157,78,156,140,78,79,141,79,79,78,63,93,94,156,94,62,2
94,62,141,63,94,78,187,63,47,63,156,109,78,78,188,78,78,78,78,47,2
94,63,125,78,63,62,62,62,78,78,63,78,63,156,62,125,63,78,62,63,2
63,63,125,47,94,78,140,63,78,62,156,109,78,78,188,78,47,47,94,47,2
78,157,62,125,0,78,78,63,78,266,78,62,31,46,93,0,31,94,47,78,2
94,94,47,125,78,47,47,62,31,156,94,63,15,1390,63,141,16,94,94,93,2
47,16,94,78,0,78,15,125,94,31,78,62,31,46,93,0,63,31,156,78,2
62,109,78,94,62,109,31,94,31,110,63,94,141,15,93,32,31,78,63,78,2
78,93,109,94,78,31,31,78,31,156,94,46,63,0,125,500,78,78,94,63,2
78,78,46,31,62,109,0,78,109,63,63,94,141,15,93,32,78,94,78,78,2
