dtfk1,dtfk3,dtsk3,ft4,dtsk4,dtfk5,ft5,dtfk7,dtsk7,ft8,dtfk10,dtsk10,dtfk11,dtsk12,dtfk13,dtfk14,ft14,gender
94,63,47,47,62,0,32,47,156,125,63,63,79,266,16,110,31,2
171,94,125,156,250,62,94,63,62,78,156,62,94,78,78,93,47,2
109,78,94,141,250,250,47,62,62,31,63,78,32,16,16,63,31,2
63,94,94,172,16,0,47,47,16,31,15,78,31,125,16,63,31,2
32,62,78,141,250,906,1000,94,78,875,63,78,32,16,110,63,31,2
62,62,78,31,109,109,31,62,78,110,16,359,218,62,16,47,46,2
47,63,32,16,47,0,15,31,16,94,62,94,94,16,16,63,47,2
63,78,79,31,109,0,31,125,78,78,16,359,218,62,47,47,46,2
172,78,94,31,140,140,31,93,94,110,125,109,62,109,125,78,78,2
219,94,94,62,78,0,16,31,125,203,78,63,94,78,16,78,63,2
140,94,78,31,140,109,16,109,78,79,125,109,62,109,78,78,78,2
57,69,90,63,80,80,442,89,79,96,47,78,69,109,81,33,69,2
192,98,65,31,78,70,411,89,81,94,58,150,78,141,79,78,63,2
74,79,104,63,80,73,185,11,31,94,47,78,69,109,78,33,69,2
110,94,109,63,172,172,47,79,78,156,110,78,156,125,15,78,78,2
94,78,63,16,78,0,31,109,15,109,78,63,110,62,410,109,172,2
187,78,78,63,172,0,15,93,94,125,110,78,156,125,125,78,78,2
93,63,93,32,187,187,0,63,78,94,16,78,94,78,20,109,16,2
125,94,93,16,62,110,31,47,20,47,47,63,94,15,32,63,46,2
78,78,93,32,187,109,47,63,78,47,16,78,94,78,125,109,16,2
62,63,78,219,62,62,31,63,47,109,547,1015,79,62,62,47,47,2
62,47,46,63,78,63,94,79,62,109,31,62,93,485,47,63,62,2
31,47,62,219,62,47,78,94,47,94,547,1015,79,62,63,47,47,2
109,78,125,63,109,109,47,94,94,78,63,109,78,78,47,79,31,2
94,78,78,31,110,78,78,16,47,78,78,78,109,62,78,78,31,2
125,94,94,63,109,93,78,94,78,93,63,109,78,78,94,79,31,2
93,110,94,31,79,79,31,78,46,78,31,79,125,94,31,94,16,2
94,62,47,32,78,98,59,62,31,62,63,93,79,0,62,93,32,2
79,46,62,31,79,94,31,78,94,78,31,79,125,94,62,94,16,2
94,79,79,15,140,140,47,109,62,93,47,78,94,78,16,94,16,2
94,62,78,32,94,0,16,31,16,63,63,78,78,31,78,62,16,2
62,62,78,15,140,0,63,62,78,78,47,78,94,78,94,94,16,2
63,46,47,62,78,78,125,62,62,156,94,156,63,31,47,62,31,2
63,47,47,47,63,125,62,110,47,125,32,47,62,94,16,47,47,2
203,62,47,62,78,79,46,62,62,63,94,156,63,31,62,62,31,2
140,109,94,62,172,172,15,94,63,109,78,62,141,94,16,94,47,2
125,94,78,32,78,94,46,16,16,109,47,46,109,47,16,78,62,2
31,63,94,62,172,78,94,79,94,94,78,62,141,94,79,94,47,2
63,62,62,63,78,78,62,63,62,94,109,94,78,62,47,63,47,2
78,62,62,78,63,63,125,78,47,125,62,63,78,78,78,78,62,2
94,62,78,63,78,47,125,62,63,843,109,94,78,62,63,63,47,2
109,31,78,47,125,125,47,93,78,16,15,78,47,62,16,78,0,2
47,78,110,93,32,484,500,609,16,63,31,78,31,62,0,16,94,2
94,78,110,47,125,0,47,31,94,0,15,78,47,62,16,78,0,2
94,78,62,157,78,78,172,79,93,109,141,79,79,93,94,62,31,2
94,78,63,0,94,109,157,125,94,93,94,78,78,94,78,78,94,2
110,93,78,157,78,47,156,140,78,78,141,79,79,93,94,62,31,2
94,63,63,94,78,78,187,63,47,109,156,109,78,78,78,47,78,2
94,78,63,63,62,63,62,62,78,125,63,78,63,125,63,63,62,2
63,47,63,94,78,63,140,63,78,78,156,109,78,78,47,47,78,2
78,125,156,0,78,78,78,63,78,47,78,62,31,0,31,78,31,2
94,125,78,78,47,141,47,62,31,63,94,63,15,141,16,93,0,2
47,78,94,0,78,0,15,125,94,1312,78,62,31,0,63,78,31,2
62,94,78,62,109,109,31,94,31,125,63,94,141,32,31,78,32,2
78,94,63,78,31,110,31,78,31,15,94,46,63,500,78,63,93,2
78,31,156,62,109,0,0,78,109,109,63,94,141,32,78,78,32,2
