ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,dtsk7,dtfk8,ft8,dtfk10,dtsk10,dtfk12,ft12,dtsk12,dtfk14,ft14,dtsk14,gender
16,125,94,78,93,32,78,156,137,109,0,94,94,94,110,79,375,78,109,78,15,78,1
110,62,94,125,297,16,203,0,140,47,16,172,78,94,157,125,141,94,78,109,31,110,1
78,109,109,110,110,109,203,203,109,125,47,110,110,93,156,125,109,110,93,94,47,78,1
15,93,109,78,125,47,62,0,109,46,109,78,110,94,79,94,94,94,172,78,31,94,1
375,63,110,93,110,109,203,0,125,141,31,110,78,109,156,125,109,110,93,94,47,78,1
47,141,141,109,109,31,78,78,31,15,47,31,78,78,94,62,62,47,63,0,78,16,1
156,47,47,47,31,156,16,531,31,47,79,31,31,47,31,62,47,109,31,31,62,0,1
156,62,31,47,109,31,78,671,31,78,32,93,16,0,94,62,62,47,63,0,78,16,1
15,141,141,110,110,31,125,125,125,63,125,203,203,32,125,93,31,16,63,15,93,47,1
31,125,94,125,16,110,94,0,125,0,16,46,16,47,47,79,1000,78,156,0,63,93,1
62,47,203,16,110,31,125,657,15,250,78,453,94,78,125,93,31,16,63,15,93,47,1
62,63,63,63,63,172,78,78,78,78,79,62,63,203,40,106,63,94,62,78,79,62,1
47,46,63,62,79,62,63,78,47,94,93,63,78,125,47,31,101,176,13,62,141,62,1
62,46,62,94,63,172,78,62,78,78,140,63,74,67,40,106,63,94,62,78,79,62,1
78,109,109,109,109,79,109,109,78,47,234,78,110,156,141,109,109,203,63,63,16,62,2
47,94,93,63,125,63,62,0,141,94,109,32,78,187,78,63,125,63,94,78,16,78,2
16,125,78,62,109,79,109,0,94,125,109,109,63,78,141,109,109,203,63,63,16,62,2
16,62,62,94,94,156,250,250,141,109,62,94,109,78,156,62,109,47,78,93,47,110,2
31,110,63,47,47,47,62,0,141,47,125,156,78,125,63,63,94,62,266,110,31,78,2
63,31,94,125,94,156,250,62,94,63,15,62,109,78,156,62,109,47,78,93,47,110,2
47,78,78,94,94,141,250,250,47,62,47,62,47,31,63,78,16,78,16,63,31,78,2
15,109,94,94,78,172,16,0,47,47,125,16,94,31,15,78,968,63,125,63,31,110,2
93,62,62,78,94,141,250,906,47,94,203,78,91,875,63,78,16,78,16,63,31,78,2
16,62,62,78,78,31,109,109,63,62,32,78,62,110,16,359,16,47,62,47,46,63,2
359,47,63,32,62,16,47,0,94,31,47,16,62,94,62,94,94,156,16,63,47,47,2
78,16,78,79,78,31,109,0,94,125,78,78,62,78,16,359,16,47,62,47,46,63,2
437,78,78,94,94,31,140,140,62,93,16,94,94,110,125,109,78,94,109,78,78,62,2
15,78,94,94,94,62,78,0,62,31,109,125,94,203,78,63,109,78,78,78,63,78,2
110,63,94,78,94,31,140,109,78,109,16,78,62,79,125,109,78,94,109,78,78,62,2
4369,69,69,90,90,63,80,80,110,89,36,79,79,96,47,78,63,78,109,33,69,61,2
4,72,98,65,78,31,78,70,65,89,24,81,94,94,58,150,141,62,141,78,63,78,2
6,79,79,104,90,63,80,73,103,11,73,31,47,94,47,78,63,78,109,33,69,61,2
156,94,94,109,109,63,172,172,109,79,78,78,109,156,110,78,78,47,125,78,78,125,2
15,78,78,63,156,16,78,0,109,109,94,15,110,109,78,63,109,94,62,109,172,125,2
78,94,78,78,109,63,172,0,109,93,172,94,141,125,110,78,78,47,125,78,78,125,2
32,63,63,93,93,32,187,187,78,63,31,78,78,94,16,78,63,15,78,109,16,93,2
32,32,94,93,62,16,62,110,78,47,117,20,94,47,47,63,109,172,15,63,46,125,2
78,78,78,93,93,32,187,109,63,63,15,78,94,47,16,78,63,15,78,109,16,93,2
141,63,63,78,78,219,62,62,47,63,109,47,94,109,547,1015,63,203,62,47,47,78,2
78,47,47,46,62,63,78,63,78,79,125,62,63,109,31,62,188,62,485,63,62,63,2
109,78,47,62,78,219,62,47,109,94,219,47,63,94,547,1015,63,203,62,47,47,78,2
125,78,78,125,125,63,109,109,125,94,0,94,94,78,63,109,94,47,78,79,31,78,2
16,78,78,78,94,31,110,78,187,16,62,47,109,78,78,78,94,94,62,78,31,94,2
0,94,94,94,125,63,109,93,110,94,31,78,94,93,63,109,94,47,78,79,31,78,2
47,110,110,94,94,31,79,79,140,78,16,46,110,78,31,79,110,15,94,94,16,78,2
16,125,62,47,78,32,78,98,124,62,94,31,94,62,63,93,78,78,0,93,32,62,2
31,344,46,62,94,31,79,94,125,78,16,94,78,78,31,79,110,15,94,94,16,78,2
31,79,79,79,79,15,140,140,90,109,0,62,110,93,47,78,78,0,78,94,16,78,2
0,94,62,78,78,32,94,0,93,31,140,16,78,63,63,78,94,78,31,62,16,94,2
16,63,62,78,79,15,140,0,125,62,31,78,109,78,47,78,78,0,78,94,16,78,2
343,46,46,47,47,62,78,78,79,62,16,62,156,156,94,156,110,234,31,62,31,47,2
0,47,47,47,93,47,63,125,141,110,62,47,78,125,32,47,140,63,94,47,47,62,2
47,16,62,47,47,62,78,79,110,62,16,62,47,63,94,156,110,234,31,62,31,47,2
31,109,109,94,94,62,172,172,100,94,46,63,94,109,78,62,110,109,94,94,47,62,2
32,78,94,78,93,32,78,94,110,16,141,16,94,109,47,46,110,78,47,78,62,79,2
109,94,63,94,94,62,172,78,125,79,15,94,516,94,78,62,110,109,94,94,47,62,2
78,62,62,62,62,63,78,78,79,63,78,62,78,94,109,94,63,78,62,63,47,62,2
62,63,62,62,63,78,63,63,62,78,125,47,63,125,62,63,79,93,78,78,62,63,2
78,63,62,78,62,63,78,47,63,62,78,63,78,843,109,94,63,78,62,63,47,62,2
47,31,31,78,78,47,125,125,47,93,16,78,78,16,15,78,16,110,62,78,0,31,2
16,78,78,110,16,93,32,484,47,609,47,16,16,63,31,78,78,109,62,16,94,16,2
156,47,78,110,78,47,125,0,62,31,78,94,78,0,15,78,16,110,62,78,0,31,2
32,78,78,62,62,157,78,78,62,79,78,93,94,109,141,79,78,63,93,62,31,79,2
16,62,78,63,93,0,94,109,78,125,141,94,110,93,94,78,141,78,94,78,94,94,2
78,63,93,78,62,157,78,47,94,140,63,78,79,78,141,79,78,63,93,62,31,79,2
109,63,63,63,63,94,78,78,63,63,62,47,63,109,156,109,78,188,78,47,78,63,2
47,62,78,63,62,63,62,63,78,62,94,78,78,125,63,78,156,62,125,63,62,47,2
62,47,47,63,63,94,78,63,47,63,47,78,62,78,156,109,78,188,78,47,78,63,2
47,125,125,156,156,0,78,78,180,63,16,78,266,47,78,62,46,93,0,78,31,63,2
15,94,125,78,15,78,47,141,187,62,47,31,156,63,94,63,1390,63,141,93,0,63,2
47,0,78,94,156,0,78,0,172,125,94,94,31,1312,78,62,46,93,0,78,31,63,2
79,94,94,78,78,62,109,109,125,94,141,31,110,125,63,94,15,93,32,78,32,93,2
125,16,94,63,47,78,31,110,125,78,78,31,156,15,94,46,0,125,500,63,93,78,2
31,94,31,156,78,62,109,0,94,78,47,109,63,109,63,94,15,93,32,78,32,93,2
