dtfk1,ft1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtfk6,dtsk6,ft7,ft8,dtfk10,ft10,dtsk10,dtfk11,dtfk12,ft12,dtsk12,dtfk14,dtsk14,gender
250,0,125,109,78,94,47,156,79,140,16,0,15,109,15,141,94,250,125,16,114,125,109,1
125,15,78,78,78,78,16,141,62,125,78,78,63,47,47,47,63,62,109,78,16,110,156,1
78,15,16,125,78,78,78,63,15,125,63,110,78,47,78,109,63,78,31,109,187,94,78,1
78,31,110,78,94,78,16,141,0,94,94,47,63,0,47,47,63,62,109,78,16,110,156,1
93,47,109,109,297,297,16,203,15,137,78,172,16,109,157,62,125,94,141,94,78,109,110,1
172,16,125,94,78,93,32,78,16,137,125,94,0,94,110,93,79,109,375,78,109,78,78,1
62,110,62,94,125,297,16,203,47,140,32,16,16,94,157,62,125,94,141,94,78,109,110,1
94,78,109,109,110,110,109,203,78,109,78,500,47,93,156,78,125,109,109,110,93,94,78,1
500,15,93,109,78,125,47,62,15,109,125,609,109,94,79,62,94,78,94,94,172,78,94,1
93,375,63,110,93,110,109,203,47,125,78,141,31,109,156,78,125,109,109,110,93,94,78,1
156,47,141,141,109,109,31,78,32,31,47,78,47,78,94,16,62,47,62,47,63,0,16,1
78,156,47,47,47,31,156,16,625,31,62,172,79,47,31,94,62,94,47,109,31,31,0,1
78,156,62,31,47,109,31,78,193,31,15,0,32,0,94,16,62,47,62,47,63,0,16,1
110,15,141,141,110,110,31,125,31,125,125,47,125,32,125,47,93,47,31,16,63,15,47,1
47,31,125,94,125,16,110,94,0,125,93,78,16,47,47,93,79,0,1000,78,156,0,93,1
32,62,47,203,16,110,31,125,720,15,63,125,78,78,125,47,93,47,31,16,63,15,47,1
94,62,63,63,63,63,172,78,31,78,62,78,79,203,40,60,106,47,63,94,62,78,62,1
78,47,46,63,62,79,62,63,250,47,106,91,93,125,47,78,31,78,101,176,13,62,62,1
63,62,46,62,94,63,172,78,188,78,27,115,140,67,40,60,106,47,63,94,62,78,62,1
78,78,109,109,109,109,79,109,31,78,63,78,234,156,141,62,109,140,109,203,63,63,62,2
78,47,94,93,63,125,63,62,31,141,109,203,109,187,78,78,63,109,125,63,94,78,78,2
78,16,125,78,62,109,79,109,16,94,93,62,109,78,141,62,109,140,109,203,63,63,62,2
375,16,62,62,94,94,156,250,31,141,47,94,62,78,156,63,62,94,109,47,78,93,110,2
94,31,110,63,47,47,47,62,32,141,62,16,125,125,63,62,63,79,94,62,266,110,78,2
171,63,31,94,125,94,156,250,94,94,32,172,15,78,156,63,62,94,109,47,78,93,110,2
