dtfk1,ft3,ft4,dtsk4,dtfk5,ft5,dtsk5,dtsk6,dtsk7,dtfk8,ft8,dtsk8,dtfk10,dtsk10,dtfk11,ft12,dtsk12,dtsk13,dtfk14,ft14,gender
47,15,110,94,0,0,125,78,46,16,47,62,47,79,0,78,156,15,0,63,1
32,16,31,125,657,720,15,125,453,94,78,1000,125,93,47,16,63,219,15,93,1
94,31,172,78,78,31,78,78,62,63,203,47,40,106,47,94,62,62,78,79,1
78,297,62,63,78,250,47,91,63,78,125,47,47,31,78,176,13,62,62,141,1
63,47,172,78,62,188,78,115,63,74,67,101,40,106,47,94,62,235,78,79,1
78,297,79,109,109,31,78,78,78,110,156,62,141,109,140,203,63,109,63,16,2
78,203,63,62,0,31,141,203,32,78,187,63,78,63,109,63,94,110,78,16,2
78,172,79,109,0,16,94,62,109,63,78,125,141,109,140,203,63,78,63,16,2
375,94,156,250,250,31,141,94,94,109,78,141,156,62,94,47,78,109,93,47,2
94,62,47,62,0,32,141,16,156,78,125,110,63,63,79,62,266,31,110,31,2
171,47,156,250,62,94,94,172,62,109,78,94,156,62,94,47,78,172,93,47,2
109,16,141,250,250,47,47,63,62,47,31,47,63,78,32,78,16,47,63,31,2
63,31,172,16,0,47,47,47,16,94,31,49,15,78,31,63,125,16,63,31,2
32,16,141,250,906,1000,47,141,78,91,875,968,63,78,32,78,16,93,63,31,2
62,32,31,109,109,31,63,47,78,62,110,94,16,359,218,47,62,16,47,46,2
47,15,16,47,0,15,94,47,16,62,94,78,62,94,94,156,16,15,63,47,2
63,15,31,109,0,31,94,79,78,62,78,94,16,359,218,47,62,94,47,46,2
172,94,31,140,140,31,62,219,94,94,110,78,125,109,62,94,109,94,78,78,2
219,62,62,78,0,16,62,110,125,94,203,78,78,63,94,78,78,46,78,63,2
140,47,31,140,109,16,78,94,78,62,79,109,125,109,62,94,109,78,78,78,2
57,166,63,80,80,442,110,192,79,79,96,80,47,78,69,78,109,78,33,69,2
192,49,31,78,70,411,65,187,81,94,94,78,58,150,78,62,141,85,78,63,2
74,21,63,80,73,185,103,172,31,47,94,141,47,78,69,78,109,94,33,69,2
110,172,63,172,172,47,109,94,78,109,156,94,110,78,156,47,125,78,78,78,2
94,62,16,78,0,31,109,62,15,110,109,94,78,63,110,94,62,62,109,172,2
187,109,63,172,0,15,109,141,94,141,125,109,110,78,156,47,125,109,78,78,2
93,0,32,187,187,0,78,125,78,78,94,94,16,78,94,15,78,78,109,16,2
125,16,16,62,110,31,78,78,20,94,47,156,47,63,94,172,15,421,63,46,2
78,16,32,187,109,47,63,94,78,94,47,109,16,78,94,15,78,125,109,16,2
62,94,219,62,62,31,47,62,47,94,109,63,547,1015,79,203,62,46,47,47,2
62,125,63,78,63,94,78,125,62,63,109,63,31,62,93,62,485,63,63,62,2
31,125,219,62,47,78,109,125,47,63,94,188,547,1015,79,203,62,78,47,47,2
109,109,63,109,109,47,125,94,94,94,78,110,63,109,78,47,78,63,79,31,2
94,63,31,110,78,78,187,46,47,109,78,94,78,78,109,94,62,94,78,31,2
125,15,63,109,93,78,110,63,78,94,93,94,63,109,78,47,78,141,79,31,2
93,93,31,79,79,31,140,94,46,110,78,78,31,79,125,15,94,16,94,16,2
94,47,32,78,98,59,124,125,31,94,62,94,63,93,79,78,0,93,93,32,2
79,110,31,79,94,31,125,62,94,78,78,78,31,79,125,15,94,78,94,16,2
94,46,15,140,140,47,90,94,62,110,93,47,47,78,94,0,78,0,94,16,2
94,579,32,94,0,16,93,31,16,78,63,78,63,78,78,78,31,79,62,16,2
62,32,15,140,0,63,125,31,78,109,78,94,47,78,94,0,78,110,94,16,2
63,188,62,78,78,125,79,63,62,156,156,94,94,156,63,234,31,110,62,31,2
63,94,47,63,125,62,141,141,47,78,125,63,32,47,62,63,94,47,47,47,2
203,94,62,78,79,46,110,156,62,47,63,140,94,156,63,234,31,63,62,31,2
140,47,62,172,172,15,100,125,63,94,109,78,78,62,141,109,94,32,94,47,2
125,31,32,78,94,46,110,62,16,94,109,63,47,46,109,78,47,47,78,62,2
31,78,62,172,78,94,125,78,94,516,94,110,78,62,141,109,94,94,94,47,2
63,63,63,78,78,62,79,78,62,78,94,62,109,94,78,78,62,78,63,47,2
78,63,78,63,63,125,62,15,47,63,125,62,62,63,78,93,78,62,78,62,2
94,47,63,78,47,125,63,94,63,78,843,79,109,94,78,78,62,125,63,47,2
109,16,47,125,125,47,47,47,78,78,16,78,15,78,47,110,62,94,78,0,2
47,16,93,32,484,500,47,0,16,16,63,31,31,78,31,109,62,16,16,94,2
94,0,47,125,0,47,62,110,94,78,0,78,15,78,47,110,62,78,78,0,2
94,94,157,78,78,172,62,94,93,94,109,63,141,79,79,63,93,94,62,31,2
94,141,0,94,109,157,78,93,94,110,93,94,94,78,78,78,94,78,78,94,2
110,79,157,78,47,156,94,15,78,79,78,141,141,79,79,63,93,94,62,31,2
94,93,94,78,78,187,63,94,47,63,109,63,156,109,78,188,78,78,47,78,2
94,78,63,62,63,62,78,172,78,78,125,63,63,78,63,62,125,62,63,62,2
63,109,94,78,63,140,47,110,78,62,78,156,156,109,78,188,78,94,47,78,2
78,46,0,78,78,78,180,94,78,266,47,62,78,62,31,93,0,47,78,31,2
94,110,78,47,141,47,187,219,31,156,63,70,94,63,15,63,141,94,93,0,2
47,15,0,78,0,15,172,110,94,31,1312,1390,78,62,31,93,0,156,78,31,2
62,94,62,109,109,31,125,78,31,110,125,109,63,94,141,93,32,63,78,32,2
78,109,78,31,110,31,125,109,31,156,15,111,94,46,63,125,500,94,63,93,2
78,78,62,109,0,0,94,120,109,63,109,0,63,94,141,93,32,78,78,32,2
