dtfk1,ft1,dtsk1,dtsk2,dtfk3,dtsk3,dtfk4,ft4,dtsk4,ft5,dtsk5,dtsk6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,dtsk12,dtfk13,ft14,gender
78,47,62,46,63,62,79,62,63,250,47,91,94,93,63,78,47,31,78,109,63,101,13,63,141,1
63,62,63,46,62,94,63,172,78,188,78,115,78,140,63,74,40,106,47,125,63,63,62,62,79,1
78,78,110,109,109,109,109,79,109,31,78,78,47,234,78,110,141,109,140,16,62,109,63,32,16,2
78,47,78,94,93,63,125,63,62,31,141,203,94,109,32,78,78,63,109,16,78,125,94,78,16,2
78,16,78,125,78,62,109,79,109,16,94,62,125,109,109,63,141,109,140,16,62,109,63,78,16,2
375,16,78,62,62,94,94,156,250,31,141,94,109,62,94,109,156,62,94,62,94,109,78,156,47,2
94,31,78,110,63,47,47,47,62,32,141,16,47,125,156,78,63,63,79,78,62,94,266,16,31,2
171,63,16,31,94,125,94,156,250,94,94,172,63,15,62,109,156,62,94,62,94,109,78,78,47,2
109,47,172,78,78,94,94,141,250,47,47,63,62,47,62,47,63,78,32,141,31,16,16,16,31,2
63,15,109,109,94,94,78,172,16,47,47,47,47,125,16,94,15,78,31,94,31,968,125,16,31,2
32,93,16,62,62,78,94,141,250,1000,47,141,94,203,78,91,63,78,32,141,31,16,16,110,31,2
62,16,109,62,62,78,78,31,109,31,63,47,62,32,78,62,16,359,218,47,16,16,62,16,46,2
47,359,94,47,63,32,62,16,47,15,94,47,31,47,16,62,62,94,94,15,62,94,16,16,47,2
63,78,16,16,78,79,78,31,109,31,94,79,125,78,78,62,16,359,218,47,16,16,62,47,46,2
172,437,94,78,78,94,94,31,140,31,62,219,93,16,94,94,125,109,62,94,62,78,109,125,78,2
219,15,94,78,94,94,94,62,78,16,62,110,31,109,125,94,78,63,94,109,62,109,78,16,63,2
140,110,16,63,94,78,94,31,140,16,78,94,109,16,78,62,125,109,62,94,62,78,109,78,78,2
57,4369,113,69,69,90,90,63,80,442,110,192,89,36,79,79,47,78,69,111,41,63,109,81,69,2
192,4,79,72,98,65,78,31,78,411,65,187,89,24,81,94,58,150,78,94,94,141,141,79,63,2
74,6,79,79,79,104,90,63,80,185,103,172,11,73,31,47,47,78,69,111,41,63,109,78,69,2
110,156,125,94,94,109,109,63,172,47,109,94,79,78,78,109,110,78,156,63,141,78,125,15,78,2
94,15,94,78,78,63,156,16,78,31,109,62,109,94,15,110,78,63,110,47,62,109,62,410,172,2
187,78,410,94,78,78,109,63,172,15,109,141,93,172,94,141,110,78,156,63,141,78,125,125,78,2
93,32,125,63,63,93,93,32,187,0,78,125,63,31,78,78,16,78,94,78,47,63,78,20,16,2
125,32,94,32,94,93,62,16,62,31,78,78,47,117,20,94,47,63,94,31,63,109,15,32,46,2
78,78,32,78,78,93,93,32,187,47,63,94,63,15,78,94,16,78,94,78,47,63,78,125,16,2
62,141,78,63,63,78,78,219,62,31,47,62,63,109,47,94,547,1015,79,125,62,63,62,62,47,2
62,78,63,47,47,46,62,63,78,94,78,125,79,125,62,63,31,62,93,110,93,188,485,47,62,2
31,109,47,78,47,62,78,219,62,78,109,125,94,219,47,63,547,1015,79,125,62,63,62,63,47,2
109,125,109,78,78,125,125,63,109,47,125,94,94,0,94,94,63,109,78,93,203,94,78,47,31,2
94,16,78,78,78,78,94,31,110,78,187,46,16,62,47,109,78,78,109,110,62,94,62,78,31,2
125,0,78,94,94,94,125,63,109,78,110,63,94,31,78,94,63,109,78,93,203,94,78,94,31,2
93,47,125,110,110,94,94,31,79,31,140,94,78,16,46,110,31,79,125,62,109,110,94,31,16,2
94,16,62,125,62,47,78,32,78,59,124,125,62,94,31,94,63,93,79,93,140,78,0,62,32,2
79,31,62,344,46,62,94,31,79,31,125,62,78,16,94,78,31,79,125,62,109,110,94,62,16,2
94,31,78,79,79,79,79,15,140,47,90,94,109,0,62,110,47,78,94,94,47,78,78,16,16,2
94,0,63,94,62,78,78,32,94,16,93,31,31,140,16,78,63,78,78,94,78,94,31,78,16,2
62,16,78,63,62,78,79,15,140,63,125,31,62,31,78,109,47,78,94,94,47,78,78,94,16,2
63,343,63,46,46,47,47,62,78,125,79,63,62,16,62,156,94,156,63,109,62,110,31,47,31,2
63,0,78,47,47,47,93,47,63,62,141,141,110,62,47,78,32,47,62,125,63,140,94,16,47,2
203,47,16,16,62,47,47,62,78,46,110,156,62,16,62,47,94,156,63,109,62,110,31,62,31,2
140,31,141,109,109,94,94,62,172,15,100,125,94,46,63,94,78,62,141,62,125,110,94,16,47,2
125,32,110,78,94,78,93,32,78,46,110,62,16,141,16,94,47,46,109,31,110,110,47,16,62,2
31,109,16,94,63,94,94,62,172,94,125,78,79,15,94,516,78,62,141,62,125,110,94,79,47,2
63,78,78,62,62,62,62,63,78,62,79,78,63,78,62,78,109,94,78,93,63,63,62,47,47,2
78,62,79,63,62,62,63,78,63,125,62,15,78,125,47,63,62,63,78,94,63,79,78,78,62,2
94,78,78,63,62,78,62,63,78,125,63,94,62,78,63,78,109,94,78,93,63,63,62,63,47,2
109,47,63,31,31,78,78,47,125,47,47,47,93,16,78,78,15,78,47,63,109,16,62,16,0,2
47,16,78,78,78,110,16,93,32,500,47,0,609,47,16,16,31,78,31,62,79,78,62,0,94,2
94,156,0,47,78,110,78,47,125,47,62,110,31,78,94,78,15,78,47,63,109,16,62,16,0,2
94,32,109,78,78,62,62,157,78,172,62,94,79,78,93,94,141,79,79,78,78,78,93,94,31,2
94,16,93,62,78,63,93,0,94,157,78,93,125,141,94,110,94,78,78,110,78,141,94,78,94,2
110,78,78,63,93,78,62,157,78,156,94,15,140,63,78,79,141,79,79,78,78,78,93,94,31,2
94,109,62,63,63,63,63,94,78,187,63,94,63,62,47,63,156,109,78,94,63,78,78,78,78,2
94,47,63,62,78,63,62,63,62,62,78,172,62,94,78,78,63,78,63,109,78,156,125,63,62,2
63,62,63,47,47,63,63,94,78,140,47,110,63,47,78,62,156,109,78,94,63,78,78,47,78,2
78,47,157,125,125,156,156,0,78,78,180,94,63,16,78,266,78,62,31,109,47,46,0,31,31,2
94,15,94,94,125,78,15,78,47,47,187,219,62,47,31,156,94,63,15,125,46,1390,141,16,0,2
47,47,16,0,78,94,156,0,78,15,172,110,125,94,94,31,78,62,31,109,47,46,0,63,31,2
62,79,109,94,94,78,78,62,109,31,125,78,94,141,31,110,63,94,141,0,62,15,32,31,32,2
78,125,93,16,94,63,47,78,31,31,125,109,78,78,31,156,94,46,63,172,16,0,500,78,93,2
78,31,78,94,31,156,78,62,109,0,94,120,78,47,109,63,63,94,141,0,62,15,32,78,32,2
