@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,20,21,22,23,24,27,30,33,34,36,42,43'

@attribute dtfk4 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
125,63,609,46,141,266,79,62,78,110,94,79,78,78,78,31,1
110,78,141,141,1020,1114,156,78,109,63,110,94,484,203,94,47,1
109,62,78,15,687,125,94,16,47,125,47,31,78,0,0,78,1
31,79,172,47,0,78,31,94,94,0,109,32,78,31,31,62,1
109,109,0,78,797,937,94,16,47,125,47,0,79,78,0,78,1
110,31,47,63,610,109,125,47,47,141,16,46,109,16,15,93,1
16,63,78,0,125,203,47,93,0,93,78,0,94,15,0,63,1
110,47,125,250,656,781,125,47,47,141,16,93,63,219,15,93,1
63,141,78,78,109,125,40,60,47,125,94,63,94,62,78,79,1
79,67,91,94,115,76,47,78,78,109,176,63,78,62,62,141,1
63,86,115,78,62,63,40,60,47,125,94,62,141,235,78,79,1
109,125,78,47,0,16,141,62,140,16,203,32,78,109,63,16,2
125,47,203,94,62,203,78,78,109,16,63,78,265,110,78,16,2
109,251,62,125,813,156,141,62,140,16,203,78,219,78,63,16,2
94,125,94,109,93,157,156,63,94,62,47,156,63,109,93,47,2
47,94,16,47,172,219,63,62,79,78,62,16,78,31,110,31,2
94,46,172,63,953,1047,156,63,94,62,47,78,110,172,93,47,2
94,15,63,62,0,31,63,62,32,141,78,16,78,47,63,31,2
78,172,47,47,141,31,15,63,31,94,63,16,78,16,63,31,2
94,31,141,94,735,797,63,62,32,141,78,110,15,93,63,31,2
78,140,47,62,0,47,16,188,218,47,47,16,78,16,47,46,2
62,78,47,31,79,93,62,63,94,15,156,16,78,15,63,47,2
78,32,79,125,703,766,16,188,218,47,47,47,15,94,47,46,2
94,141,219,93,94,125,125,63,62,94,94,125,78,94,78,78,2
94,62,110,31,94,46,78,78,94,109,78,16,78,46,78,63,2
94,78,94,109,937,63,125,63,62,94,94,78,94,78,78,78,2
90,101,192,89,78,297,47,78,69,111,78,81,37,78,33,69,2
78,94,187,89,172,94,58,68,78,94,62,79,13,85,78,63,2
90,31,172,11,74,258,47,78,69,111,78,78,15,94,33,69,2
109,78,94,79,78,109,110,250,156,63,47,15,63,78,78,78,2
156,94,62,109,141,78,78,78,110,47,94,410,94,62,109,172,2
109,93,141,93,828,94,110,250,156,63,47,125,266,109,78,78,2
