@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,3,5,6,7,8,12,13,14,15,16,17,18,20,21,22,23,24,27,30,33,34,35,36,39,42,43'

@attribute dtfk1 numeric
@attribute dtfk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
62,62,46,62,63,79,125,94,31,828,93,110,47,172,63,62,2
31,47,62,78,219,94,79,171,547,63,79,125,63,125,47,47,2
109,109,125,125,63,94,109,47,63,78,78,93,47,78,79,31,2
94,156,78,94,31,16,63,93,78,78,109,110,78,78,78,31,2
125,94,94,125,63,94,843,984,63,78,78,93,94,31,79,31,2
93,125,94,94,31,78,172,78,31,62,125,62,31,78,94,16,2
94,125,47,78,32,62,62,94,63,78,79,93,62,32,93,32,2
79,31,62,94,31,78,609,94,31,62,125,62,62,32,94,16,2
94,78,79,79,15,109,94,46,47,63,94,94,16,78,94,16,2
94,16,78,78,32,31,31,125,63,78,78,94,78,15,62,16,2
62,78,78,79,15,62,781,94,47,63,94,94,94,15,94,16,2
63,63,47,47,62,62,62,157,94,62,63,109,47,78,62,31,2
63,125,47,93,47,110,156,63,32,125,62,125,16,78,47,47,2
203,63,47,47,62,62,922,62,94,62,63,109,62,47,62,31,2
140,141,94,94,62,94,94,16,78,47,141,62,16,93,94,47,2
125,172,78,93,32,16,78,62,47,94,109,31,16,78,78,62,2
31,250,94,94,62,79,828,968,78,47,141,62,79,46,94,47,2
63,78,62,62,63,63,62,63,109,62,78,93,47,31,63,47,2
78,47,62,63,78,78,94,157,62,78,78,94,78,47,78,62,2
94,47,78,62,63,62,62,63,109,62,78,93,63,31,63,47,2
109,63,78,78,47,93,594,78,15,78,47,63,16,47,78,0,2
47,31,110,16,93,609,110,31,31,63,31,62,0,94,16,94,2
94,32,110,78,47,31,0,547,15,78,47,63,16,93,78,0,2
94,109,62,62,157,79,125,141,141,62,79,78,94,15,62,31,2
94,78,63,93,0,125,15,125,94,78,78,110,78,47,78,94,2
110,93,78,62,157,140,0,32,141,62,79,78,94,156,62,31,2
94,62,63,63,94,63,93,47,156,63,78,94,78,78,47,78,2
94,78,63,62,63,62,110,78,63,78,63,109,63,78,63,62,2
63,78,63,63,94,63,110,94,156,63,78,94,47,47,47,78,2
78,157,156,156,0,63,0,16,78,94,31,109,31,94,78,31,2
94,110,78,15,78,62,110,20,94,62,15,125,16,94,93,0,2
47,16,94,156,0,125,984,1094,78,94,31,109,63,31,78,31,2
62,109,78,78,62,94,94,93,63,78,141,0,31,78,78,32,2
78,0,63,47,78,78,120,94,94,94,63,172,78,78,63,93,2
78,97,156,78,62,78,735,78,63,78,141,0,78,94,78,32,2
