@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,16,109,125,47,47,109,62,31,93,0,62,157,31,47,110,16,62,1
47,78,32,31,31,344,94,31,0,47,32,78,0,47,16,125,31,94,1
16,79,47,31,62,47,109,125,125,859,110,62,157,31,47,0,16,62,1
141,62,110,94,78,78,203,88,78,94,531,79,94,140,109,391,109,94,1
109,63,94,109,78,62,157,78,78,157,78,63,94,172,110,516,125,93,1
110,0,109,407,78,78,203,250,94,63,250,79,94,140,109,235,109,94,1
156,47,47,140,78,78,79,110,78,469,578,78,63,47,63,5,109,78,1
15,63,31,93,31,15,94,94,16,47,140,78,16,78,31,94,109,16,1
63,15,235,110,16,78,79,31,625,0,62,78,63,47,63,110,109,78,1
156,16,125,109,187,187,109,94,110,125,110,109,94,203,171,93,15,94,1
125,110,156,94,109,78,141,172,125,125,156,110,16,141,78,140,63,93,1
250,110,312,93,125,187,109,110,141,750,125,109,94,203,171,110,15,94,1
125,93,125,94,94,94,125,125,109,94,109,62,125,94,93,47,62,79,1
141,78,125,94,94,94,47,171,110,94,125,93,156,47,453,31,94,94,1
109,16,156,93,109,94,125,141,125,125,94,62,125,94,93,78,62,79,1
78,63,109,63,78,78,125,98,78,78,94,63,78,110,63,94,62,94,1
109,32,78,62,78,94,31,78,110,63,78,109,94,93,109,16,109,63,1
78,78,109,63,94,78,125,78,93,93,125,63,78,110,63,31,62,94,1
93,47,110,171,94,94,47,140,94,110,47,141,250,31,114,109,0,109,1
94,16,0,110,172,125,0,187,62,0,140,110,125,93,110,140,0,125,1
250,0,312,109,78,94,47,140,141,860,125,141,250,31,114,0,0,109,1
125,15,78,78,78,78,16,125,78,109,32,47,62,140,16,110,62,156,1
78,15,32,125,78,78,78,125,78,47,93,109,78,93,187,15,31,78,1
78,31,79,78,94,78,16,94,140,937,94,47,62,140,16,141,62,156,1
93,47,94,109,297,297,16,137,125,94,188,62,94,78,78,109,31,110,1
172,16,219,94,78,93,32,137,109,16,141,93,109,63,109,78,15,78,1
62,110,63,94,125,297,16,140,47,110,78,62,94,78,78,15,31,110,1
94,78,125,109,110,110,109,109,125,94,343,78,109,63,93,94,47,78,1
500,15,141,109,78,125,47,109,46,141,266,62,78,110,172,78,31,94,1
93,375,94,110,93,110,109,125,141,1020,1114,78,109,63,93,484,47,78,1
156,47,78,141,109,109,31,31,15,687,125,16,47,125,63,78,78,16,1
78,156,15,47,47,31,156,31,47,0,78,94,94,0,31,78,62,0,1
78,156,62,31,47,109,31,31,78,797,937,16,47,125,63,79,78,16,1
110,15,109,141,110,110,31,125,63,610,109,47,47,141,63,109,93,47,1
47,31,62,94,125,16,110,125,0,125,203,93,0,93,156,94,63,93,1
32,62,15,203,16,110,31,15,250,656,781,47,47,141,63,63,93,47,1
94,62,62,63,63,63,172,78,78,109,125,60,47,125,62,94,79,62,1
78,47,47,63,62,79,62,47,94,115,76,78,78,109,13,78,141,62,1
63,62,62,62,94,63,172,78,78,62,63,60,47,125,62,141,79,62,1
78,78,110,109,109,109,79,78,47,0,16,62,140,16,63,78,16,62,2
78,47,94,93,63,125,63,141,94,62,203,78,109,16,94,265,16,78,2
78,16,328,78,62,109,79,94,125,813,156,62,140,16,63,219,16,62,2
375,16,78,62,94,94,156,141,109,93,157,63,94,62,78,63,47,110,2
94,31,219,63,47,47,47,141,47,172,219,62,79,78,266,78,31,78,2
171,63,218,94,125,94,156,94,63,953,1047,63,94,62,78,110,47,110,2
109,47,172,78,94,94,141,47,62,0,31,62,32,141,16,78,31,78,2
63,15,110,94,94,78,172,47,47,141,31,63,31,94,125,78,31,110,2
32,93,110,62,78,94,141,47,94,735,797,62,32,141,16,15,31,78,2
