@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,0,141,62,94,271,380,125,94,62,0,813,47,62,125,32,31,16,1
78,94,94,78,78,140,79,79,93,47,141,63,125,47,63,93,125,110,1
63,47,94,63,62,94,62,94,125,78,78,125,62,78,78,110,63,47,1
63,78,94,62,47,140,79,78,125,63,125,63,125,47,63,93,78,110,1
126,31,125,78,109,31,172,172,156,94,16,172,0,93,140,47,94,32,1
125,46,47,109,110,15,78,110,156,31,63,15,93,110,829,31,47,31,1
141,0,78,93,78,31,172,172,157,94,78,719,0,93,140,47,0,32,1
62,78,110,78,63,78,62,62,94,78,31,47,32,62,78,94,79,62,1
94,0,0,47,62,61,52,78,188,63,62,31,78,78,62,110,31,47,1
94,47,93,94,47,78,62,79,78,94,47,895,32,62,78,94,47,62,1
125,16,94,78,93,188,78,78,94,110,31,78,78,63,78,110,125,32,1
156,16,140,109,94,0,78,0,109,156,31,78,78,47,62,94,0,235,1
109,31,78,78,109,188,78,0,94,156,16,203,78,63,78,110,31,32,1
125,16,109,125,47,109,203,203,62,31,63,93,16,62,157,31,110,16,1
47,78,32,31,31,94,0,1469,31,0,62,47,78,78,0,47,125,31,1
16,79,47,31,62,109,203,141,125,125,719,859,16,62,157,31,0,16,1
141,62,110,94,78,203,78,78,88,78,344,94,234,79,94,140,391,109,1
109,63,94,109,78,157,78,62,78,78,172,157,281,63,94,172,516,125,1
110,0,109,407,78,203,78,1109,250,94,203,63,234,79,94,140,235,109,1
156,47,47,140,78,79,110,110,110,78,16,469,63,78,63,47,5,109,1
15,63,31,93,31,94,31,141,94,16,78,47,31,78,16,78,94,109,1
63,15,235,110,16,79,110,438,31,625,32,0,63,78,63,47,110,109,1
156,16,125,109,187,109,157,157,94,110,94,125,94,109,94,203,93,15,1
125,110,156,94,109,141,47,172,172,125,125,125,93,110,16,141,140,63,1
250,110,312,93,125,109,157,94,110,141,140,750,94,109,94,203,110,15,1
125,93,125,94,94,125,125,125,125,109,63,94,94,62,125,94,47,62,1
