ft1,dtsk1,ft4,dtsk4,dtfk5,dtsk5,ft6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft14,dtsk14,gender
47,47,79,110,110,110,47,78,16,110,94,62,79,63,47,63,31,48,109,78,1
63,31,94,31,141,94,188,16,78,48,46,32,63,16,78,31,109,16,109,16,1
15,16,79,110,438,31,32,625,32,79,93,0,79,63,47,63,31,16,109,78,1
16,125,109,157,157,94,203,110,94,93,218,16,63,94,203,47,157,110,15,94,1
110,109,141,47,172,172,93,125,125,110,297,47,62,16,141,47,172,531,63,93,1
110,531,109,157,94,110,78,141,140,78,110,0,63,94,203,47,157,93,15,94,1
93,125,125,125,125,125,109,109,63,93,78,157,94,125,94,109,110,94,62,79,1
78,125,47,109,109,171,94,110,140,94,109,125,78,156,47,187,94,94,94,94,1
16,94,125,125,125,141,140,125,110,78,110,94,94,125,94,109,110,94,62,79,1
63,109,125,94,94,98,94,78,109,63,94,109,78,78,110,94,46,63,62,94,1
32,62,31,78,94,78,62,110,15,63,94,125,47,94,93,125,63,63,109,63,1
78,63,125,94,110,78,109,93,0,63,94,78,78,78,110,94,46,63,62,94,1
47,110,47,156,156,140,15,94,31,109,141,93,94,250,31,125,16,78,0,109,1
16,109,0,63,110,187,109,62,109,78,94,94,93,125,93,110,93,62,0,125,1
0,62,47,156,125,140,125,141,15,94,94,109,94,250,31,125,16,125,0,109,1
15,78,16,141,141,125,79,78,63,78,140,47,63,62,140,109,78,0,62,156,1
15,94,78,63,0,125,62,78,78,0,172,47,63,78,93,31,109,94,31,78,1
31,94,16,141,187,94,0,140,63,62,78,0,63,62,140,109,78,78,62,156,1
47,94,16,203,203,137,63,125,16,94,78,109,125,94,78,141,94,94,31,110,1
16,78,32,78,156,137,78,109,0,94,94,94,79,109,63,375,78,15,15,78,1
110,15,16,203,0,140,125,47,16,172,78,94,125,94,78,141,94,78,31,110,1
78,125,109,203,203,109,390,125,47,110,110,93,125,109,63,109,110,78,47,78,1
15,156,47,62,0,109,63,46,109,78,110,94,94,78,110,94,94,79,31,94,1
375,79,109,203,0,125,78,141,31,110,78,109,125,109,63,109,110,94,47,78,1
47,78,31,78,78,31,62,15,47,31,78,78,62,47,125,62,47,31,78,16,1
156,32,156,16,531,31,79,47,79,31,31,47,62,94,0,47,109,32,62,0,1
156,32,31,78,671,31,109,78,32,93,16,0,62,47,125,62,47,0,78,16,1
15,109,31,125,125,125,31,63,125,203,203,32,93,47,141,31,16,46,93,47,1
31,109,110,94,0,125,63,0,16,46,16,47,79,0,93,1000,78,0,63,93,1
62,0,31,125,657,15,47,250,78,453,94,78,93,47,141,31,16,93,93,47,1
62,62,172,78,78,78,141,78,79,62,63,203,106,47,125,63,94,63,79,62,1
47,62,62,63,78,47,67,94,93,63,78,125,31,78,109,101,176,63,141,62,1
62,63,172,78,62,78,86,78,140,63,74,67,106,47,125,63,94,62,79,62,1
78,110,79,109,109,78,125,47,234,78,110,156,109,140,16,109,203,32,16,62,2
47,78,63,62,0,141,47,94,109,32,78,187,63,109,16,125,63,78,16,78,2
16,78,79,109,0,94,251,125,109,109,63,78,109,140,16,109,203,78,16,62,2
16,78,156,250,250,141,125,109,62,94,109,78,62,94,62,109,47,156,47,110,2
31,78,47,62,0,141,94,47,125,156,78,125,63,79,78,94,62,16,31,78,2
63,16,156,250,62,94,46,63,15,62,109,78,62,94,62,109,47,78,47,110,2
47,172,141,250,250,47,15,62,47,62,47,31,78,32,141,16,78,16,31,78,2
15,109,172,16,0,47,172,47,125,16,94,31,78,31,94,968,63,16,31,110,2
93,16,141,250,906,47,31,94,203,78,91,875,78,32,141,16,78,110,31,78,2
16,109,31,109,109,63,140,62,32,78,62,110,359,218,47,16,47,16,46,63,2
359,94,16,47,0,94,78,31,47,16,62,94,94,94,15,94,156,16,47,47,2
78,16,31,109,0,94,32,125,78,78,62,78,359,218,47,16,47,47,46,63,2
437,94,31,140,140,62,141,93,16,94,94,110,109,62,94,78,94,125,78,62,2
15,94,62,78,0,62,62,31,109,125,94,203,63,94,109,109,78,16,63,78,2
110,16,31,140,109,78,78,109,16,78,62,79,109,62,94,78,94,78,78,62,2
4369,113,63,80,80,110,101,89,36,79,79,96,78,69,111,63,78,81,69,61,2
4,79,31,78,70,65,94,89,24,81,94,94,150,78,94,141,62,79,63,78,2
6,79,63,80,73,103,31,11,73,31,47,94,78,69,111,63,78,78,69,61,2
156,125,63,172,172,109,78,79,78,78,109,156,78,156,63,78,47,15,78,125,2
15,94,16,78,0,109,94,109,94,15,110,109,63,110,47,109,94,410,172,125,2
78,410,63,172,0,109,93,93,172,94,141,125,78,156,63,78,47,125,78,125,2
32,125,32,187,187,78,47,63,31,78,78,94,78,94,78,63,15,20,16,93,2
32,94,16,62,110,78,78,47,117,20,94,47,63,94,31,109,172,32,46,125,2
78,32,32,187,109,63,94,63,15,78,94,47,78,94,78,63,15,125,16,93,2
141,78,219,62,62,47,157,63,109,47,94,109,1015,79,125,63,203,62,47,78,2
78,63,63,78,63,78,78,79,125,62,63,109,62,93,110,188,62,47,62,63,2
109,47,219,62,47,109,62,94,219,47,63,94,1015,79,125,63,203,63,47,78,2
125,109,63,109,109,125,109,94,0,94,94,78,109,78,93,94,47,47,31,78,2
16,78,31,110,78,187,79,16,62,47,109,78,78,109,110,94,94,78,31,94,2
0,78,63,109,93,110,78,94,31,78,94,93,109,78,93,94,47,94,31,78,2
47,125,31,79,79,140,109,78,16,46,110,78,79,125,62,110,15,31,16,78,2
16,62,32,78,98,124,62,62,94,31,94,62,93,79,93,78,78,62,32,62,2
31,62,31,79,94,125,16,78,16,94,78,78,79,125,62,110,15,62,16,78,2
31,78,15,140,140,90,62,109,0,62,110,93,78,94,94,78,0,16,16,78,2
0,63,32,94,0,93,172,31,140,16,78,63,78,78,94,94,78,78,16,94,2
16,78,15,140,0,125,63,62,31,78,109,78,78,94,94,78,0,94,16,78,2
343,63,62,78,78,79,156,62,16,62,156,156,156,63,109,110,234,47,31,47,2
