ft1,dtsk1,ft2,ft3,dtfk4,dtsk4,dtfk5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft8,dtsk8,dtsk9,ft10,dtsk10,dtfk12,dtsk12,dtfk13,dtsk13,gender
32,125,47,0,93,187,187,78,93,47,125,63,94,94,78,94,78,63,78,20,78,2
32,94,125,16,62,62,110,78,78,78,78,47,47,156,15,47,63,109,15,32,421,2
78,32,32,16,93,187,109,63,16,94,94,63,47,109,47,94,78,63,78,125,125,2
141,78,109,94,78,62,62,47,46,157,62,63,109,63,94,63,1015,63,62,62,46,2
78,63,125,125,62,78,63,78,1015,78,125,79,109,63,78,828,62,188,485,47,63,2
109,47,125,125,78,62,47,109,79,62,125,94,94,188,79,63,1015,63,62,63,78,2
125,109,79,109,125,109,109,125,78,109,94,94,78,110,125,78,109,94,78,47,63,2
16,78,15,63,94,110,78,187,109,79,46,16,78,94,125,78,78,94,62,78,94,2
0,78,78,15,125,109,93,110,78,78,63,94,93,94,16,78,109,94,78,94,141,2
47,125,47,93,94,79,79,140,47,109,94,78,78,78,94,62,79,110,94,31,16,2
16,62,62,47,78,78,98,124,79,62,125,62,62,94,78,78,93,78,0,62,93,2
31,62,156,110,94,79,94,125,62,16,62,78,78,78,62,62,79,110,94,62,78,2
31,78,125,46,79,140,140,90,78,62,94,109,93,47,140,63,78,78,78,16,0,2
0,63,62,579,78,94,0,93,78,172,31,31,63,78,0,78,78,94,31,78,79,2
16,78,94,32,79,140,0,125,0,63,31,62,78,94,31,63,78,78,78,94,110,2
343,63,219,188,47,78,78,79,47,156,63,62,156,94,78,62,156,110,31,47,110,2
0,78,47,94,93,63,125,141,156,47,141,110,125,63,125,125,47,140,94,16,47,2
47,16,203,94,47,78,79,110,78,47,156,62,63,140,110,62,156,110,31,62,63,2
31,141,31,47,94,172,172,100,78,62,125,94,109,78,93,47,62,110,94,16,32,2
32,110,16,31,93,78,94,110,62,141,62,16,109,63,94,94,46,110,47,16,47,2
