dtfk4,ft4,dtsk4,dtfk5,dtsk5,dtfk7,ft7,ft8,dtsk9,ft10,dtsk10,dtfk11,ft11,dtsk12,dtfk14,dtsk14,gender
125,63,62,0,141,94,109,187,110,78,63,109,16,94,78,78,2
109,79,109,0,94,125,109,78,94,62,109,140,16,63,63,62,2
94,156,250,250,141,109,62,78,235,63,62,94,62,78,93,110,2
47,47,62,0,141,47,125,125,47,62,63,79,78,266,110,78,2
94,156,250,62,94,63,15,78,47,63,62,94,62,78,93,110,2
94,141,250,250,47,62,47,31,94,62,78,32,141,16,63,78,2
78,172,16,0,47,47,125,31,47,63,78,31,94,125,63,110,2
94,141,250,906,47,94,203,875,47,62,78,32,141,16,63,78,2
78,31,109,109,63,62,32,110,94,188,359,218,47,62,47,63,2
62,16,47,0,94,31,47,94,94,63,94,94,15,16,63,47,2
78,31,109,0,94,125,78,78,31,188,359,218,47,62,47,63,2
94,31,140,140,62,93,16,110,94,63,109,62,94,109,78,62,2
94,62,78,0,62,31,109,203,32,78,63,94,109,78,78,78,2
94,31,140,109,78,109,16,79,31,63,109,62,94,109,78,62,2
90,63,80,80,110,89,36,96,141,78,78,69,111,109,33,61,2
78,31,78,70,65,89,24,94,406,68,150,78,94,141,78,78,2
90,63,80,73,103,11,73,94,89,78,78,69,111,109,33,61,2
109,63,172,172,109,79,78,156,63,250,78,156,63,125,78,125,2
156,16,78,0,109,109,94,109,110,78,63,110,47,62,109,125,2
109,63,172,0,109,93,172,125,109,250,78,156,63,125,78,125,2
93,32,187,187,78,63,31,94,78,94,78,94,78,78,109,93,2
62,16,62,110,78,47,117,47,15,47,63,94,31,15,63,125,2
93,32,187,109,63,63,15,47,47,94,78,94,78,78,109,93,2
78,219,62,62,47,63,109,109,94,63,1015,79,125,62,47,78,2
62,63,78,63,78,79,125,109,78,828,62,93,110,485,63,63,2
78,219,62,47,109,94,219,94,79,63,1015,79,125,62,47,78,2
125,63,109,109,125,94,0,78,125,78,109,78,93,78,79,78,2
94,31,110,78,187,16,62,78,125,78,78,109,110,62,78,94,2
125,63,109,93,110,94,31,93,16,78,109,78,93,78,79,78,2
94,31,79,79,140,78,16,78,94,62,79,125,62,94,94,78,2
78,32,78,98,124,62,94,62,78,78,93,79,93,0,93,62,2
94,31,79,94,125,78,16,78,62,62,79,125,62,94,94,78,2
79,15,140,140,90,109,0,93,140,63,78,94,94,78,94,78,2
78,32,94,0,93,31,140,63,0,78,78,78,94,31,62,94,2
79,15,140,0,125,62,31,78,31,63,78,94,94,78,94,78,2
47,62,78,78,79,62,16,156,78,62,156,63,109,31,62,47,2
93,47,63,125,141,110,62,125,125,125,47,62,125,94,47,62,2
47,62,78,79,110,62,16,63,110,62,156,63,109,31,62,47,2
94,62,172,172,100,94,46,109,93,47,62,141,62,94,94,62,2
93,32,78,94,110,16,141,109,94,94,46,109,31,47,78,79,2
94,62,172,78,125,79,15,94,16,47,62,141,62,94,94,62,2
62,63,78,78,79,63,78,94,124,62,94,78,93,62,63,62,2
63,78,63,63,62,78,125,125,62,78,63,78,94,78,78,63,2
62,63,78,47,63,62,78,843,78,62,94,78,93,62,63,62,2
78,47,125,125,47,93,16,16,94,78,78,47,63,62,78,31,2
16,93,32,484,47,609,47,63,93,63,78,31,62,62,16,16,2
78,47,125,0,62,31,78,0,609,78,78,47,63,62,78,31,2
62,157,78,78,62,79,78,109,266,62,79,79,78,93,62,79,2
93,0,94,109,78,125,141,93,47,78,78,78,110,94,78,94,2
62,157,78,47,94,140,63,78,125,62,79,79,78,93,62,79,2
63,94,78,78,63,63,62,109,110,63,109,78,94,78,47,63,2
62,63,62,63,78,62,94,125,109,78,78,63,109,125,63,47,2
63,94,78,63,47,63,47,78,62,63,109,78,94,78,47,63,2
156,0,78,78,180,63,16,47,141,94,62,31,109,0,78,63,2
15,78,47,141,187,62,47,63,165,62,63,15,125,141,93,63,2
156,0,78,0,172,125,94,1312,62,94,62,31,109,0,78,63,2
78,62,109,109,125,94,141,125,94,78,94,141,0,32,78,93,2
47,78,31,110,125,78,78,15,62,94,46,63,172,500,63,78,2
78,62,109,0,94,78,47,109,78,78,94,141,0,32,78,93,2
