dtsk2,ft4,dtsk4,dtfk5,ft5,dtsk5,ft7,dtsk7,dtsk10,dtfk11,ft11,dtsk11,gender
47,47,125,0,47,62,78,94,78,47,63,109,2
78,157,78,78,172,62,78,93,79,79,78,78,2
62,0,94,109,157,78,141,94,78,78,110,78,2
63,157,78,47,156,94,63,78,79,79,78,78,2
63,94,78,78,187,63,62,47,109,78,94,63,2
62,63,62,63,62,78,94,78,78,63,109,78,2
47,94,78,63,140,47,47,78,109,78,94,63,2
125,0,78,78,78,180,16,78,62,31,109,47,2
94,78,47,141,47,187,47,31,63,15,125,46,2
0,0,78,0,15,172,94,94,62,31,109,47,2
94,62,109,109,31,125,141,31,94,141,0,62,2
16,78,31,110,31,125,78,31,46,63,172,16,2
94,62,109,0,0,94,47,109,94,141,0,62,2
