dtfk1,dtsk1,ft2,ft3,dtfk4,ft4,ft5,dtfk6,ft6,dtfk7,ft7,dtfk8,dtfk9,dtfk10,ft10,dtfk11,dtfk12,ft12,dtfk13,dtfk14,sum,gender
93,79,109,78,110,109,47,78,78,141,31,78,1020,156,78,109,109,110,94,94,6649,1
156,78,63,47,109,31,32,47,62,15,47,78,687,94,16,47,62,47,31,0,3281,1
78,32,125,63,31,156,625,62,79,47,79,31,0,31,94,94,47,109,32,31,3485,1
78,32,47,63,109,31,193,15,109,78,32,16,797,94,16,47,62,47,0,0,4676,1
110,109,63,15,110,31,31,125,31,63,125,203,610,125,47,47,31,16,46,15,4046,1
47,109,547,15,16,110,0,93,63,0,16,16,125,47,93,0,1000,78,0,0,4154,1
32,0,63,16,110,31,720,63,47,250,78,94,656,125,47,47,31,16,93,15,6861,1
94,62,125,31,63,172,31,62,141,78,79,63,109,40,60,47,63,94,63,78,3348,1
78,62,125,297,79,62,250,106,67,94,93,78,115,47,78,78,101,176,63,62,3587,1
63,63,126,47,63,172,188,27,86,78,140,74,62,40,60,47,63,94,62,78,3553,1
78,110,78,297,109,79,31,63,125,47,234,110,0,141,62,140,109,203,32,63,3921,2
78,78,47,203,125,63,31,109,47,94,109,78,62,78,78,109,125,63,78,78,3845,2
78,78,31,172,109,79,16,93,251,125,109,63,813,141,62,140,109,203,78,63,4874,2
375,78,94,94,94,156,31,47,125,109,62,109,93,156,63,94,109,47,156,93,4562,2
94,78,31,62,47,47,32,62,94,47,125,78,172,63,62,79,94,62,16,110,3488,2
171,16,63,47,94,156,94,32,46,63,15,109,953,156,63,94,109,47,78,93,5671,2
109,172,31,16,94,141,47,94,15,62,47,47,0,63,62,32,16,78,16,63,3049,2
63,109,62,31,78,172,47,78,172,47,125,94,141,15,63,31,968,63,16,63,3707,2
32,16,188,16,94,141,1000,78,31,94,203,91,735,63,62,32,16,78,110,63,8140,2
62,109,16,32,78,31,31,32,140,62,32,62,0,16,188,218,16,47,16,47,3000,2
47,94,15,15,62,16,15,359,78,31,47,62,79,62,63,94,94,156,16,63,2969,2
63,16,203,15,78,31,31,59,32,125,78,62,703,16,188,218,16,47,47,47,4467,2
172,94,94,94,94,31,31,94,141,93,16,94,94,125,63,62,78,94,125,78,4296,2
219,94,16,62,94,62,16,109,62,31,109,94,94,78,78,94,109,78,16,78,3310,2
140,16,31,47,94,31,16,63,78,109,16,62,937,125,63,62,78,94,78,78,4249,2
57,113,168,166,90,63,442,65,101,89,36,79,78,47,78,69,63,78,81,33,8445,2
192,79,80,49,78,31,411,78,94,89,24,94,172,58,68,78,141,62,79,78,4213,2
74,79,136,21,90,63,185,109,31,11,73,47,74,47,78,69,63,78,78,33,3365,2
110,125,31,172,109,63,47,63,78,79,78,109,78,110,250,156,78,47,15,78,4252,2
94,94,125,62,156,16,31,78,94,109,94,110,141,78,78,110,109,94,410,109,3846,2
187,410,15,109,109,63,15,47,93,93,172,141,828,110,250,156,78,47,125,78,5502,2
93,125,47,0,93,32,0,93,47,63,31,78,562,16,94,94,63,15,20,109,3638,2
125,94,125,16,62,16,31,78,78,47,117,94,94,47,47,94,109,172,32,63,3279,2
78,32,32,16,93,32,47,16,94,63,15,94,719,16,94,94,63,15,125,109,3657,2
62,78,109,94,78,219,31,46,157,63,109,94,78,547,63,79,63,203,62,47,4983,2
62,63,125,125,62,63,94,1015,78,79,125,63,125,31,828,93,188,62,47,63,5531,2
31,47,125,125,78,219,78,79,62,94,219,63,79,547,63,79,63,203,63,47,5221,2
109,109,79,109,125,63,47,78,109,94,0,94,109,63,78,78,94,47,47,79,3750,2
94,78,15,63,94,31,78,109,79,16,62,109,63,78,78,109,94,94,78,78,3373,2
125,78,78,15,125,63,78,78,78,94,31,94,843,63,78,78,94,47,94,79,5093,2
