dtsk2,ft3,ft4,dtsk4,dtsk5,dtsk6,ft7,dtfk8,dtfk9,dtfk10,ft10,dtsk10,ft13,dtsk13,dtfk14,dtsk14,sum,gender
110,93,31,79,140,94,16,110,172,31,62,79,78,16,94,78,3298,2
125,47,32,78,124,125,94,94,62,63,78,93,32,93,93,62,3122,2
344,110,31,79,125,62,16,78,609,31,62,79,32,78,94,78,3749,2
79,46,15,140,90,94,0,110,94,47,63,78,78,0,94,78,2996,2
94,579,32,94,93,31,140,78,31,63,78,78,15,79,62,94,3220,2
63,32,15,140,125,31,31,109,781,47,63,78,15,110,94,78,3423,2
46,188,62,78,79,63,16,156,62,94,62,156,78,110,62,47,3952,2
47,94,47,63,141,141,62,78,156,32,125,47,78,47,47,62,3300,2
16,94,62,78,110,156,16,47,922,94,62,156,47,63,62,47,4171,2
109,47,62,172,100,125,46,94,94,78,47,62,93,32,94,62,3582,2
78,31,32,78,110,62,141,94,78,47,94,46,78,47,78,79,3159,2
94,78,62,172,125,78,15,516,828,78,47,62,46,94,94,62,5580,2
62,63,63,78,79,78,78,78,62,109,62,94,31,78,63,62,3012,2
63,63,78,63,62,15,125,63,94,62,78,63,47,62,78,63,3267,2
63,47,63,78,63,94,78,78,62,109,62,94,31,125,63,62,3780,2
31,16,47,125,47,47,16,78,594,15,78,78,47,94,78,31,3142,2
78,16,93,32,47,0,47,16,110,31,63,78,94,16,16,16,3721,2
47,0,47,125,62,110,78,78,0,15,78,78,93,78,78,31,3562,2
78,94,157,78,62,94,78,94,125,141,62,79,15,94,62,79,4392,2
62,141,0,94,78,93,141,110,15,94,78,78,47,78,78,94,3658,2
63,79,157,78,94,15,63,79,0,141,62,79,156,94,62,79,3643,2
63,93,94,78,63,94,62,63,93,156,63,109,78,78,47,63,3596,2
62,78,63,62,78,172,94,78,110,63,78,78,78,62,63,47,3406,2
47,109,94,78,47,110,47,62,110,156,63,109,47,94,47,63,3410,2
125,46,0,78,180,94,16,266,0,78,94,62,94,47,78,63,3397,2
94,110,78,47,187,219,47,156,110,94,62,63,94,94,93,63,4740,2
0,15,0,78,172,110,94,31,984,78,94,62,31,156,78,63,7215,2
94,94,62,109,125,78,141,110,94,63,78,94,78,63,78,93,3421,2
16,109,78,31,125,109,78,156,120,94,94,46,78,94,63,78,3729,2
94,78,62,109,94,120,47,63,735,63,78,94,94,78,78,93,3667,2
