ft1,dtsk2,ft3,dtsk3,dtfk4,ft4,ft5,ft6,dtsk6,dtfk8,ft8,dtfk10,ft10,dtsk10,dtsk11,ft12,dtfk13,dtsk13,ft14,sum,gender
15,93,485,78,125,47,15,63,609,110,94,79,62,94,109,94,79,78,31,5015,1
375,63,78,93,110,109,47,78,141,78,109,156,78,125,78,110,94,203,47,6649,1
47,141,47,109,109,31,32,62,78,78,78,94,16,62,47,47,31,0,78,3281,1
156,47,63,47,31,156,625,79,172,31,47,31,94,62,62,109,32,31,62,3485,1
156,62,63,47,109,31,193,109,0,16,0,94,16,62,47,47,0,78,78,4676,1
15,141,15,110,110,31,31,31,47,203,32,125,47,93,31,16,46,16,93,4046,1
31,125,15,125,16,110,0,63,78,16,47,47,93,79,47,78,0,15,63,4154,1
62,47,16,16,110,31,720,47,125,94,78,125,47,93,31,16,93,219,93,6861,1
62,63,31,63,63,172,31,141,78,63,203,40,60,106,63,94,63,62,79,3348,1
47,46,297,62,79,62,250,67,91,78,125,47,78,31,63,176,63,62,141,3587,1
62,46,47,94,63,172,188,86,115,74,67,40,60,106,63,94,62,235,79,3553,1
78,109,297,109,109,79,31,125,78,110,156,141,62,109,62,203,32,109,16,3921,2
47,94,203,63,125,63,31,47,203,78,187,78,78,63,78,63,78,110,16,3845,2
16,125,172,62,109,79,16,251,62,63,78,141,62,109,62,203,78,78,16,4874,2
16,62,94,94,94,156,31,125,94,109,78,156,63,62,94,47,156,109,47,4562,2
31,110,62,47,47,47,32,94,16,78,125,63,62,63,62,62,16,31,31,3488,2
63,31,47,125,94,156,94,46,172,109,78,156,63,62,94,47,78,172,47,5671,2
47,78,16,94,94,141,47,15,63,47,31,63,62,78,31,78,16,47,31,3049,2
15,109,31,94,78,172,47,172,47,94,31,15,63,78,31,63,16,16,31,3707,2
93,62,16,78,94,141,1000,31,141,91,875,63,62,78,31,78,110,93,31,8140,2
16,62,32,78,78,31,31,140,47,62,110,16,188,359,16,47,16,16,46,3000,2
359,47,15,32,62,16,15,78,47,62,94,62,63,94,62,156,16,15,47,2969,2
78,16,15,79,78,31,31,32,79,62,78,16,188,359,16,47,47,94,46,4467,2
437,78,94,94,94,31,31,141,219,94,110,125,63,109,62,94,125,94,78,4296,2
15,78,62,94,94,62,16,62,110,94,203,78,78,63,62,78,16,46,63,3310,2
110,63,47,78,94,31,16,78,94,62,79,125,63,109,62,94,78,78,78,4249,2
4369,69,166,90,90,63,442,101,192,79,96,47,78,78,41,78,81,78,69,8445,2
4,72,49,65,78,31,411,94,187,94,94,58,68,150,94,62,79,85,63,4213,2
6,79,21,104,90,63,185,31,172,47,94,47,78,78,41,78,78,94,69,3365,2
156,94,172,109,109,63,47,78,94,109,156,110,250,78,141,47,15,78,78,4252,2
15,78,62,63,156,16,31,94,62,110,109,78,78,63,62,94,410,62,172,3846,2
78,94,109,78,109,63,15,93,141,141,125,110,250,78,141,47,125,109,78,5502,2
32,63,0,93,93,32,0,47,125,78,94,16,94,78,47,15,20,78,16,3638,2
32,32,16,93,62,16,31,78,78,94,47,47,47,63,63,172,32,421,46,3279,2
78,78,16,93,93,32,47,94,94,94,47,16,94,78,47,15,125,125,16,3657,2
141,63,94,78,78,219,31,157,62,94,109,547,63,1015,62,203,62,46,47,4983,2
78,47,125,46,62,63,94,78,125,63,109,31,828,62,93,62,47,63,62,5531,2
109,78,125,62,78,219,78,62,125,63,94,547,63,1015,62,203,63,78,47,5221,2
125,78,109,125,125,63,47,109,94,94,78,63,78,109,203,47,47,63,31,3750,2
16,78,63,78,94,31,78,79,46,109,78,78,78,78,62,94,78,94,31,3373,2
0,94,15,94,125,63,78,78,63,94,93,63,78,109,203,47,94,141,31,5093,2
47,110,93,94,94,31,31,109,94,110,78,31,62,79,109,15,31,16,16,3298,2
16,125,47,47,78,32,59,62,125,94,62,63,78,93,140,78,62,93,32,3122,2
31,344,110,62,94,31,31,16,62,78,78,31,62,79,109,15,62,78,16,3749,2
31,79,46,79,79,15,47,62,94,110,93,47,63,78,47,0,16,0,16,2996,2
0,94,579,78,78,32,16,172,31,78,63,63,78,78,78,78,78,79,16,3220,2
16,63,32,78,79,15,63,63,31,109,78,47,63,78,47,0,94,110,16,3423,2
343,46,188,47,47,62,125,156,63,156,156,94,62,156,62,234,47,110,31,3952,2
