dtfk1,dtfk3,ft4,dtsk4,dtfk5,ft5,ft7,dtfk11,ft11,dtsk11,dtfk13,dtfk14,ft14,dtsk14,gender
140,109,62,172,172,15,46,141,62,125,16,94,47,62,2
125,94,32,78,94,46,141,109,31,110,16,78,62,79,2
31,63,62,172,78,94,15,141,62,125,79,94,47,62,2
63,62,63,78,78,62,78,78,93,63,47,63,47,62,2
78,62,78,63,63,125,125,78,94,63,78,78,62,63,2
94,62,63,78,47,125,78,78,93,63,63,63,47,62,2
109,31,47,125,125,47,16,47,63,109,16,78,0,31,2
47,78,93,32,484,500,47,31,62,79,0,16,94,16,2
94,78,47,125,0,47,78,47,63,109,16,78,0,31,2
94,78,157,78,78,172,78,79,78,78,94,62,31,79,2
94,78,0,94,109,157,141,78,110,78,78,78,94,94,2
110,93,157,78,47,156,63,79,78,78,94,62,31,79,2
94,63,94,78,78,187,62,78,94,63,78,47,78,63,2
94,78,63,62,63,62,94,63,109,78,63,63,62,47,2
63,47,94,78,63,140,47,78,94,63,47,47,78,63,2
78,125,0,78,78,78,16,31,109,47,31,78,31,63,2
94,125,78,47,141,47,47,15,125,46,16,93,0,63,2
47,78,0,78,0,15,94,31,109,47,63,78,31,63,2
62,94,62,109,109,31,141,141,0,62,31,78,32,93,2
78,94,78,31,110,31,78,63,172,16,78,63,93,78,2
78,31,62,109,0,0,47,141,0,62,78,78,32,93,2
