ft1,dtfk3,dtfk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtsk8,ft9,dtfk10,dtsk10,dtfk11,dtsk11,ft12,dtfk14,ft14,dtsk14,gender
31,78,78,187,0,94,94,0,140,63,62,31,94,47,63,62,63,78,110,62,156,1
47,109,297,203,15,137,78,63,125,16,94,94,188,157,125,94,109,94,109,31,110,1
16,94,93,156,16,137,125,78,109,0,94,125,141,110,79,109,141,78,78,15,78,1
110,94,297,0,47,140,32,125,47,16,172,375,78,157,125,94,109,94,109,31,110,1
78,109,110,203,78,109,78,390,125,47,110,78,343,156,125,109,78,110,94,47,78,1
15,109,125,0,15,109,125,63,46,109,78,78,266,79,94,78,109,94,78,31,94,1
375,110,110,0,47,125,78,78,141,31,110,94,1114,156,125,109,78,110,94,47,78,1
47,141,109,78,32,31,47,62,15,47,31,32,125,94,62,47,47,47,0,78,16,1
156,47,31,531,625,31,62,79,47,79,31,63,78,31,62,94,62,109,31,62,0,1
156,31,109,671,193,31,15,109,78,32,93,47,937,94,62,47,47,47,0,78,16,1
15,141,110,125,31,125,125,31,63,125,203,93,109,125,93,47,31,16,15,93,47,1
31,94,16,0,0,125,93,63,0,16,46,62,203,47,79,0,47,78,0,63,93,1
62,203,110,657,720,15,63,47,250,78,453,1000,781,125,93,47,31,16,15,93,47,1
62,63,63,78,31,78,62,141,78,79,62,47,125,40,106,47,63,94,78,79,62,1
47,63,79,78,250,47,106,67,94,93,63,47,76,47,31,78,63,176,62,141,62,1
62,62,63,62,188,78,27,86,78,140,63,101,63,40,106,47,63,94,78,79,62,1
78,109,109,109,31,78,63,125,47,234,78,62,16,141,109,140,62,203,63,16,62,2
47,93,125,0,31,141,109,47,94,109,32,63,203,78,63,109,78,63,78,16,78,2
16,78,109,0,16,94,93,251,125,109,109,125,156,141,109,140,62,203,63,16,62,2
16,62,94,250,31,141,47,125,109,62,94,141,157,156,62,94,94,47,93,47,110,2
31,63,47,0,32,141,62,94,47,125,156,110,219,63,63,79,62,62,110,31,78,2
63,94,94,62,94,94,32,46,63,15,62,94,1047,156,62,94,94,47,93,47,110,2
47,78,94,250,47,47,94,15,62,47,62,47,31,63,78,32,31,78,63,31,78,2
15,94,78,0,47,47,78,172,47,125,16,49,31,15,78,31,31,63,63,31,110,2
93,62,94,906,1000,47,78,31,94,203,78,968,797,63,78,32,31,78,63,31,78,2
16,62,78,109,31,63,32,140,62,32,78,94,47,16,359,218,16,47,47,46,63,2
359,63,62,0,15,94,359,78,31,47,16,78,93,62,94,94,62,156,63,47,47,2
78,78,78,0,31,94,59,32,125,78,78,94,766,16,359,218,16,47,47,46,63,2
437,78,94,140,31,62,94,141,93,16,94,78,125,125,109,62,62,94,78,78,62,2
15,94,94,0,16,62,109,62,31,109,125,78,46,78,63,94,62,78,78,63,78,2
110,94,94,109,16,78,63,78,109,16,78,109,63,125,109,62,62,94,78,78,62,2
4369,69,90,80,442,110,65,101,89,36,79,80,297,47,78,69,41,78,33,69,61,2
4,98,78,70,411,65,78,94,89,24,81,78,94,58,150,78,94,62,78,63,78,2
6,79,90,73,185,103,109,31,11,73,31,141,258,47,78,69,41,78,33,69,61,2
156,94,109,172,47,109,63,78,79,78,78,94,109,110,78,156,141,47,78,78,125,2
15,78,156,0,31,109,78,94,109,94,15,94,78,78,63,110,62,94,109,172,125,2
78,78,109,0,15,109,47,93,93,172,94,109,94,110,78,156,141,47,78,78,125,2
32,63,93,187,0,78,93,47,63,31,78,94,110,16,78,94,47,15,109,16,93,2
32,94,62,110,31,78,78,78,47,117,20,156,78,47,63,94,63,172,63,46,125,2
78,78,93,109,47,63,16,94,63,15,78,109,94,16,78,94,47,15,109,16,93,2
141,63,78,62,31,47,46,157,63,109,47,63,109,547,1015,79,62,203,47,47,78,2
78,47,62,63,94,78,1015,78,79,125,62,63,94,31,62,93,93,62,63,62,63,2
109,47,78,47,78,109,79,62,94,219,47,188,171,547,1015,79,62,203,47,47,78,2
125,78,125,109,47,125,78,109,94,0,94,110,47,63,109,78,203,47,79,31,78,2
16,78,94,78,78,187,109,79,16,62,47,94,93,78,78,109,62,94,78,31,94,2
0,94,125,93,78,110,78,78,94,31,78,94,984,63,109,78,203,47,79,31,78,2
47,110,94,79,31,140,47,109,78,16,46,78,78,31,79,125,109,15,94,16,78,2
