ft1,dtsk1,ft4,dtsk4,ft5,dtsk5,dtfk7,ft7,dtsk7,dtfk10,dtsk10,dtfk11,ft11,dtsk11,dtfk13,ft14,gender
0,63,32,94,16,93,31,140,16,63,78,78,94,78,78,16,2
16,78,15,140,63,125,62,31,78,47,78,94,94,47,94,16,2
343,63,62,78,125,79,62,16,62,94,156,63,109,62,47,31,2
0,78,47,63,62,141,110,62,47,32,47,62,125,63,16,47,2
47,16,62,78,46,110,62,16,62,94,156,63,109,62,62,31,2
31,141,62,172,15,100,94,46,63,78,62,141,62,125,16,47,2
32,110,32,78,46,110,16,141,16,47,46,109,31,110,16,62,2
109,16,62,172,94,125,79,15,94,78,62,141,62,125,79,47,2
78,78,63,78,62,79,63,78,62,109,94,78,93,63,47,47,2
62,79,78,63,125,62,78,125,47,62,63,78,94,63,78,62,2
78,78,63,78,125,63,62,78,63,109,94,78,93,63,63,47,2
47,63,47,125,47,47,93,16,78,15,78,47,63,109,16,0,2
16,78,93,32,500,47,609,47,16,31,78,31,62,79,0,94,2
156,0,47,125,47,62,31,78,94,15,78,47,63,109,16,0,2
32,109,157,78,172,62,79,78,93,141,79,79,78,78,94,31,2
16,93,0,94,157,78,125,141,94,94,78,78,110,78,78,94,2
78,78,157,78,156,94,140,63,78,141,79,79,78,78,94,31,2
109,62,94,78,187,63,63,62,47,156,109,78,94,63,78,78,2
47,63,63,62,62,78,62,94,78,63,78,63,109,78,63,62,2
62,63,94,78,140,47,63,47,78,156,109,78,94,63,47,78,2
47,157,0,78,78,180,63,16,78,78,62,31,109,47,31,31,2
15,94,78,47,47,187,62,47,31,94,63,15,125,46,16,0,2
47,16,0,78,15,172,125,94,94,78,62,31,109,47,63,31,2
79,109,62,109,31,125,94,141,31,63,94,141,0,62,31,32,2
125,93,78,31,31,125,78,78,31,94,46,63,172,16,78,93,2
31,78,62,109,0,94,78,47,109,63,94,141,0,62,78,32,2
