dtfk1,dtfk2,dtfk3,ft3,ft4,dtsk4,ft5,dtsk6,ft7,dtfk8,ft9,dtfk10,ft10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
140,219,94,47,31,140,16,94,16,62,63,125,63,62,94,94,78,94,78,78,78,2
57,113,69,166,63,80,442,192,36,79,297,47,78,69,111,78,81,37,78,33,69,2
192,68,98,49,31,78,411,187,24,94,94,58,68,78,94,62,79,13,85,78,63,2
74,39,79,21,63,80,185,172,73,47,258,47,78,69,111,78,78,15,94,33,69,2
110,125,94,172,63,172,47,94,78,109,109,110,250,156,63,47,15,63,78,78,78,2
94,78,78,62,16,78,31,62,94,110,78,78,78,110,47,94,410,94,62,109,172,2
187,110,78,109,63,172,15,141,172,141,94,110,250,156,63,47,125,266,109,78,78,2
93,125,63,0,32,187,0,125,31,78,110,16,94,94,78,15,20,88,78,109,16,2
125,47,94,16,16,62,31,78,117,94,78,47,47,94,31,172,32,32,421,63,46,2
78,125,78,16,32,187,47,94,15,94,94,16,94,94,78,15,125,15,125,109,16,2
62,78,63,94,219,62,31,62,109,94,109,547,63,79,125,203,62,188,46,47,47,2
62,62,47,125,63,78,94,125,125,63,94,31,828,93,110,62,47,172,63,63,62,2
31,47,47,125,219,62,78,125,219,63,171,547,63,79,125,203,63,125,78,47,47,2
109,109,78,109,63,109,47,94,0,94,47,63,78,78,93,47,47,78,63,79,31,2
94,156,78,63,31,110,78,46,62,109,93,78,78,109,110,94,78,78,94,78,31,2
125,94,94,15,63,109,78,63,31,94,984,63,78,78,93,47,94,31,141,79,31,2
93,125,110,93,31,79,31,94,16,110,78,31,62,125,62,15,31,78,16,94,16,2
94,125,62,47,32,78,59,125,94,94,94,63,78,79,93,78,62,32,93,93,32,2
79,31,46,110,31,79,31,62,16,78,94,31,62,125,62,15,62,32,78,94,16,2
94,78,79,46,15,140,47,94,0,110,46,47,63,94,94,0,16,78,0,94,16,2
94,16,62,579,32,94,16,31,140,78,125,63,78,78,94,78,78,15,79,62,16,2
62,78,62,32,15,140,63,31,31,109,94,47,63,94,94,0,94,15,110,94,16,2
63,63,46,188,62,78,125,63,16,156,157,94,62,63,109,234,47,78,110,62,31,2
63,125,47,94,47,63,62,141,62,78,63,32,125,62,125,63,16,78,47,47,47,2
203,63,62,94,62,78,46,156,16,47,62,94,62,63,109,234,62,47,63,62,31,2
140,141,109,47,62,172,15,125,46,94,16,78,47,141,62,109,16,93,32,94,47,2
125,172,94,31,32,78,46,62,141,94,62,47,94,109,31,78,16,78,47,78,62,2
31,250,63,78,62,172,94,78,15,516,968,78,47,141,62,109,79,46,94,94,47,2
63,78,62,63,63,78,62,78,78,78,63,109,62,78,93,78,47,31,78,63,47,2
78,47,62,63,78,63,125,15,125,63,157,62,78,78,94,93,78,47,62,78,62,2
94,47,62,47,63,78,125,94,78,78,63,109,62,78,93,78,63,31,125,63,47,2
109,63,31,16,47,125,47,47,16,78,78,15,78,47,63,110,16,47,94,78,0,2
47,31,78,16,93,32,500,0,47,16,31,31,63,31,62,109,0,94,16,16,94,2
94,32,78,0,47,125,47,110,78,78,547,15,78,47,63,110,16,93,78,78,0,2
94,109,78,94,157,78,172,94,78,94,141,141,62,79,78,63,94,15,94,62,31,2
94,78,78,141,0,94,157,93,141,110,125,94,78,78,110,78,78,47,78,78,94,2
110,93,93,79,157,78,156,15,63,79,32,141,62,79,78,63,94,156,94,62,31,2
94,62,63,93,94,78,187,94,62,63,47,156,63,78,94,188,78,78,78,47,78,2
94,78,78,78,63,62,62,172,94,78,78,63,78,63,109,62,63,78,62,63,62,2
63,78,47,109,94,78,140,110,47,62,94,156,63,78,94,188,47,47,94,47,78,2
78,157,125,46,0,78,78,94,16,266,16,78,94,31,109,93,31,94,47,78,31,2
94,110,125,110,78,47,47,219,47,156,20,94,62,15,125,63,16,94,94,93,0,2
47,16,78,15,0,78,15,110,94,31,1094,78,94,31,109,93,63,31,156,78,31,2
62,109,94,94,62,109,31,78,141,110,93,63,78,141,0,93,31,78,63,78,32,2
78,0,94,109,78,31,31,109,78,156,94,94,94,63,172,125,78,78,94,63,93,2
78,97,31,78,62,109,0,120,47,63,78,63,78,141,0,93,78,94,78,78,32,2
