ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,ft6,dtsk6,dtfk7,dtfk9,dtsk9,dtfk10,ft10,dtsk10,ft11,dtsk11,dtfk12,dtfk13,ft13,dtsk13,ft14,gender
62,15,203,16,110,31,657,15,47,125,250,656,0,125,47,93,141,31,31,93,63,219,93,1
62,62,63,63,63,172,78,78,141,78,78,109,78,40,60,106,125,63,63,63,94,62,79,1
47,47,63,62,79,62,78,47,67,91,94,115,62,47,78,31,109,63,101,63,78,62,141,1
62,62,62,94,63,172,62,78,86,115,78,62,94,40,60,106,125,63,63,62,141,235,79,1
78,110,109,109,109,79,109,78,125,78,47,0,94,141,62,109,16,62,109,32,78,109,16,2
47,94,93,63,125,63,0,141,47,203,94,62,110,78,78,63,16,78,125,78,265,110,16,2
16,328,78,62,109,79,0,94,251,62,125,813,94,141,62,109,16,62,109,78,219,78,16,2
16,78,62,94,94,156,250,141,125,94,109,93,235,156,63,62,62,94,109,156,63,109,47,2
31,219,63,47,47,47,0,141,94,16,47,172,47,63,62,63,78,62,94,16,78,31,31,2
63,218,94,125,94,156,62,94,46,172,63,953,47,156,63,62,62,94,109,78,110,172,47,2
47,172,78,94,94,141,250,47,15,63,62,0,94,63,62,78,141,31,16,16,78,47,31,2
15,110,94,94,78,172,0,47,172,47,47,141,47,15,63,78,94,31,968,16,78,16,31,2
93,110,62,78,94,141,906,47,31,141,94,735,47,63,62,78,141,31,16,110,15,93,31,2
16,109,62,78,78,31,109,63,140,47,62,0,94,16,188,359,47,16,16,16,78,16,46,2
359,63,63,32,62,16,0,94,78,47,31,79,94,62,63,94,15,62,94,16,78,15,47,2
78,110,78,79,78,31,0,94,32,79,125,703,31,16,188,359,47,16,16,47,15,94,46,2
437,94,78,94,94,31,140,62,141,219,93,94,94,125,63,109,94,62,78,125,78,94,78,2
15,125,94,94,94,62,0,62,62,110,31,94,32,78,78,63,109,62,109,16,78,46,63,2
110,219,94,78,94,31,109,78,78,94,109,937,31,125,63,109,94,62,78,78,94,78,78,2
4369,113,69,90,90,63,80,110,101,192,89,78,141,47,78,78,111,41,63,81,37,78,69,2
4,68,98,65,78,31,70,65,94,187,89,172,406,58,68,150,94,94,141,79,13,85,63,2
6,39,79,104,90,63,73,103,31,172,11,74,89,47,78,78,111,41,63,78,15,94,69,2
156,125,94,109,109,63,172,109,78,94,79,78,63,110,250,78,63,141,78,15,63,78,78,2
15,78,78,63,156,16,0,109,94,62,109,141,110,78,78,63,47,62,109,410,94,62,172,2
78,110,78,78,109,63,0,109,93,141,93,828,109,110,250,78,63,141,78,125,266,109,78,2
32,125,63,93,93,32,187,78,47,125,63,562,78,16,94,78,78,47,63,20,88,78,16,2
32,47,94,93,62,16,110,78,78,78,47,94,15,47,47,63,31,63,109,32,32,421,46,2
78,125,78,93,93,32,109,63,94,94,63,719,47,16,94,78,78,47,63,125,15,125,16,2
141,78,63,78,78,219,62,47,157,62,63,78,94,547,63,1015,125,62,63,62,188,46,47,2
78,62,47,46,62,63,63,78,78,125,79,125,78,31,828,62,110,93,188,47,172,63,62,2
109,47,47,62,78,219,47,109,62,125,94,79,79,547,63,1015,125,62,63,63,125,78,47,2
125,109,78,125,125,63,109,125,109,94,94,109,125,63,78,109,93,203,94,47,78,63,31,2
16,156,78,78,94,31,78,187,79,46,16,63,125,78,78,78,110,62,94,78,78,94,31,2
0,94,94,94,125,63,93,110,78,63,94,843,16,63,78,109,93,203,94,94,31,141,31,2
47,125,110,94,94,31,79,140,109,94,78,172,94,31,62,79,62,109,110,31,78,16,16,2
16,125,62,47,78,32,98,124,62,125,62,62,78,63,78,93,93,140,78,62,32,93,32,2
31,31,46,62,94,31,94,125,16,62,78,609,62,31,62,79,62,109,110,62,32,78,16,2
31,78,79,79,79,15,140,90,62,94,109,94,140,47,63,78,94,47,78,16,78,0,16,2
0,16,62,78,78,32,0,93,172,31,31,31,0,63,78,78,94,78,94,78,15,79,16,2
16,78,62,78,79,15,0,125,63,31,62,781,31,47,63,78,94,47,78,94,15,110,16,2
343,63,46,47,47,62,78,79,156,63,62,62,78,94,62,156,109,62,110,47,78,110,31,2
0,125,47,47,93,47,125,141,47,141,110,156,125,32,125,47,125,63,140,16,78,47,47,2
47,63,62,47,47,62,79,110,47,156,62,922,110,94,62,156,109,62,110,62,47,63,31,2
31,141,109,94,94,62,172,100,62,125,94,94,93,78,47,62,62,125,110,16,93,32,47,2
32,172,94,78,93,32,94,110,141,62,16,78,94,47,94,46,31,110,110,16,78,47,62,2
109,250,63,94,94,62,78,125,0,78,79,828,16,78,47,62,62,125,110,79,46,94,47,2
78,78,62,62,62,63,78,79,94,78,63,62,124,109,62,94,93,63,63,47,31,78,47,2
62,47,62,62,63,78,63,62,188,15,78,94,62,62,78,63,94,63,79,78,47,62,62,2
78,47,62,78,62,63,47,63,93,94,62,62,78,109,62,94,93,63,63,63,31,125,47,2
47,63,31,78,78,47,125,47,62,47,93,594,94,15,78,78,63,109,16,16,47,94,0,2
16,31,78,110,16,93,484,47,94,0,609,110,93,31,63,78,62,79,78,0,94,16,94,2
156,32,78,110,78,47,0,62,31,110,31,0,609,15,78,78,63,109,16,16,93,78,0,2
32,109,78,62,62,157,78,62,93,94,79,125,266,141,62,79,78,78,78,94,15,94,31,2
16,78,78,63,93,0,109,78,78,93,125,15,47,94,78,78,110,78,141,78,47,78,94,2
78,93,93,78,62,157,47,94,172,15,140,0,125,141,62,79,78,78,78,94,156,94,31,2
109,62,63,63,63,94,78,63,140,94,63,93,110,156,63,109,94,63,78,78,78,78,78,2
47,78,78,63,62,63,63,78,63,172,62,110,109,63,78,78,109,78,156,63,78,62,62,2
62,78,47,63,63,94,63,47,62,110,63,110,62,156,63,109,94,63,78,47,47,94,78,2
47,157,125,156,156,0,78,180,109,94,63,0,141,78,94,62,109,47,46,31,94,47,31,2
15,110,125,78,15,78,141,187,94,219,62,110,165,94,62,63,125,46,1390,16,94,94,0,2
47,16,78,94,156,0,0,172,15,110,125,984,62,78,94,62,109,47,46,63,31,156,31,2
79,109,94,78,78,62,109,125,125,78,94,94,94,63,78,94,0,62,15,31,78,63,32,2
125,0,94,63,47,78,110,125,78,109,78,120,62,94,94,46,172,16,0,78,78,94,93,2
31,97,31,156,78,62,0,94,187,120,78,735,78,63,78,94,0,62,15,78,94,78,32,2
