dtfk1,dtsk1,dtfk2,dtfk3,dtsk3,ft4,dtsk4,ft5,ft6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,dtsk12,dtfk13,dtsk13,ft14,gender
110,125,125,94,109,63,172,47,78,79,78,78,110,250,156,63,47,125,15,78,78,2
94,94,78,78,63,16,78,31,94,109,94,141,78,78,110,47,94,62,410,62,172,2
187,410,110,78,78,63,172,15,93,93,172,828,110,250,156,63,47,125,125,109,78,2
93,125,125,63,93,32,187,0,47,63,31,562,16,94,94,78,15,78,20,78,16,2
125,94,47,94,93,16,62,31,78,47,117,94,47,47,94,31,172,15,32,421,46,2
78,32,125,78,93,32,187,47,94,63,15,719,16,94,94,78,15,78,125,125,16,2
62,78,78,63,78,219,62,31,157,63,109,78,547,63,79,125,203,62,62,46,47,2
62,63,62,47,46,63,78,94,78,79,125,125,31,828,93,110,62,485,47,63,62,2
31,47,47,47,62,219,62,78,62,94,219,79,547,63,79,125,203,62,63,78,47,2
109,109,109,78,125,63,109,47,109,94,0,109,63,78,78,93,47,78,47,63,31,2
94,78,156,78,78,31,110,78,79,16,62,63,78,78,109,110,94,62,78,94,31,2
125,78,94,94,94,63,109,78,78,94,31,843,63,78,78,93,47,78,94,141,31,2
93,125,125,110,94,31,79,31,109,78,16,172,31,62,125,62,15,94,31,16,16,2
94,62,125,62,47,32,78,59,62,62,94,62,63,78,79,93,78,0,62,93,32,2
79,62,31,46,62,31,79,31,16,78,16,609,31,62,125,62,15,94,62,78,16,2
94,78,78,79,79,15,140,47,62,109,0,94,47,63,94,94,0,78,16,0,16,2
94,63,16,62,78,32,94,16,172,31,140,31,63,78,78,94,78,31,78,79,16,2
62,78,78,62,78,15,140,63,63,62,31,781,47,63,94,94,0,78,94,110,16,2
63,63,63,46,47,62,78,125,156,62,16,62,94,62,63,109,234,31,47,110,31,2
63,78,125,47,47,47,63,62,47,110,62,156,32,125,62,125,63,94,16,47,47,2
203,16,63,62,47,62,78,46,47,62,16,922,94,62,63,109,234,31,62,63,31,2
140,141,141,109,94,62,172,15,62,94,46,94,78,47,141,62,109,94,16,32,47,2
125,110,172,94,78,32,78,46,141,16,141,78,47,94,109,31,78,47,16,47,62,2
31,16,250,63,94,62,172,94,0,79,15,828,78,47,141,62,109,94,79,94,47,2
63,78,78,62,62,63,78,62,94,63,78,62,109,62,78,93,78,62,47,78,47,2
78,79,47,62,62,78,63,125,188,78,125,94,62,78,78,94,93,78,78,62,62,2
94,78,47,62,78,63,78,125,93,62,78,62,109,62,78,93,78,62,63,125,47,2
109,63,63,31,78,47,125,47,62,93,16,594,15,78,47,63,110,62,16,94,0,2
47,78,31,78,110,93,32,500,94,609,47,110,31,63,31,62,109,62,0,16,94,2
94,0,32,78,110,47,125,47,31,31,78,0,15,78,47,63,110,62,16,78,0,2
94,109,109,78,62,157,78,172,93,79,78,125,141,62,79,78,63,93,94,94,31,2
94,93,78,78,63,0,94,157,78,125,141,15,94,78,78,110,78,94,78,78,94,2
110,78,93,93,78,157,78,156,172,140,63,0,141,62,79,78,63,93,94,94,31,2
94,62,62,63,63,94,78,187,140,63,62,93,156,63,78,94,188,78,78,78,78,2
94,63,78,78,63,63,62,62,63,62,94,110,63,78,63,109,62,125,63,62,62,2
63,63,78,47,63,94,78,140,62,63,47,110,156,63,78,94,188,78,47,94,78,2
78,157,157,125,156,0,78,78,109,63,16,0,78,94,31,109,93,0,31,47,31,2
94,94,110,125,78,78,47,47,94,62,47,110,94,62,15,125,63,141,16,94,0,2
47,16,16,78,94,0,78,15,15,125,94,984,78,94,31,109,93,0,63,156,31,2
62,109,109,94,78,62,109,31,125,94,141,94,63,78,141,0,93,32,31,63,32,2
78,93,0,94,63,78,31,31,78,78,78,120,94,94,63,172,125,500,78,94,93,2
78,78,97,31,156,62,109,0,187,78,47,735,63,78,141,0,93,32,78,78,32,2
