ft1,dtsk1,dtfk3,ft3,dtfk4,ft4,dtfk5,ft5,dtsk5,ft6,dtsk6,dtfk7,ft7,dtfk8,dtsk8,dtfk9,ft9,dtfk10,ft10,dtsk10,dtsk11,dtfk12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,sum,gender
15,94,78,62,156,16,0,31,109,94,62,109,94,110,94,141,78,78,78,63,62,109,62,410,94,62,109,172,3846,2
78,410,78,109,109,63,0,15,109,93,141,93,172,141,109,828,94,110,250,78,141,78,125,125,266,109,78,78,5502,2
32,125,63,0,93,32,187,0,78,47,125,63,31,78,94,562,110,16,94,78,47,63,78,20,88,78,109,16,3638,2
32,94,94,16,62,16,110,31,78,78,78,47,117,94,156,94,78,47,47,63,63,109,15,32,32,421,63,46,3279,2
78,32,78,16,93,32,109,47,63,94,94,63,15,94,109,719,94,16,94,78,47,63,78,125,15,125,109,16,3657,2
141,78,63,94,78,219,62,31,47,157,62,63,109,94,63,78,109,547,63,1015,62,63,62,62,188,46,47,47,4983,2
78,63,47,125,62,63,63,94,78,78,125,79,125,63,63,125,94,31,828,62,93,188,485,47,172,63,63,62,5531,2
109,47,47,125,78,219,47,78,109,62,125,94,219,63,188,79,171,547,63,1015,62,63,62,63,125,78,47,47,5221,2
125,109,78,109,125,63,109,47,125,109,94,94,0,94,110,109,47,63,78,109,203,94,78,47,78,63,79,31,3750,2
16,78,78,63,94,31,78,78,187,79,46,16,62,109,94,63,93,78,78,78,62,94,62,78,78,94,78,31,3373,2
0,78,94,15,125,63,93,78,110,78,63,94,31,94,94,843,984,63,78,109,203,94,78,94,31,141,79,31,5093,2
47,125,110,93,94,31,79,31,140,109,94,78,16,110,78,172,78,31,62,79,109,110,94,31,78,16,94,16,3298,2
16,62,62,47,78,32,98,59,124,62,125,62,94,94,94,62,94,63,78,93,140,78,0,62,32,93,93,32,3122,2
