dtfk1,ft1,dtsk1,dtfk3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft6,dtfk7,ft7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtsk11,ft12,ft13,dtsk13,dtfk14,ft14,gender
109,32,62,62,78,94,31,78,94,62,110,15,63,63,78,109,94,93,78,63,16,93,78,109,1
78,78,63,63,94,78,125,94,110,109,93,0,63,93,93,63,78,110,46,46,31,94,110,62,1
93,47,110,171,94,94,47,156,156,15,94,31,109,110,15,141,250,31,125,16,109,16,125,0,1
94,16,109,110,172,125,0,63,110,109,62,109,78,0,62,110,125,93,94,93,140,16,78,0,1
250,0,62,109,78,94,47,156,125,125,141,15,94,860,15,141,250,31,125,16,0,109,125,0,1
125,15,78,78,78,78,16,141,141,79,78,63,78,109,47,47,62,140,63,78,110,15,110,62,1
78,15,94,125,78,78,78,63,0,62,78,78,0,47,78,109,78,93,32,109,15,94,94,31,1
78,31,94,78,94,78,16,141,187,0,140,63,62,937,47,47,62,140,63,78,141,78,110,62,1
93,47,94,109,297,297,16,203,203,63,125,16,94,94,157,62,94,78,109,94,109,125,109,31,1
172,16,78,94,78,93,32,78,156,78,109,0,94,16,110,93,109,63,141,78,78,0,78,15,1
62,110,15,94,125,297,16,203,0,125,47,16,172,110,157,62,94,78,109,94,15,141,109,31,1
94,78,125,109,110,110,109,203,203,390,125,47,110,94,156,78,109,63,78,110,94,78,94,47,1
500,15,156,109,78,125,47,62,0,63,46,109,78,141,79,62,78,110,109,94,78,78,78,31,1
93,375,79,110,93,110,109,203,0,78,141,31,110,1020,156,78,109,63,78,110,484,203,94,47,1
156,47,78,141,109,109,31,78,78,62,15,47,31,687,94,16,47,125,47,47,78,0,0,78,1
78,156,32,47,47,31,156,16,531,79,47,79,31,0,31,94,94,0,62,109,78,31,31,62,1
78,156,32,31,47,109,31,78,671,109,78,32,93,797,94,16,47,125,47,47,79,78,0,78,1
110,15,109,141,110,110,31,125,125,31,63,125,203,610,125,47,47,141,31,16,109,16,15,93,1
47,31,109,94,125,16,110,94,0,63,0,16,46,125,47,93,0,93,47,78,94,15,0,63,1
32,62,0,203,16,110,31,125,657,47,250,78,453,656,125,47,47,141,31,16,63,219,15,93,1
94,62,62,63,63,63,172,78,78,141,78,79,62,109,40,60,47,125,63,94,94,62,78,79,1
78,47,62,63,62,79,62,63,78,67,94,93,63,115,47,78,78,109,63,176,78,62,62,141,1
63,62,63,62,94,63,172,78,62,86,78,140,63,62,40,60,47,125,63,94,141,235,78,79,1
78,78,110,109,109,109,79,109,109,125,47,234,78,0,141,62,140,16,62,203,78,109,63,16,2
78,47,78,93,63,125,63,62,0,47,94,109,32,62,78,78,109,16,78,63,265,110,78,16,2
78,16,78,78,62,109,79,109,0,251,125,109,109,813,141,62,140,16,62,203,219,78,63,16,2
375,16,78,62,94,94,156,250,250,125,109,62,94,93,156,63,94,62,94,47,63,109,93,47,2
94,31,78,63,47,47,47,62,0,94,47,125,156,172,63,62,79,78,62,62,78,31,110,31,2
171,63,16,94,125,94,156,250,62,46,63,15,62,953,156,63,94,62,94,47,110,172,93,47,2
109,47,172,78,94,94,141,250,250,15,62,47,62,0,63,62,32,141,31,78,78,47,63,31,2
63,15,109,94,94,78,172,16,0,172,47,125,16,141,15,63,31,94,31,63,78,16,63,31,2
32,93,16,62,78,94,141,250,906,31,94,203,78,735,63,62,32,141,31,78,15,93,63,31,2
62,16,109,62,78,78,31,109,109,140,62,32,78,0,16,188,218,47,16,47,78,16,47,46,2
47,359,94,63,32,62,16,47,0,78,31,47,16,79,62,63,94,15,62,156,78,15,63,47,2
63,78,16,78,79,78,31,109,0,32,125,78,78,703,16,188,218,47,16,47,15,94,47,46,2
172,437,94,78,94,94,31,140,140,141,93,16,94,94,125,63,62,94,62,94,78,94,78,78,2
219,15,94,94,94,94,62,78,0,62,31,109,125,94,78,78,94,109,62,78,78,46,78,63,2
140,110,16,94,78,94,31,140,109,78,109,16,78,937,125,63,62,94,62,94,94,78,78,78,2
57,4369,113,69,90,90,63,80,80,101,89,36,79,78,47,78,69,111,41,78,37,78,33,69,2
192,4,79,98,65,78,31,78,70,94,89,24,81,172,58,68,78,94,94,62,13,85,78,63,2
74,6,79,79,104,90,63,80,73,31,11,73,31,74,47,78,69,111,41,78,15,94,33,69,2
110,156,125,94,109,109,63,172,172,78,79,78,78,78,110,250,156,63,141,47,63,78,78,78,2
94,15,94,78,63,156,16,78,0,94,109,94,15,141,78,78,110,47,62,94,94,62,109,172,2
187,78,410,78,78,109,63,172,0,93,93,172,94,828,110,250,156,63,141,47,266,109,78,78,2
93,32,125,63,93,93,32,187,187,47,63,31,78,562,16,94,94,78,47,15,88,78,109,16,2
125,32,94,94,93,62,16,62,110,78,47,117,20,94,47,47,94,31,63,172,32,421,63,46,2
78,78,32,78,93,93,32,187,109,94,63,15,78,719,16,94,94,78,47,15,15,125,109,16,2
62,141,78,63,78,78,219,62,62,157,63,109,47,78,547,63,79,125,62,203,188,46,47,47,2
62,78,63,47,46,62,63,78,63,78,79,125,62,125,31,828,93,110,93,62,172,63,63,62,2
31,109,47,47,62,78,219,62,47,62,94,219,47,79,547,63,79,125,62,203,125,78,47,47,2
109,125,109,78,125,125,63,109,109,109,94,0,94,109,63,78,78,93,203,47,78,63,79,31,2
94,16,78,78,78,94,31,110,78,79,16,62,47,63,78,78,109,110,62,94,78,94,78,31,2
125,0,78,94,94,125,63,109,93,78,94,31,78,843,63,78,78,93,203,47,31,141,79,31,2
93,47,125,110,94,94,31,79,79,109,78,16,46,172,31,62,125,62,109,15,78,16,94,16,2
