dtfk3,ft3,dtsk3,ft4,dtfk5,ft5,dtfk7,ft7,dtsk7,dtsk8,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,ft12,dtfk13,ft13,dtsk13,ft14,dtsk14,gender
78,16,94,141,250,47,62,47,62,47,0,63,62,78,32,141,78,16,78,47,31,78,2
94,31,94,172,0,47,47,125,16,49,141,15,63,78,31,94,63,16,78,16,31,110,2
62,16,78,141,906,1000,94,203,78,968,735,63,62,78,32,141,78,110,15,93,31,78,2
62,32,78,31,109,31,62,32,78,94,0,16,188,359,218,47,47,16,78,16,46,63,2
63,15,32,16,0,15,31,47,16,78,79,62,63,94,94,15,156,16,78,15,47,47,2
78,15,79,31,0,31,125,78,78,94,703,16,188,359,218,47,47,47,15,94,46,63,2
78,94,94,31,140,31,93,16,94,78,94,125,63,109,62,94,94,125,78,94,78,62,2
94,62,94,62,0,16,31,109,125,78,94,78,78,63,94,109,78,16,78,46,63,78,2
94,47,78,31,109,16,109,16,78,109,937,125,63,109,62,94,94,78,94,78,78,62,2
69,166,90,63,80,442,89,36,79,80,78,47,78,78,69,111,78,81,37,78,69,61,2
98,49,65,31,70,411,89,24,81,78,172,58,68,150,78,94,62,79,13,85,63,78,2
79,21,104,63,73,185,11,73,31,141,74,47,78,78,69,111,78,78,15,94,69,61,2
94,172,109,63,172,47,79,78,78,94,78,110,250,78,156,63,47,15,63,78,78,125,2
78,62,63,16,0,31,109,94,15,94,141,78,78,63,110,47,94,410,94,62,172,125,2
78,109,78,63,0,15,93,172,94,109,828,110,250,78,156,63,47,125,266,109,78,125,2
63,0,93,32,187,0,63,31,78,94,562,16,94,78,94,78,15,20,88,78,16,93,2
94,16,93,16,110,31,47,117,20,156,94,47,47,63,94,31,172,32,32,421,46,125,2
78,16,93,32,109,47,63,15,78,109,719,16,94,78,94,78,15,125,15,125,16,93,2
63,94,78,219,62,31,63,109,47,63,78,547,63,1015,79,125,203,62,188,46,47,78,2
47,125,46,63,63,94,79,125,62,63,125,31,828,62,93,110,62,47,172,63,62,63,2
47,125,62,219,47,78,94,219,47,188,79,547,63,1015,79,125,203,63,125,78,47,78,2
