dtfk1,ft1,ft2,dtfk3,ft3,dtfk4,dtsk4,dtfk5,ft5,ft6,dtfk7,ft7,dtsk7,ft10,dtsk10,dtfk11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtsk13,dtsk14,sum,gender
63,94,125,47,47,63,156,156,31,469,78,125,78,56,73,78,125,15,110,78,78,47,63,3755,1
62,16,140,63,62,47,47,0,594,166,62,125,78,78,63,140,63,110,62,31,47,63,78,3739,1
78,31,94,78,32,63,156,0,16,141,94,31,63,56,73,78,125,15,110,78,172,78,63,5098,1
109,16,47,109,78,47,438,438,31,62,78,31,94,31,78,109,109,16,78,15,78,31,94,4172,1
94,0,63,78,47,78,78,0,32,94,31,78,15,62,78,125,62,94,78,32,110,31,94,3593,1
78,109,31,94,31,47,438,0,31,47,110,31,94,31,78,109,109,16,78,94,62,63,94,5717,1
125,31,46,125,79,93,594,594,47,47,78,141,62,78,78,47,109,16,93,0,125,62,93,4935,1
93,16,31,78,125,109,78,125,31,79,32,110,0,94,62,125,125,78,94,94,15,63,93,3515,1
156,16,47,62,31,93,594,234,16,94,125,78,94,78,78,47,109,16,93,93,125,94,93,6516,1
62,63,110,47,78,31,63,63,171,109,62,32,78,47,93,78,47,172,78,63,78,63,78,3344,1
172,15,94,78,47,79,47,47,31,63,78,15,63,78,63,78,63,62,47,63,125,31,78,3125,1
62,0,78,78,47,31,63,46,47,47,62,16,62,47,93,78,47,172,78,78,62,32,78,2983,1
93,547,16,172,292,79,225,225,40,78,63,47,78,62,109,78,93,15,62,32,93,16,94,4488,1
78,16,47,109,0,78,62,609,734,63,79,93,32,78,78,79,172,94,78,78,0,63,47,4343,1
78,78,63,78,297,79,225,0,47,32,94,31,172,62,109,78,93,15,62,47,78,47,94,4134,1
63,15,93,63,16,93,140,140,188,141,63,578,94,94,141,78,188,78,62,47,109,47,62,3999,1
62,78,93,94,78,79,78,125,207,62,94,78,47,78,63,78,62,110,78,47,438,62,94,3941,1
62,31,109,94,62,93,140,47,687,62,125,453,78,94,141,78,188,78,62,94,47,62,62,5077,1
78,47,78,78,52,40,380,380,47,15,47,16,62,62,63,125,0,15,78,32,94,31,78,3507,1
62,31,110,78,31,78,78,0,47,157,62,31,32,62,63,312,94,94,141,62,32,62,79,3018,1
63,0,125,62,16,40,380,125,140,0,62,0,32,62,63,125,0,15,78,79,31,156,78,5659,1
78,94,109,78,563,78,79,79,250,125,47,141,62,47,63,63,63,125,62,63,125,62,78,4205,1
63,47,109,63,109,63,62,94,125,62,78,78,63,78,63,78,62,62,78,78,63,46,78,3438,1
63,78,125,62,78,78,79,78,172,63,63,125,83,47,63,63,63,125,62,78,78,47,78,3585,1
126,31,94,78,31,109,172,172,31,46,94,16,93,93,453,140,63,46,79,31,94,78,78,3983,1
125,46,172,109,0,125,78,110,125,94,31,63,31,110,78,829,93,78,110,62,47,94,109,4546,1
141,0,109,93,32,109,172,172,93,78,94,78,94,93,453,140,63,46,79,109,0,110,78,5156,1
62,78,62,78,16,63,62,62,94,47,78,31,94,62,110,78,63,0,78,31,79,46,63,3438,1
94,0,156,47,31,78,52,78,94,62,63,62,31,78,63,62,62,94,15,31,31,94,78,3129,1
