ft1,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtfk12,ft12,dtfk13,ft13,dtsk13,ft14,sum,gender
32,94,31,78,93,32,110,62,16,141,78,47,94,46,109,31,110,78,16,78,47,62,3159,2
109,63,78,94,94,62,125,78,79,15,828,78,47,62,141,62,110,109,79,46,94,47,5580,2
78,62,63,62,62,63,79,78,63,78,62,109,62,94,78,93,63,78,47,31,78,47,3012,2
62,62,63,62,63,78,62,15,78,125,94,62,78,63,78,94,79,93,78,47,62,62,3267,2
78,62,47,78,62,63,63,94,62,78,62,109,62,94,78,93,63,78,63,31,125,47,3780,2
47,31,16,78,78,47,47,47,93,16,594,15,78,78,47,63,16,110,16,47,94,0,3142,2
16,78,16,110,16,93,47,0,609,47,110,31,63,78,31,62,78,109,0,94,16,94,3721,2
156,78,0,110,78,47,62,110,31,78,0,15,78,78,47,63,16,110,16,93,78,0,3562,2
32,78,94,62,62,157,62,94,79,78,125,141,62,79,79,78,78,63,94,15,94,31,4392,2
16,78,141,63,93,0,78,93,125,141,15,94,78,78,78,110,141,78,78,47,78,94,3658,2
78,93,79,78,62,157,94,15,140,63,0,141,62,79,79,78,78,63,94,156,94,31,3643,2
109,63,93,63,63,94,63,94,63,62,93,156,63,109,78,94,78,188,78,78,78,78,3596,2
47,78,78,63,62,63,78,172,62,94,110,63,78,78,63,109,156,62,63,78,62,62,3406,2
62,47,109,63,63,94,47,110,63,47,110,156,63,109,78,94,78,188,47,47,94,78,3410,2
47,125,46,156,156,0,180,94,63,16,0,78,94,62,31,109,46,93,31,94,47,31,3397,2
15,125,110,78,15,78,187,219,62,47,110,94,62,63,15,125,1390,63,16,94,94,0,4740,2
47,78,15,94,156,0,172,110,125,94,984,78,94,62,31,109,46,93,63,31,156,31,7215,2
79,94,94,78,78,62,125,78,94,141,94,63,78,94,141,0,15,93,31,78,63,32,3421,2
125,94,109,63,47,78,125,109,78,78,120,94,94,46,63,172,0,125,78,78,94,93,3729,2
31,31,78,156,78,62,94,120,78,47,735,63,78,94,141,0,15,93,78,94,78,32,3667,2
