@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,7,8,10,15,20,21,23,25,26,27,29,32,33,37,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,62,63,126,46,94,172,78,62,188,27,86,115,78,74,101,40,106,47,63,94,62,141,235,79,1
78,78,110,78,109,109,79,109,109,31,63,125,78,47,110,62,141,109,140,109,203,63,78,109,16,2
78,47,78,47,94,63,63,62,0,31,109,47,203,94,78,63,78,63,109,125,63,94,265,110,16,2
78,16,78,31,125,62,79,109,0,16,93,251,62,125,63,125,141,109,140,109,203,63,219,78,16,2
375,16,78,94,62,94,156,250,250,31,47,125,94,109,109,141,156,62,94,109,47,78,63,109,47,2
94,31,78,31,110,47,47,62,0,32,62,94,16,47,78,110,63,63,79,94,62,266,78,31,31,2
171,63,16,63,31,125,156,250,62,94,32,46,172,63,109,94,156,62,94,109,47,78,110,172,47,2
109,47,172,31,78,94,141,250,250,47,94,15,63,62,47,47,63,78,32,16,78,16,78,47,31,2
63,15,109,62,109,94,172,16,0,47,78,172,47,47,94,49,15,78,31,968,63,125,78,16,31,2
32,93,16,188,62,78,141,250,906,1000,78,31,141,94,91,968,63,78,32,16,78,16,15,93,31,2
62,16,109,16,62,78,31,109,109,31,32,140,47,62,62,94,16,359,218,16,47,62,78,16,46,2
47,359,94,15,47,32,16,47,0,15,359,78,47,31,62,78,62,94,94,94,156,16,78,15,47,2
63,78,16,203,16,79,31,109,0,31,59,32,79,125,62,94,16,359,218,16,47,62,15,94,46,2
172,437,94,94,78,94,31,140,140,31,94,141,219,93,94,78,125,109,62,78,94,109,78,94,78,2
219,15,94,16,78,94,62,78,0,16,109,62,110,31,94,78,78,63,94,109,78,78,78,46,63,2
140,110,16,31,63,78,31,140,109,16,63,78,94,109,62,109,125,109,62,78,94,109,94,78,78,2
57,4369,113,168,69,90,63,80,80,442,65,101,192,89,79,80,47,78,69,63,78,109,37,78,69,2
192,4,79,80,72,65,31,78,70,411,78,94,187,89,94,78,58,150,78,141,62,141,13,85,63,2
74,6,79,136,79,104,63,80,73,185,109,31,172,11,47,141,47,78,69,63,78,109,15,94,69,2
110,156,125,31,94,109,63,172,172,47,63,78,94,79,109,94,110,78,156,78,47,125,63,78,78,2
94,15,94,125,78,63,16,78,0,31,78,94,62,109,110,94,78,63,110,109,94,62,94,62,172,2
187,78,410,15,94,78,63,172,0,15,47,93,141,93,141,109,110,78,156,78,47,125,266,109,78,2
93,32,125,47,63,93,32,187,187,0,93,47,125,63,78,94,16,78,94,63,15,78,88,78,16,2
125,32,94,125,32,93,16,62,110,31,78,78,78,47,94,156,47,63,94,109,172,15,32,421,46,2
78,78,32,32,78,93,32,187,109,47,16,94,94,63,94,109,16,78,94,63,15,78,15,125,16,2
