@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,8,16,17,22,24,25,26,27,29,31,32,33,37,38,39,40,41,43'

@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
15,63,63,93,93,63,140,140,188,109,62,63,578,94,125,47,141,47,78,62,62,1
78,63,94,31,79,62,78,125,207,109,156,94,78,47,94,47,63,93,110,78,94,1
31,63,94,78,93,63,140,47,687,94,94,125,453,78,766,47,141,47,78,62,62,1
47,78,78,40,40,271,380,380,47,125,62,47,16,62,94,47,63,47,15,78,78,1
31,0,78,79,78,32,78,0,47,125,15,62,31,32,94,63,63,62,94,141,79,1
0,78,62,94,40,271,380,125,140,94,94,62,0,32,922,47,63,47,15,78,78,1
94,78,78,78,78,140,79,79,250,93,63,47,141,62,125,125,63,63,125,62,78,1
47,63,63,62,63,94,62,94,125,125,172,78,78,63,125,62,63,110,62,78,78,1
78,47,62,47,78,140,79,78,172,125,125,63,125,83,78,125,63,63,125,62,78,1
31,78,78,109,109,31,172,172,31,156,125,94,16,93,109,0,453,32,46,79,78,1
46,16,109,110,125,15,78,110,125,156,47,31,63,31,125,93,78,109,78,110,109,1
0,110,93,78,109,31,172,172,93,157,15,94,78,94,141,0,453,32,46,79,78,1
78,78,78,63,63,78,62,62,94,94,94,78,31,94,94,32,110,141,0,78,63,1
0,16,47,62,78,61,52,78,94,188,141,63,62,31,297,78,63,141,94,15,78,1
47,94,94,47,63,78,62,79,78,78,31,94,47,78,62,32,110,141,0,78,63,1
16,78,78,93,93,188,78,78,31,94,156,110,31,78,31,78,62,93,125,110,125,1
16,78,109,94,78,0,78,0,31,109,313,156,31,125,141,78,63,125,94,235,125,1
31,78,78,109,93,188,78,0,0,94,78,156,16,94,78,78,62,93,125,110,125,1
16,125,125,47,47,109,203,203,47,62,47,31,63,31,297,16,94,31,31,47,62,1
78,63,31,31,344,94,0,1469,140,31,63,0,62,156,32,78,78,78,156,16,94,1
79,62,31,62,47,109,203,141,15,125,47,125,719,109,0,16,94,31,31,47,62,1
62,94,94,78,78,203,78,78,249,88,109,78,344,407,94,234,93,78,47,109,94,1
63,94,109,78,62,157,78,62,204,78,172,78,172,78,125,281,93,213,94,110,93,1
0,78,407,78,78,203,78,1109,63,250,157,94,203,78,88,234,93,78,47,109,94,1
47,140,140,78,78,79,110,110,15,110,15,78,16,110,62,63,79,63,31,63,78,1
63,46,93,31,15,94,31,141,0,94,31,16,78,48,32,31,63,31,109,31,16,1
15,32,110,16,78,79,110,438,125,31,47,625,32,79,0,63,79,63,31,63,78,1
16,109,109,187,187,109,157,157,156,94,125,110,94,93,16,94,63,47,157,171,94,1
110,94,94,109,78,141,47,172,0,172,500,125,125,110,47,93,62,47,172,78,93,1
110,125,93,125,187,109,157,94,156,110,125,141,140,78,0,94,63,47,157,171,94,1
93,94,94,94,94,125,125,125,78,125,141,109,63,93,157,94,94,109,110,93,79,1
78,94,94,94,94,47,109,109,32,171,140,110,140,94,125,47,78,187,94,453,94,1
16,78,93,109,94,125,125,125,47,141,94,125,110,78,94,94,94,109,110,93,79,1
63,63,63,78,78,125,94,94,219,98,109,78,109,63,109,93,78,94,46,63,94,1
32,47,62,78,94,31,78,94,187,78,125,110,15,63,125,78,47,125,63,109,63,1
78,62,63,94,78,125,94,110,234,78,63,93,0,63,78,93,78,94,46,63,94,1
47,171,171,94,94,47,156,156,32,140,94,94,31,109,93,15,94,125,16,114,109,1
16,63,110,172,125,0,63,110,78,187,47,62,109,78,94,62,93,110,93,110,125,1
0,125,109,78,94,47,156,125,79,140,0,141,15,94,109,15,94,125,16,114,109,1
15,78,78,78,78,16,141,141,62,125,78,78,63,78,47,47,63,109,78,16,156,1
15,16,125,78,78,78,63,0,15,125,110,78,78,0,47,78,63,31,109,187,78,1
31,110,78,94,78,16,141,187,0,94,47,140,63,62,0,47,63,109,78,16,156,1
47,109,109,297,297,16,203,203,15,137,172,125,16,94,109,157,125,141,94,78,110,1
16,125,94,78,93,32,78,156,16,137,94,109,0,94,94,110,79,375,78,109,78,1
110,62,94,125,297,16,203,0,47,140,16,47,16,172,94,157,125,141,94,78,110,1
78,109,109,110,110,109,203,203,78,109,500,125,47,110,93,156,125,109,110,93,78,1
