@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,9,10,11,15,17,24,25,26,27,28,29,33,37,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
63,15,109,16,0,47,78,47,47,125,16,94,31,78,31,94,968,63,125,63,31,110,2
32,93,16,250,906,1000,78,141,94,203,78,91,875,78,32,141,16,78,16,63,31,78,2
62,16,109,109,109,31,32,47,62,32,78,62,110,359,218,47,16,47,62,47,46,63,2
47,359,94,47,0,15,359,47,31,47,16,62,94,94,94,15,94,156,16,63,47,47,2
63,78,16,109,0,31,59,79,125,78,78,62,78,359,218,47,16,47,62,47,46,63,2
172,437,94,140,140,31,94,219,93,16,94,94,110,109,62,94,78,94,109,78,78,62,2
219,15,94,78,0,16,109,110,31,109,125,94,203,63,94,109,109,78,78,78,63,78,2
140,110,16,140,109,16,63,94,109,16,78,62,79,109,62,94,78,94,109,78,78,62,2
57,4369,113,80,80,442,65,192,89,36,79,79,96,78,69,111,63,78,109,33,69,61,2
192,4,79,78,70,411,78,187,89,24,81,94,94,150,78,94,141,62,141,78,63,78,2
74,6,79,80,73,185,109,172,11,73,31,47,94,78,69,111,63,78,109,33,69,61,2
110,156,125,172,172,47,63,94,79,78,78,109,156,78,156,63,78,47,125,78,78,125,2
94,15,94,78,0,31,78,62,109,94,15,110,109,63,110,47,109,94,62,109,172,125,2
187,78,410,172,0,15,47,141,93,172,94,141,125,78,156,63,78,47,125,78,78,125,2
93,32,125,187,187,0,93,125,63,31,78,78,94,78,94,78,63,15,78,109,16,93,2
125,32,94,62,110,31,78,78,47,117,20,94,47,63,94,31,109,172,15,63,46,125,2
78,78,32,187,109,47,16,94,63,15,78,94,47,78,94,78,63,15,78,109,16,93,2
62,141,78,62,62,31,46,62,63,109,47,94,109,1015,79,125,63,203,62,47,47,78,2
62,78,63,78,63,94,1015,125,79,125,62,63,109,62,93,110,188,62,485,63,62,63,2
31,109,47,62,47,78,79,125,94,219,47,63,94,1015,79,125,63,203,62,47,47,78,2
109,125,109,109,109,47,78,94,94,0,94,94,78,109,78,93,94,47,78,79,31,78,2
94,16,78,110,78,78,109,46,16,62,47,109,78,78,109,110,94,94,62,78,31,94,2
125,0,78,109,93,78,78,63,94,31,78,94,93,109,78,93,94,47,78,79,31,78,2
93,47,125,79,79,31,47,94,78,16,46,110,78,79,125,62,110,15,94,94,16,78,2
94,16,62,78,98,59,79,125,62,94,31,94,62,93,79,93,78,78,0,93,32,62,2
