@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,47,63,140,47,687,453,78,63,47,141,78,94,188,47,78,62,94,47,93,63,62,1
78,94,78,380,380,47,16,62,94,47,63,125,32,0,47,15,78,32,94,62,16,78,1
62,78,0,78,0,47,31,32,78,63,63,312,63,94,62,94,141,62,32,78,31,79,1
63,62,78,380,125,140,0,32,76,47,63,125,32,0,47,15,78,79,31,62,16,78,1
78,94,78,79,79,250,141,62,62,125,63,63,93,63,63,125,62,63,125,62,110,78,1
63,78,63,62,94,125,78,63,78,62,63,78,110,62,110,62,78,78,63,63,47,78,1
63,78,47,79,78,172,125,83,47,125,63,63,93,63,63,125,62,78,78,62,110,78,1
126,125,78,172,172,31,16,93,109,0,453,140,47,63,32,46,79,31,94,78,32,78,1
125,125,16,78,110,125,63,31,94,93,78,829,31,93,109,78,110,62,47,157,31,109,1
141,62,110,172,172,93,78,94,94,0,453,140,47,63,32,46,79,109,0,78,32,78,1
62,110,78,62,62,94,31,94,93,32,110,78,94,63,141,0,78,31,79,78,62,63,1
94,78,16,52,78,94,62,31,47,78,63,62,110,62,141,94,15,31,31,78,47,78,1
94,31,94,62,79,78,47,78,109,32,110,78,94,63,141,0,78,78,47,78,62,63,1
125,94,78,78,78,31,31,78,109,78,62,78,110,78,93,125,110,125,125,78,32,125,1
156,62,78,78,0,31,31,125,78,78,63,62,94,62,125,94,235,125,0,62,235,125,1
