@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,10,14,16,17,18,22,23,24,25,26,27,33,35,38,39,40,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
141,62,110,78,31,172,172,157,94,78,94,0,93,453,140,47,32,79,109,32,78,1
62,110,78,63,78,62,62,94,78,31,94,32,62,110,78,94,141,78,31,62,63,1
94,78,16,62,61,52,78,188,63,62,31,78,78,63,62,110,141,15,31,47,78,1
94,31,94,47,78,62,79,78,94,47,78,32,62,110,78,94,141,78,78,62,63,1
125,94,78,93,188,78,78,94,110,31,78,78,63,62,78,110,93,110,125,32,125,1
156,62,78,94,0,78,0,109,156,31,125,78,47,63,62,94,125,235,125,235,125,1
109,125,78,109,188,78,0,94,156,16,94,78,63,62,78,110,93,110,125,32,125,1
125,109,125,47,109,203,203,62,31,63,31,16,62,94,157,31,31,47,156,16,62,1
47,16,63,31,94,0,1469,31,0,62,156,78,78,78,0,47,78,16,31,31,94,1
16,31,62,62,109,203,141,125,125,719,109,16,62,94,157,31,31,47,94,16,62,1
141,110,94,78,203,78,78,88,78,344,407,234,79,93,94,140,78,109,78,109,94,1
109,93,94,78,157,78,62,78,78,172,78,281,63,93,94,172,213,110,78,125,93,1
110,78,78,78,203,78,1109,250,94,203,78,234,79,93,94,140,78,109,93,109,94,1
156,47,140,78,79,110,110,110,78,16,110,63,78,79,63,47,63,63,48,109,78,1
15,31,46,31,94,31,141,94,16,78,48,31,78,63,16,78,31,31,16,109,16,1
63,16,32,16,79,110,438,31,625,32,79,63,78,79,63,47,63,63,16,109,78,1
156,125,109,187,109,157,157,94,110,94,93,94,109,63,94,203,47,171,110,15,94,1
125,109,94,109,141,47,172,172,125,125,110,93,110,62,16,141,47,78,531,63,93,1
250,531,125,125,109,157,94,110,141,140,78,94,109,63,94,203,47,171,93,15,94,1
125,125,94,94,125,125,125,125,109,63,93,94,62,94,125,94,109,93,94,62,79,1
141,125,94,94,47,109,109,171,110,140,94,47,93,78,156,47,187,453,94,94,94,1
109,94,78,109,125,125,125,141,125,110,78,94,62,94,125,94,109,93,94,62,79,1
78,109,63,78,125,94,94,98,78,109,63,93,63,78,78,110,94,63,63,62,94,1
109,62,47,78,31,78,94,78,110,15,63,78,109,47,94,93,125,109,63,109,63,1
78,63,62,94,125,94,110,78,93,0,63,93,63,78,78,110,94,63,63,62,94,1
93,110,171,94,47,156,156,140,94,31,109,15,141,94,250,31,125,114,78,0,109,1
94,109,63,172,0,63,110,187,62,109,78,62,110,93,125,93,110,110,62,0,125,1
250,62,125,78,47,156,125,140,141,15,94,15,141,94,250,31,125,114,125,0,109,1
125,78,78,78,16,141,141,125,78,63,78,47,47,63,62,140,109,16,0,62,156,1
78,94,16,78,78,63,0,125,78,78,0,78,109,63,78,93,31,187,94,31,78,1
78,94,110,94,16,141,187,94,140,63,62,47,47,63,62,140,109,16,78,62,156,1
93,94,109,297,16,203,203,137,125,16,94,157,62,125,94,78,141,78,94,31,110,1
172,78,125,78,32,78,156,137,109,0,94,110,93,79,109,63,375,109,15,15,78,1
62,15,62,125,16,203,0,140,47,16,172,157,62,125,94,78,141,78,78,31,110,1
94,125,109,110,109,203,203,109,125,47,110,156,78,125,109,63,109,93,78,47,78,1
500,156,93,78,47,62,0,109,46,109,78,79,62,94,78,110,94,172,79,31,94,1
93,79,63,93,109,203,0,125,141,31,110,156,78,125,109,63,109,93,94,47,78,1
156,78,141,109,31,78,78,31,15,47,31,94,16,62,47,125,62,63,31,78,16,1
78,32,47,47,156,16,531,31,47,79,31,31,94,62,94,0,47,31,32,62,0,1
78,32,62,47,31,78,671,31,78,32,93,94,16,62,47,125,62,63,0,78,16,1
110,109,141,110,31,125,125,125,63,125,203,125,47,93,47,141,31,63,46,93,47,1
47,109,125,125,110,94,0,125,0,16,46,47,93,79,0,93,1000,156,0,63,93,1
32,0,47,16,31,125,657,15,250,78,453,125,47,93,47,141,31,63,93,93,47,1
94,62,63,63,172,78,78,78,78,79,62,40,60,106,47,125,63,62,63,79,62,1
78,62,46,62,62,63,78,47,94,93,63,47,78,31,78,109,101,13,63,141,62,1
63,63,46,94,172,78,62,78,78,140,63,40,60,106,47,125,63,62,62,79,62,1
78,110,109,109,79,109,109,78,47,234,78,141,62,109,140,16,109,63,32,16,62,2
78,78,94,63,63,62,0,141,94,109,32,78,78,63,109,16,125,94,78,16,78,2
78,78,125,62,79,109,0,94,125,109,109,141,62,109,140,16,109,63,78,16,62,2
375,78,62,94,156,250,250,141,109,62,94,156,63,62,94,62,109,78,156,47,110,2
