@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,7,8,13,15,16,17,18,20,21,22,23,24,25,26,27,28,29,32,34,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
93,47,110,94,94,47,156,32,94,94,250,125,16,114,78,0,109,1
94,16,109,172,125,0,63,78,62,93,125,94,93,110,62,0,125,1
250,0,62,78,94,47,156,79,141,94,250,125,16,114,125,0,109,1
125,15,78,78,78,16,141,62,78,63,62,63,78,16,0,62,156,1
78,15,94,78,78,78,63,15,78,63,78,32,109,187,94,31,78,1
78,31,94,94,78,16,141,0,140,63,62,63,78,16,78,62,156,1
93,47,94,297,297,16,203,15,125,125,94,109,94,78,94,31,110,1
172,16,78,78,93,32,78,16,109,79,109,141,78,109,15,15,78,1
62,110,15,125,297,16,203,47,47,125,94,109,94,78,78,31,110,1
94,78,125,110,110,109,203,78,125,125,109,78,110,93,78,47,78,1
500,15,156,78,125,47,62,15,46,94,78,109,94,172,79,31,94,1
93,375,79,93,110,109,203,47,141,125,109,78,110,93,94,47,78,1
156,47,78,109,109,31,78,32,15,62,47,47,47,63,31,78,16,1
78,156,32,47,31,156,16,625,47,62,94,62,109,31,32,62,0,1
78,156,32,47,109,31,78,193,78,62,47,47,47,63,0,78,16,1
110,15,109,110,110,31,125,31,63,93,47,31,16,63,46,93,47,1
47,31,109,125,16,110,94,0,0,79,0,47,78,156,0,63,93,1
32,62,0,16,110,31,125,720,250,93,47,31,16,63,93,93,47,1
94,62,62,63,63,172,78,31,78,106,47,63,94,62,63,79,62,1
78,47,62,62,79,62,63,250,94,31,78,63,176,13,63,141,62,1
63,62,63,94,63,172,78,188,78,106,47,63,94,62,62,79,62,1
78,78,110,109,109,79,109,31,47,109,140,62,203,63,32,16,62,2
78,47,78,63,125,63,62,31,94,63,109,78,63,94,78,16,78,2
78,16,78,62,109,79,109,16,125,109,140,62,203,63,78,16,62,2
375,16,78,94,94,156,250,31,109,62,94,94,47,78,156,47,110,2
94,31,78,47,47,47,62,32,47,63,79,62,62,266,16,31,78,2
171,63,16,125,94,156,250,94,63,62,94,94,47,78,78,47,110,2
109,47,172,94,94,141,250,47,62,78,32,31,78,16,16,31,78,2
63,15,109,94,78,172,16,47,47,78,31,31,63,125,16,31,110,2
32,93,16,78,94,141,250,1000,94,78,32,31,78,16,110,31,78,2
62,16,109,78,78,31,109,31,62,359,218,16,47,62,16,46,63,2
47,359,94,32,62,16,47,15,31,94,94,62,156,16,16,47,47,2
63,78,16,79,78,31,109,31,125,359,218,16,47,62,47,46,63,2
172,437,94,94,94,31,140,31,93,109,62,62,94,109,125,78,62,2
219,15,94,94,94,62,78,16,31,63,94,62,78,78,16,63,78,2
140,110,16,78,94,31,140,16,109,109,62,62,94,109,78,78,62,2
57,4369,113,90,90,63,80,442,89,78,69,41,78,109,81,69,61,2
192,4,79,65,78,31,78,411,89,150,78,94,62,141,79,63,78,2
74,6,79,104,90,63,80,185,11,78,69,41,78,109,78,69,61,2
110,156,125,109,109,63,172,47,79,78,156,141,47,125,15,78,125,2
94,15,94,63,156,16,78,31,109,63,110,62,94,62,410,172,125,2
187,78,410,78,109,63,172,15,93,78,156,141,47,125,125,78,125,2
93,32,125,93,93,32,187,0,63,78,94,47,15,78,20,16,93,2
125,32,94,93,62,16,62,31,47,63,94,63,172,15,32,46,125,2
78,78,32,93,93,32,187,47,63,78,94,47,15,78,125,16,93,2
62,141,78,78,78,219,62,31,63,1015,79,62,203,62,62,47,78,2
62,78,63,46,62,63,78,94,79,62,93,93,62,485,47,62,63,2
31,109,47,62,78,219,62,78,94,1015,79,62,203,62,63,47,78,2
109,125,109,125,125,63,109,47,94,109,78,203,47,78,47,31,78,2
94,16,78,78,94,31,110,78,16,78,109,62,94,62,78,31,94,2
125,0,78,94,125,63,109,78,94,109,78,203,47,78,94,31,78,2
93,47,125,94,94,31,79,31,78,79,125,109,15,94,31,16,78,2
94,16,62,47,78,32,78,59,62,93,79,140,78,0,62,32,62,2
79,31,62,62,94,31,79,31,78,79,125,109,15,94,62,16,78,2
94,31,78,79,79,15,140,47,109,78,94,47,0,78,16,16,78,2
94,0,63,78,78,32,94,16,31,78,78,78,78,31,78,16,94,2
62,16,78,78,79,15,140,63,62,78,94,47,0,78,94,16,78,2
63,343,63,47,47,62,78,125,62,156,63,62,234,31,47,31,47,2
63,0,78,47,93,47,63,62,110,47,62,63,63,94,16,47,62,2
203,47,16,47,47,62,78,46,62,156,63,62,234,31,62,31,47,2
140,31,141,94,94,62,172,15,94,62,141,125,109,94,16,47,62,2
125,32,110,78,93,32,78,46,16,46,109,110,78,47,16,62,79,2
31,109,16,94,94,62,172,94,79,62,141,125,109,94,79,47,62,2
63,78,78,62,62,63,78,62,63,94,78,63,78,62,47,47,62,2
78,62,79,62,63,78,63,125,78,63,78,63,93,78,78,62,63,2
94,78,78,78,62,63,78,125,62,94,78,63,78,62,63,47,62,2
109,47,63,78,78,47,125,47,93,78,47,109,110,62,16,0,31,2
47,16,78,110,16,93,32,500,609,78,31,79,109,62,0,94,16,2
94,156,0,110,78,47,125,47,31,78,47,109,110,62,16,0,31,2
94,32,109,62,62,157,78,172,79,79,79,78,63,93,94,31,79,2
94,16,93,63,93,0,94,157,125,78,78,78,78,94,78,94,94,2
110,78,78,78,62,157,78,156,140,79,79,78,63,93,94,31,79,2
94,109,62,63,63,94,78,187,63,109,78,63,188,78,78,78,63,2
94,47,63,63,62,63,62,62,62,78,63,78,62,125,63,62,47,2
63,62,63,63,63,94,78,140,63,109,78,63,188,78,47,78,63,2
78,47,157,156,156,0,78,78,63,62,31,47,93,0,31,31,63,2
94,15,94,78,15,78,47,47,62,63,15,46,63,141,16,0,63,2
47,47,16,94,156,0,78,15,125,62,31,47,93,0,63,31,63,2
62,79,109,78,78,62,109,31,94,94,141,62,93,32,31,32,93,2
78,125,93,63,47,78,31,31,78,46,63,16,125,500,78,93,78,2
78,31,78,156,78,62,109,0,78,94,141,62,93,32,78,32,93,2
