@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,6,7,9,10,11,17,18,21,22,24,25,26,27,30,38,39,42,43'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft3 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
0,62,16,380,125,140,94,63,62,0,922,47,62,125,32,0,47,15,78,79,62,16,1
94,94,563,79,79,250,93,62,47,141,125,125,47,63,93,63,63,125,62,63,62,110,1
47,78,109,62,94,125,125,63,78,78,125,62,78,78,110,62,110,62,78,78,63,47,1
78,78,78,79,78,172,125,62,63,125,78,125,47,63,93,63,63,125,62,78,62,110,1
31,125,31,172,172,31,156,110,94,16,109,0,93,140,47,63,32,46,79,31,78,32,1
46,125,0,78,110,125,156,453,31,63,125,93,110,829,31,93,109,78,110,62,157,31,1
0,62,32,172,172,93,157,31,94,78,141,0,93,140,47,63,32,46,79,109,78,32,1
78,110,16,62,62,94,94,62,78,31,94,32,62,78,94,63,141,0,78,31,78,62,1
0,78,31,52,78,94,188,110,63,62,297,78,78,62,110,62,141,94,15,31,78,47,1
47,31,62,62,79,78,78,16,94,47,62,32,62,78,94,63,141,0,78,78,78,62,1
16,94,63,78,78,31,94,94,110,31,31,78,63,78,110,78,93,125,110,125,78,32,1
16,62,31,78,0,31,109,62,156,31,141,78,47,62,94,62,125,94,235,125,62,235,1
31,125,47,78,0,0,94,0,156,16,78,78,63,78,110,78,93,125,110,125,78,32,1
16,109,0,203,203,47,62,31,31,63,297,16,62,157,31,62,31,31,47,156,78,16,1
78,16,109,0,1469,140,31,94,0,62,32,78,78,0,47,63,78,156,16,31,63,31,1
79,31,78,203,141,15,125,125,125,719,0,16,62,157,31,62,31,31,47,94,78,16,1
62,110,62,78,78,249,88,78,78,344,94,234,79,94,140,79,78,47,109,78,78,109,1
63,93,94,78,62,204,78,93,78,172,125,281,63,94,172,78,213,94,110,78,94,125,1
0,78,15,78,1109,63,250,32,94,203,88,234,79,94,140,79,78,47,109,93,78,109,1
47,47,32,110,110,15,110,31,78,16,62,63,78,63,47,15,63,31,63,48,46,109,1
63,31,32,31,141,0,94,79,16,78,32,31,78,16,78,62,31,109,31,16,16,109,1
15,16,15,110,438,125,31,93,625,32,0,63,78,63,47,15,63,31,63,16,46,109,1
16,125,32,157,157,156,94,109,110,94,16,94,109,94,203,63,47,157,171,110,141,15,1
110,109,125,47,172,0,172,63,125,125,47,93,110,16,141,62,47,172,78,531,125,63,1
110,531,63,157,94,156,110,94,141,140,0,94,109,94,203,63,47,157,171,93,141,15,1
93,125,93,125,125,78,125,94,109,63,157,94,62,125,94,78,109,110,93,94,109,62,1
78,125,78,109,109,32,171,94,110,140,125,47,93,156,47,110,187,94,453,94,109,94,1
16,94,63,125,125,47,141,47,125,110,94,94,62,125,94,78,109,110,93,94,109,62,1
63,109,62,94,94,219,98,78,78,109,109,93,63,78,110,46,94,46,63,63,110,62,1
32,62,47,78,94,187,78,78,110,15,125,78,109,94,93,78,125,63,109,63,78,109,1
78,63,15,94,110,234,78,15,93,0,78,93,63,78,110,46,94,46,63,63,110,62,1
47,110,16,156,156,32,140,172,94,31,93,15,141,250,31,125,125,16,114,78,125,0,1
16,109,47,63,110,78,187,94,62,109,94,62,110,125,93,94,110,93,110,62,78,0,1
0,62,32,156,125,79,140,16,141,15,109,15,141,250,31,125,125,16,114,125,125,0,1
15,78,31,141,141,62,125,78,78,63,47,47,47,62,140,63,109,78,16,0,110,62,1
15,94,16,63,0,15,125,63,78,78,47,78,109,78,93,32,31,109,187,94,94,31,1
31,94,31,141,187,0,94,94,140,63,0,47,47,62,140,63,109,78,16,78,110,62,1
47,94,203,203,203,15,137,78,125,16,109,157,62,94,78,109,141,94,78,94,109,31,1
16,78,31,78,156,16,137,125,109,0,94,110,93,109,63,141,375,78,109,15,78,15,1
110,15,16,203,0,47,140,32,47,16,94,157,62,94,78,109,141,94,78,78,109,31,1
78,125,141,203,203,78,109,78,125,47,93,156,78,109,63,78,109,110,93,78,94,47,1
15,156,485,62,0,15,109,125,46,109,94,79,62,78,110,109,94,94,172,79,78,31,1
375,79,78,203,0,47,125,78,141,31,109,156,78,109,63,78,109,110,93,94,94,47,1
47,78,47,78,78,32,31,47,15,47,78,94,16,47,125,47,62,47,63,31,0,78,1
156,32,63,16,531,625,31,62,47,79,47,31,94,94,0,62,47,109,31,32,31,62,1
156,32,63,78,671,193,31,15,78,32,0,94,16,47,125,47,62,47,63,0,0,78,1
15,109,15,125,125,31,125,125,63,125,32,125,47,47,141,31,31,16,63,46,15,93,1
31,109,15,94,0,0,125,93,0,16,47,47,93,0,93,47,1000,78,156,0,0,63,1
62,0,16,125,657,720,15,63,250,78,78,125,47,47,141,31,31,16,63,93,15,93,1
62,62,31,78,78,31,78,62,78,79,203,40,60,47,125,63,63,94,62,63,78,79,1
47,62,297,63,78,250,47,106,94,93,125,47,78,78,109,63,101,176,13,63,62,141,1
62,63,47,78,62,188,78,27,78,140,67,40,60,47,125,63,63,94,62,62,78,79,1
78,110,297,109,109,31,78,63,47,234,156,141,62,140,16,62,109,203,63,32,63,16,2
47,78,203,62,0,31,141,109,94,109,187,78,78,109,16,78,125,63,94,78,78,16,2
16,78,172,109,0,16,94,93,125,109,78,141,62,140,16,62,109,203,63,78,63,16,2
16,78,94,250,250,31,141,47,109,62,78,156,63,94,62,94,109,47,78,156,93,47,2
31,78,62,62,0,32,141,62,47,125,125,63,62,79,78,62,94,62,266,16,110,31,2
63,16,47,250,62,94,94,32,63,15,78,156,63,94,62,94,109,47,78,78,93,47,2
47,172,16,250,250,47,47,94,62,47,31,63,62,32,141,31,16,78,16,16,63,31,2
15,109,31,16,0,47,47,78,47,125,31,15,63,31,94,31,968,63,125,16,63,31,2
93,16,16,250,906,1000,47,78,94,203,875,63,62,32,141,31,16,78,16,110,63,31,2
16,109,32,109,109,31,63,32,62,32,110,16,188,218,47,16,16,47,62,16,47,46,2
359,94,15,47,0,15,94,359,31,47,94,62,63,94,15,62,94,156,16,16,63,47,2
78,16,15,109,0,31,94,59,125,78,78,16,188,218,47,16,16,47,62,47,47,46,2
437,94,94,140,140,31,62,94,93,16,110,125,63,62,94,62,78,94,109,125,78,78,2
15,94,62,78,0,16,62,109,31,109,203,78,78,94,109,62,109,78,78,16,78,63,2
110,16,47,140,109,16,78,63,109,16,79,125,63,62,94,62,78,94,109,78,78,78,2
4369,113,166,80,80,442,110,65,89,36,96,47,78,69,111,41,63,78,109,81,33,69,2
4,79,49,78,70,411,65,78,89,24,94,58,68,78,94,94,141,62,141,79,78,63,2
6,79,21,80,73,185,103,109,11,73,94,47,78,69,111,41,63,78,109,78,33,69,2
156,125,172,172,172,47,109,63,79,78,156,110,250,156,63,141,78,47,125,15,78,78,2
15,94,62,78,0,31,109,78,109,94,109,78,78,110,47,62,109,94,62,410,109,172,2
78,410,109,172,0,15,109,47,93,172,125,110,250,156,63,141,78,47,125,125,78,78,2
32,125,0,187,187,0,78,93,63,31,94,16,94,94,78,47,63,15,78,20,109,16,2
32,94,16,62,110,31,78,78,47,117,47,47,47,94,31,63,109,172,15,32,63,46,2
78,32,16,187,109,47,63,16,63,15,47,16,94,94,78,47,63,15,78,125,109,16,2
141,78,94,62,62,31,47,46,63,109,109,547,63,79,125,62,63,203,62,62,47,47,2
78,63,125,78,63,94,78,1015,79,125,109,31,828,93,110,93,188,62,485,47,63,62,2
109,47,125,62,47,78,109,79,94,219,94,547,63,79,125,62,63,203,62,63,47,47,2
125,109,109,109,109,47,125,78,94,0,78,63,78,78,93,203,94,47,78,47,79,31,2
16,78,63,110,78,78,187,109,16,62,78,78,78,109,110,62,94,94,62,78,78,31,2
0,78,15,109,93,78,110,78,94,31,93,63,78,78,93,203,94,47,78,94,79,31,2
47,125,93,79,79,31,140,47,78,16,78,31,62,125,62,109,110,15,94,31,94,16,2
16,62,47,78,98,59,124,79,62,94,62,63,78,79,93,140,78,78,0,62,93,32,2
31,62,110,79,94,31,125,62,78,16,78,31,62,125,62,109,110,15,94,62,94,16,2
31,78,46,140,140,47,90,78,109,0,93,47,63,94,94,47,78,0,78,16,94,16,2
0,63,579,94,0,16,93,78,31,140,63,63,78,78,94,78,94,78,31,78,62,16,2
16,78,32,140,0,63,125,0,62,31,78,47,63,94,94,47,78,0,78,94,94,16,2
343,63,188,78,78,125,79,47,62,16,156,94,62,63,109,62,110,234,31,47,62,31,2
0,78,94,63,125,62,141,156,110,62,125,32,125,62,125,63,140,63,94,16,47,47,2
47,16,94,78,79,46,110,78,62,16,63,94,62,63,109,62,110,234,31,62,62,31,2
31,141,47,172,172,15,100,78,94,46,109,78,47,141,62,125,110,109,94,16,94,47,2
32,110,31,78,94,46,110,62,16,141,109,47,94,109,31,110,110,78,47,16,78,62,2
109,16,78,172,78,94,125,141,79,15,94,78,47,141,62,125,110,109,94,79,94,47,2
78,78,63,78,78,62,79,62,63,78,94,109,62,78,93,63,63,78,62,47,63,47,2
62,79,63,63,63,125,62,94,78,125,125,62,78,78,94,63,79,93,78,78,78,62,2
78,78,47,78,47,125,63,0,62,78,843,109,62,78,93,63,63,78,62,63,63,47,2
47,63,16,125,125,47,47,110,93,16,16,15,78,47,63,109,16,110,62,16,78,0,2
16,78,16,32,484,500,47,78,609,47,63,31,63,31,62,79,78,109,62,0,16,94,2
156,0,0,125,0,47,62,78,31,78,0,15,78,47,63,109,16,110,62,16,78,0,2
32,109,94,78,78,172,62,63,79,78,109,141,62,79,78,78,78,63,93,94,62,31,2
16,93,141,94,109,157,78,79,125,141,93,94,78,78,110,78,141,78,94,78,78,94,2
78,78,79,78,47,156,94,62,140,63,78,141,62,79,78,78,78,63,93,94,62,31,2
109,62,93,78,78,187,63,63,63,62,109,156,63,78,94,63,78,188,78,78,47,78,2
47,63,78,62,63,62,78,109,62,94,125,63,78,63,109,78,156,62,125,63,63,62,2
62,63,109,78,63,140,47,63,63,47,78,156,63,78,94,63,78,188,78,47,47,78,2
47,157,46,78,78,78,180,78,63,16,47,78,94,31,109,47,46,93,0,31,78,31,2
15,94,110,47,141,47,187,62,62,47,63,94,62,15,125,46,1390,63,141,16,93,0,2
47,16,15,78,0,15,172,94,125,94,1312,78,94,31,109,47,46,93,0,63,78,31,2
79,109,94,109,109,31,125,63,94,141,125,63,78,141,0,62,15,93,32,31,78,32,2
125,93,109,31,110,31,125,94,78,78,15,94,94,63,172,16,0,125,500,78,63,93,2
31,78,78,109,0,0,94,0,78,47,109,63,78,141,0,62,15,93,32,78,78,32,2
