@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,14,16,17,18,19,20,21,23,24,25,26,27,29,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,78,62,62,78,47,63,78,109,94,78,93,63,63,78,62,47,62,2
109,47,31,78,125,125,47,78,15,78,47,63,109,16,110,62,0,31,2
47,16,78,16,32,484,47,16,31,78,31,62,79,78,109,62,94,16,2
94,156,78,78,125,0,62,78,15,78,47,63,109,16,110,62,0,31,2
94,32,78,62,78,78,62,94,141,79,79,78,78,78,63,93,31,79,2
94,16,78,93,94,109,78,110,94,78,78,110,78,141,78,94,94,94,2
110,78,93,62,78,47,94,79,141,79,79,78,78,78,63,93,31,79,2
94,109,63,63,78,78,63,63,156,109,78,94,63,78,188,78,78,63,2
94,47,78,62,62,63,78,78,63,78,63,109,78,156,62,125,62,47,2
63,62,47,63,78,63,47,62,156,109,78,94,63,78,188,78,78,63,2
78,47,125,156,78,78,180,266,78,62,31,109,47,46,93,0,31,63,2
94,15,125,15,47,141,187,156,94,63,15,125,46,1390,63,141,0,63,2
47,47,78,156,78,0,172,31,78,62,31,109,47,46,93,0,31,63,2
62,79,94,78,109,109,125,110,63,94,141,0,62,15,93,32,32,93,2
78,125,94,47,31,110,125,156,94,46,63,172,16,0,125,500,93,78,2
78,31,31,78,109,0,94,63,63,94,141,0,62,15,93,32,32,93,2
