@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,9,11,15,16,17,18,20,22,23,24,25,26,27,29,39,41,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtfk7 numeric
@attribute dtsk7 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute gender {1,2}

@data
57,4369,69,90,80,80,442,89,79,47,78,69,111,41,63,78,109,81,37,33,2
192,4,98,78,78,70,411,89,81,58,150,78,94,94,141,62,141,79,13,78,2
74,6,79,90,80,73,185,11,31,47,78,69,111,41,63,78,109,78,15,33,2
110,156,94,109,172,172,47,79,78,110,78,156,63,141,78,47,125,15,63,78,2
94,15,78,156,78,0,31,109,15,78,63,110,47,62,109,94,62,410,94,109,2
187,78,78,109,172,0,15,93,94,110,78,156,63,141,78,47,125,125,266,78,2
93,32,63,93,187,187,0,63,78,16,78,94,78,47,63,15,78,20,88,109,2
125,32,94,62,62,110,31,47,20,47,63,94,31,63,109,172,15,32,32,63,2
78,78,78,93,187,109,47,63,78,16,78,94,78,47,63,15,78,125,15,109,2
62,141,63,78,62,62,31,63,47,547,1015,79,125,62,63,203,62,62,188,47,2
62,78,47,62,78,63,94,79,62,31,62,93,110,93,188,62,485,47,172,63,2
31,109,47,78,62,47,78,94,47,547,1015,79,125,62,63,203,62,63,125,47,2
109,125,78,125,109,109,47,94,94,63,109,78,93,203,94,47,78,47,78,79,2
94,16,78,94,110,78,78,16,47,78,78,109,110,62,94,94,62,78,78,78,2
125,0,94,125,109,93,78,94,78,63,109,78,93,203,94,47,78,94,31,79,2
93,47,110,94,79,79,31,78,46,31,79,125,62,109,110,15,94,31,78,94,2
94,16,62,78,78,98,59,62,31,63,93,79,93,140,78,78,0,62,32,93,2
79,31,46,94,79,94,31,78,94,31,79,125,62,109,110,15,94,62,32,94,2
94,31,79,79,140,140,47,109,62,47,78,94,94,47,78,0,78,16,78,94,2
94,0,62,78,94,0,16,31,16,63,78,78,94,78,94,78,31,78,15,62,2
62,16,62,79,140,0,63,62,78,47,78,94,94,47,78,0,78,94,15,94,2
63,343,46,47,78,78,125,62,62,94,156,63,109,62,110,234,31,47,78,62,2
63,0,47,93,63,125,62,110,47,32,47,62,125,63,140,63,94,16,78,47,2
203,47,62,47,78,79,46,62,62,94,156,63,109,62,110,234,31,62,47,62,2
140,31,109,94,172,172,15,94,63,78,62,141,62,125,110,109,94,16,93,94,2
125,32,94,93,78,94,46,16,16,47,46,109,31,110,110,78,47,16,78,78,2
31,109,63,94,172,78,94,79,94,78,62,141,62,125,110,109,94,79,46,94,2
63,78,62,62,78,78,62,63,62,109,94,78,93,63,63,78,62,47,31,63,2
78,62,62,63,63,63,125,78,47,62,63,78,94,63,79,93,78,78,47,78,2
94,78,62,62,78,47,125,62,63,109,94,78,93,63,63,78,62,63,31,63,2
109,47,31,78,125,125,47,93,78,15,78,47,63,109,16,110,62,16,47,78,2
47,16,78,16,32,484,500,609,16,31,78,31,62,79,78,109,62,0,94,16,2
94,156,78,78,125,0,47,31,94,15,78,47,63,109,16,110,62,16,93,78,2
94,32,78,62,78,78,172,79,93,141,79,79,78,78,78,63,93,94,15,62,2
94,16,78,93,94,109,157,125,94,94,78,78,110,78,141,78,94,78,47,78,2
110,78,93,62,78,47,156,140,78,141,79,79,78,78,78,63,93,94,156,62,2
94,109,63,63,78,78,187,63,47,156,109,78,94,63,78,188,78,78,78,47,2
94,47,78,62,62,63,62,62,78,63,78,63,109,78,156,62,125,63,78,63,2
63,62,47,63,78,63,140,63,78,156,109,78,94,63,78,188,78,47,47,47,2
78,47,125,156,78,78,78,63,78,78,62,31,109,47,46,93,0,31,94,78,2
94,15,125,15,47,141,47,62,31,94,63,15,125,46,1390,63,141,16,94,93,2
47,47,78,156,78,0,15,125,94,78,62,31,109,47,46,93,0,63,31,78,2
62,79,94,78,109,109,31,94,31,63,94,141,0,62,15,93,32,31,78,78,2
78,125,94,47,31,110,31,78,31,94,46,63,172,16,0,125,500,78,78,63,2
78,31,31,78,109,0,0,78,109,63,94,141,0,62,15,93,32,78,94,78,2
