@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,4,5,7,8,9,14,16,17,18,19,22,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,78,63,62,157,78,47,94,63,78,78,141,62,79,79,78,63,93,3643,2
109,62,63,63,94,78,78,63,62,47,109,156,63,109,78,94,188,78,3596,2
47,63,62,62,63,62,63,78,94,78,125,63,78,78,63,109,62,125,3406,2
62,63,47,63,94,78,63,47,47,78,78,156,63,109,78,94,188,78,3410,2
47,157,125,156,0,78,78,180,16,78,47,78,94,62,31,109,93,0,3397,2
15,94,94,15,78,47,141,187,47,31,63,94,62,63,15,125,63,141,4740,2
47,16,0,156,0,78,0,172,94,94,1312,78,94,62,31,109,93,0,7215,2
79,109,94,78,62,109,109,125,141,31,125,63,78,94,141,0,93,32,3421,2
125,93,16,47,78,31,110,125,78,31,15,94,94,46,63,172,125,500,3729,2
31,78,94,78,62,109,0,94,47,109,109,63,78,94,141,0,93,32,3667,2
