@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
125,16,94,78,93,93,188,78,78,31,62,31,109,62,78,110,78,93,125,78,32,125,1
156,16,62,109,94,78,0,78,0,31,94,31,78,63,62,94,62,125,125,62,235,125,1
109,31,125,78,109,93,188,78,0,0,62,16,78,62,78,110,78,93,125,78,32,125,1
125,16,109,125,47,47,109,203,203,47,78,63,47,94,157,31,62,31,156,78,16,62,1
47,78,16,31,31,344,94,0,1469,140,78,62,125,78,0,47,63,78,31,63,31,94,1
16,79,31,31,62,47,109,203,141,15,0,719,78,94,157,31,62,31,94,78,16,62,1
141,62,110,94,78,78,203,78,78,249,282,344,78,93,94,140,79,78,78,78,109,94,1
109,63,93,109,78,62,157,78,62,204,63,172,109,93,94,172,78,213,78,94,125,93,1
110,0,78,407,78,78,203,78,1109,63,93,203,78,93,94,140,79,78,93,78,109,94,1
156,47,47,140,78,78,79,110,110,15,47,16,94,79,63,47,15,63,48,46,109,78,1
15,63,31,93,31,15,94,31,141,0,188,78,46,63,16,78,62,31,16,16,109,16,1
63,15,16,110,16,78,79,110,438,125,32,32,93,79,63,47,15,63,16,46,109,78,1
156,16,125,109,187,187,109,157,157,156,203,94,218,63,94,203,63,47,110,141,15,94,1
125,110,109,94,109,78,141,47,172,0,93,125,297,62,16,141,62,47,531,125,63,93,1
250,110,531,93,125,187,109,157,94,156,78,140,110,63,94,203,63,47,93,141,15,94,1
125,93,125,94,94,94,125,125,125,78,109,63,78,94,125,94,78,109,94,109,62,79,1
141,78,125,94,94,94,47,109,109,32,94,140,109,78,156,47,110,187,94,109,94,94,1
109,16,94,93,109,94,125,125,125,47,140,110,110,94,125,94,78,109,94,109,62,79,1
78,63,109,63,78,78,125,94,94,219,94,109,94,78,78,110,46,94,63,110,62,94,1
109,32,62,62,78,94,31,78,94,187,62,15,94,47,94,93,78,125,63,78,109,63,1
78,78,63,63,94,78,125,94,110,234,109,0,94,78,78,110,46,94,63,110,62,94,1
93,47,110,171,94,94,47,156,156,32,15,31,141,94,250,31,125,125,78,125,0,109,1
