@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,7,8,17,18,21,23,24,25,26,27,33,34,37,38,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,15,78,63,156,16,78,0,31,109,78,109,94,110,78,78,63,110,47,94,62,172,125,2
187,78,94,78,109,63,172,0,15,109,47,93,172,141,110,250,78,156,63,47,125,78,125,2
93,32,63,93,93,32,187,187,0,78,93,63,31,78,16,94,78,94,78,15,78,16,93,2
125,32,32,93,62,16,62,110,31,78,78,47,117,94,47,47,63,94,31,172,15,46,125,2
78,78,78,93,93,32,187,109,47,63,16,63,15,94,16,94,78,94,78,15,78,16,93,2
62,141,63,78,78,219,62,62,31,47,46,63,109,94,547,63,1015,79,125,203,62,47,78,2
62,78,47,46,62,63,78,63,94,78,1015,79,125,63,31,828,62,93,110,62,485,62,63,2
31,109,78,62,78,219,62,47,78,109,79,94,219,63,547,63,1015,79,125,203,62,47,78,2
109,125,78,125,125,63,109,109,47,125,78,94,0,94,63,78,109,78,93,47,78,31,78,2
94,16,78,78,94,31,110,78,78,187,109,16,62,109,78,78,78,109,110,94,62,31,94,2
125,0,94,94,125,63,109,93,78,110,78,94,31,94,63,78,109,78,93,47,78,31,78,2
93,47,110,94,94,31,79,79,31,140,47,78,16,110,31,62,79,125,62,15,94,16,78,2
94,16,125,47,78,32,78,98,59,124,79,62,94,94,63,78,93,79,93,78,0,32,62,2
79,31,344,62,94,31,79,94,31,125,62,78,16,78,31,62,79,125,62,15,94,16,78,2
94,31,79,79,79,15,140,140,47,90,78,109,0,110,47,63,78,94,94,0,78,16,78,2
94,0,94,78,78,32,94,0,16,93,78,31,140,78,63,78,78,78,94,78,31,16,94,2
62,16,63,78,79,15,140,0,63,125,0,62,31,109,47,63,78,94,94,0,78,16,78,2
63,343,46,47,47,62,78,78,125,79,47,62,16,156,94,62,156,63,109,234,31,31,47,2
63,0,47,47,93,47,63,125,62,141,156,110,62,78,32,125,47,62,125,63,94,47,62,2
203,47,16,47,47,62,78,79,46,110,78,62,16,47,94,62,156,63,109,234,31,31,47,2
140,31,109,94,94,62,172,172,15,100,78,94,46,94,78,47,62,141,62,109,94,47,62,2
