@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,7,8,11,17,18,21,23,24,25,26,27,28,33,36,38,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
94,0,78,16,62,78,52,78,94,188,110,63,62,47,78,63,62,110,141,94,31,78,47,78,3129,1
94,47,31,94,47,63,62,79,78,78,16,94,47,109,62,110,78,94,141,0,78,78,62,63,3866,1
125,16,94,78,93,93,78,78,31,94,94,110,31,109,63,62,78,110,93,125,125,78,32,125,3953,1
156,16,62,78,94,78,78,0,31,109,62,156,31,78,47,63,62,94,125,94,125,62,235,125,3921,1
109,31,125,78,109,93,78,0,0,94,0,156,16,78,63,62,78,110,93,125,125,78,32,125,3623,1
125,16,109,125,47,47,203,203,47,62,31,31,63,47,62,94,157,31,31,31,156,78,16,62,3231,1
47,78,16,63,31,344,0,1469,140,31,94,0,62,125,78,78,0,47,78,156,31,63,31,94,4361,1
16,79,31,62,62,47,203,141,15,125,125,125,719,78,62,94,157,31,31,31,94,78,16,62,4186,1
141,62,110,94,78,78,78,78,249,88,78,78,344,78,79,93,94,140,78,47,78,78,109,94,5854,1
109,63,93,94,78,62,78,62,204,78,93,78,172,109,63,93,94,172,213,94,78,94,125,93,5009,1
110,0,78,78,78,78,78,1109,63,250,32,94,203,78,79,93,94,140,78,47,93,78,109,94,5833,1
156,47,47,140,78,78,110,110,15,110,31,78,16,94,78,79,63,47,63,31,48,46,109,78,3717,1
15,63,31,46,31,15,31,141,0,94,79,16,78,46,78,63,16,78,31,109,16,16,109,16,2360,1
63,15,16,32,16,78,110,438,125,31,93,625,32,93,78,79,63,47,63,31,16,46,109,78,3677,1
156,16,125,109,187,187,157,157,156,94,109,110,94,218,109,63,94,203,47,157,110,141,15,94,4960,1
125,110,109,94,109,78,47,172,0,172,63,125,125,297,110,62,16,141,47,172,531,125,63,93,5704,1
250,110,531,125,125,187,157,94,156,110,94,141,140,110,109,63,94,203,47,157,93,141,15,94,5814,1
125,93,125,94,94,94,125,125,78,125,94,109,63,78,62,94,125,94,109,110,94,109,62,79,4233,1
141,78,125,94,94,94,109,109,32,171,94,110,140,109,93,78,156,47,187,94,94,109,94,94,4563,1
109,16,94,78,109,94,125,125,47,141,47,125,110,110,62,94,125,94,109,110,94,109,62,79,4142,1
78,63,109,63,78,78,94,94,219,98,78,78,109,94,63,78,78,110,94,46,63,110,62,94,3677,1
109,32,62,47,78,94,78,94,187,78,78,110,15,94,109,47,94,93,125,63,63,78,109,63,3404,1
78,78,63,62,94,78,94,110,234,78,15,93,0,94,63,78,78,110,94,46,63,110,62,94,3484,1
93,47,110,171,94,94,156,156,32,140,172,94,31,141,141,94,250,31,125,16,78,125,0,109,4112,1
94,16,109,63,172,125,63,110,78,187,94,62,109,94,110,93,125,93,110,93,62,78,0,125,3546,1
250,0,62,125,78,94,156,125,79,140,16,141,15,94,141,94,250,31,125,16,125,125,0,109,4802,1
125,15,78,78,78,78,141,141,62,125,78,78,63,140,47,63,62,140,109,78,0,110,62,156,3298,1
