@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,8,9,11,15,16,18,19,23,24,25,26,27,37,39,41,43'

@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
31,94,16,94,0,0,63,16,46,16,47,93,79,0,93,47,1000,78,156,94,0,93,1
62,203,110,125,657,720,47,78,453,94,125,47,93,47,141,31,31,16,63,63,15,47,1
62,63,63,78,78,31,141,79,62,63,40,60,106,47,125,63,63,94,62,94,78,62,1
47,63,79,63,78,250,67,93,63,78,47,78,31,78,109,63,101,176,13,78,62,62,1
62,62,63,78,62,188,86,140,63,74,40,60,106,47,125,63,63,94,62,141,78,62,1
78,109,109,109,109,31,125,234,78,110,141,62,109,140,16,62,109,203,63,78,63,62,2
47,93,125,62,0,31,47,109,32,78,78,78,63,109,16,78,125,63,94,265,78,78,2
16,78,109,109,0,16,251,109,109,63,141,62,109,140,16,62,109,203,63,219,63,62,2
16,62,94,250,250,31,125,62,94,109,156,63,62,94,62,94,109,47,78,63,93,110,2
31,63,47,62,0,32,94,125,156,78,63,62,63,79,78,62,94,62,266,78,110,78,2
63,94,94,250,62,94,46,15,62,109,156,63,62,94,62,94,109,47,78,110,93,110,2
47,78,94,250,250,47,15,47,62,47,63,62,78,32,141,31,16,78,16,78,63,78,2
15,94,78,16,0,47,172,125,16,94,15,63,78,31,94,31,968,63,125,78,63,110,2
93,62,94,250,906,1000,31,203,78,91,63,62,78,32,141,31,16,78,16,15,63,78,2
16,62,78,109,109,31,140,32,78,62,16,188,359,218,47,16,16,47,62,78,47,63,2
359,63,62,47,0,15,78,47,16,62,62,63,94,94,15,62,94,156,16,78,63,47,2
78,78,78,109,0,31,32,78,78,62,16,188,359,218,47,16,16,47,62,15,47,63,2
437,78,94,140,140,31,141,16,94,94,125,63,109,62,94,62,78,94,109,78,78,62,2
15,94,94,78,0,16,62,109,125,94,78,78,63,94,109,62,109,78,78,78,78,78,2
110,94,94,140,109,16,78,16,78,62,125,63,109,62,94,62,78,94,109,94,78,62,2
4369,69,90,80,80,442,101,36,79,79,47,78,78,69,111,41,63,78,109,37,33,61,2
4,98,78,78,70,411,94,24,81,94,58,68,150,78,94,94,141,62,141,13,78,78,2
6,79,90,80,73,185,31,73,31,47,47,78,78,69,111,41,63,78,109,15,33,61,2
156,94,109,172,172,47,78,78,78,109,110,250,78,156,63,141,78,47,125,63,78,125,2
15,78,156,78,0,31,94,94,15,110,78,78,63,110,47,62,109,94,62,94,109,125,2
78,78,109,172,0,15,93,172,94,141,110,250,78,156,63,141,78,47,125,266,78,125,2
32,63,93,187,187,0,47,31,78,78,16,94,78,94,78,47,63,15,78,88,109,93,2
32,94,62,62,110,31,78,117,20,94,47,47,63,94,31,63,109,172,15,32,63,125,2
78,78,93,187,109,47,94,15,78,94,16,94,78,94,78,47,63,15,78,15,109,93,2
141,63,78,62,62,31,157,109,47,94,547,63,1015,79,125,62,63,203,62,188,47,78,2
78,47,62,78,63,94,78,125,62,63,31,828,62,93,110,93,188,62,485,172,63,63,2
109,47,78,62,47,78,62,219,47,63,547,63,1015,79,125,62,63,203,62,125,47,78,2
125,78,125,109,109,47,109,0,94,94,63,78,109,78,93,203,94,47,78,78,79,78,2
16,78,94,110,78,78,79,62,47,109,78,78,78,109,110,62,94,94,62,78,78,94,2
0,94,125,109,93,78,78,31,78,94,63,78,109,78,93,203,94,47,78,31,79,78,2
47,110,94,79,79,31,109,16,46,110,31,62,79,125,62,109,110,15,94,78,94,78,2
16,62,78,78,98,59,62,94,31,94,63,78,93,79,93,140,78,78,0,32,93,62,2
31,46,94,79,94,31,16,16,94,78,31,62,79,125,62,109,110,15,94,32,94,78,2
31,79,79,140,140,47,62,0,62,110,47,63,78,94,94,47,78,0,78,78,94,78,2
0,62,78,94,0,16,172,140,16,78,63,78,78,78,94,78,94,78,31,15,62,94,2
16,62,79,140,0,63,63,31,78,109,47,63,78,94,94,47,78,0,78,15,94,78,2
343,46,47,78,78,125,156,16,62,156,94,62,156,63,109,62,110,234,31,78,62,47,2
0,47,93,63,125,62,47,62,47,78,32,125,47,62,125,63,140,63,94,78,47,62,2
47,62,47,78,79,46,47,16,62,47,94,62,156,63,109,62,110,234,31,47,62,47,2
31,109,94,172,172,15,62,46,63,94,78,47,62,141,62,125,110,109,94,93,94,62,2
32,94,93,78,94,46,141,141,16,94,47,94,46,109,31,110,110,78,47,78,78,79,2
109,63,94,172,78,94,0,15,94,516,78,47,62,141,62,125,110,109,94,46,94,62,2
78,62,62,78,78,62,94,78,62,78,109,62,94,78,93,63,63,78,62,31,63,62,2
62,62,63,63,63,125,188,125,47,63,62,78,63,78,94,63,79,93,78,47,78,63,2
78,62,62,78,47,125,93,78,63,78,109,62,94,78,93,63,63,78,62,31,63,62,2
47,31,78,125,125,47,62,16,78,78,15,78,78,47,63,109,16,110,62,47,78,31,2
16,78,16,32,484,500,94,47,16,16,31,63,78,31,62,79,78,109,62,94,16,16,2
156,78,78,125,0,47,31,78,94,78,15,78,78,47,63,109,16,110,62,93,78,31,2
32,78,62,78,78,172,93,78,93,94,141,62,79,79,78,78,78,63,93,15,62,79,2
16,78,93,94,109,157,78,141,94,110,94,78,78,78,110,78,141,78,94,47,78,94,2
78,93,62,78,47,156,172,63,78,79,141,62,79,79,78,78,78,63,93,156,62,79,2
109,63,63,78,78,187,140,62,47,63,156,63,109,78,94,63,78,188,78,78,47,63,2
47,78,62,62,63,62,63,94,78,78,63,78,78,63,109,78,156,62,125,78,63,47,2
62,47,63,78,63,140,62,47,78,62,156,63,109,78,94,63,78,188,78,47,47,63,2
47,125,156,78,78,78,109,16,78,266,78,94,62,31,109,47,46,93,0,94,78,63,2
15,125,15,47,141,47,94,47,31,156,94,62,63,15,125,46,1390,63,141,94,93,63,2
47,78,156,78,0,15,15,94,94,31,78,94,62,31,109,47,46,93,0,31,78,63,2
79,94,78,109,109,31,125,141,31,110,63,78,94,141,0,62,15,93,32,78,78,93,2
125,94,47,31,110,31,78,78,31,156,94,94,46,63,172,16,0,125,500,78,63,78,2
31,31,78,109,0,0,187,47,109,63,63,78,94,141,0,62,15,93,32,94,78,93,2
