@relation keyboard-gender

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,62,110,110,125,78,78,31,78,78,156,141,141,16,125,110,125,203,78,16,94,109,110,78,109,16,140,47,63,94,94,125,78,187,16,94,109,32,109,79,78,62,3862,1
203,31,125,110,125,94,32,218,110,78,16,62,172,15,94,94,62,125,109,63,109,78,94,78,109,79,15,63,93,79,78,110,78,110,93,32,78,16,93,94,31,63,3611,1
78,47,78,78,125,110,94,31,78,78,156,141,125,109,125,47,78,109,94,15,63,63,93,110,129,62,109,47,63,94,94,125,78,187,16,94,63,62,47,79,78,62,3614,1
62,32,78,78,125,47,47,46,63,63,47,62,62,141,62,63,125,78,62,110,78,78,110,78,63,140,79,78,62,79,79,140,47,63,15,78,47,94,63,78,16,62,3080,1
78,47,62,93,110,94,78,78,63,62,32,93,78,157,62,79,62,125,94,203,47,78,156,94,141,62,125,47,109,47,109,94,62,125,47,78,47,47,62,63,47,78,3515,1
63,125,47,94,94,62,78,47,62,63,47,62,63,140,78,46,47,141,78,31,63,63,78,125,79,171,94,78,62,79,79,140,47,63,15,78,78,62,63,78,16,62,3141,1
94,141,93,93,157,47,47,47,78,78,250,328,328,62,172,157,93,313,47,78,125,422,47,250,1078,94,172,62,78,344,140,234,63,47,125,78,62,125,125,78,31,94,6577,1
313,109,32,31,47,110,141,62,157,46,79,31,0,62,172,344,94,140,140,235,62,359,515,63,62,188,282,62,78,78,16,93,63,94,78,62,156,16,78,62,281,79,5172,1
78,78,156,297,47,78,125,78,15,78,250,328,0,63,172,47,63,62,109,141,62,94,125,94,0,47,140,62,78,344,140,234,63,47,125,78,79,31,109,78,31,94,4420,1
93,282,93,93,94,78,78,891,78,78,234,94,94,47,94,63,984,63,63,218,47,79,109,62,78,156,78,78,78,78,63,140,94,78,828,78,78,297,78,63,219,78,6749,1
