ft1,dtfk2,dtfk3,ft4,dtsk4,dtfk7,ft7,ft9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtfk14,ft14,dtsk14,gender
0,141,62,271,380,62,0,891,47,62,125,32,15,31,62,16,78,1
94,94,78,140,79,47,141,156,125,47,63,93,125,125,62,110,78,1
47,94,63,94,62,78,78,47,62,78,78,110,62,63,63,47,78,1
78,94,62,140,79,63,125,187,125,47,63,93,125,78,62,110,78,1
31,125,78,31,172,94,16,47,0,93,140,47,46,94,78,32,78,1
46,47,109,15,78,31,63,141,93,110,829,31,78,47,157,31,109,1
0,78,93,31,172,94,78,875,0,93,140,47,46,0,78,32,78,1
78,110,78,78,62,78,31,547,32,62,78,94,0,79,78,62,63,1
0,0,47,61,52,63,62,110,78,78,62,110,94,31,78,47,78,1
47,93,94,78,62,94,47,62,32,62,78,94,0,47,78,62,63,1
16,94,78,188,78,110,31,110,78,63,78,110,125,125,78,32,125,1
16,140,109,0,78,156,31,156,78,47,62,94,94,0,62,235,125,1
31,78,78,188,78,156,16,62,78,63,78,110,125,31,78,32,125,1
16,109,125,109,203,31,63,0,16,62,157,31,31,110,78,16,62,1
78,32,31,94,0,0,62,32,78,78,0,47,156,125,63,31,94,1
79,47,31,109,203,125,719,110,16,62,157,31,31,0,78,16,62,1
62,110,94,203,78,78,344,531,234,79,94,140,47,391,78,109,94,1
63,94,109,157,78,78,172,78,281,63,94,172,94,516,94,125,93,1
0,109,407,203,78,94,203,250,234,79,94,140,47,235,78,109,94,1
47,47,140,79,110,78,16,578,63,78,63,47,31,5,46,109,78,1
63,31,93,94,31,16,78,140,31,78,16,78,109,94,16,109,16,1
15,235,110,79,110,625,32,62,63,78,63,47,31,110,46,109,78,1
16,125,109,109,157,110,94,110,94,109,94,203,157,93,141,15,94,1
110,156,94,141,47,125,125,156,93,110,16,141,172,140,125,63,93,1
110,312,93,109,157,141,140,125,94,109,94,203,157,110,141,15,94,1
93,125,94,125,125,109,63,109,94,62,125,94,110,47,109,62,79,1
78,125,94,47,109,110,140,125,47,93,156,47,94,31,109,94,94,1
16,156,93,125,125,125,110,94,94,62,125,94,110,78,109,62,79,1
63,109,63,125,94,78,109,94,93,63,78,110,46,94,110,62,94,1
32,78,62,31,78,110,15,78,78,109,94,93,63,16,78,109,63,1
78,109,63,125,94,93,0,125,93,63,78,110,46,31,110,62,94,1
47,110,171,47,156,94,31,47,15,141,250,31,16,109,125,0,109,1
16,0,110,0,63,62,109,140,62,110,125,93,93,140,78,0,125,1
0,312,109,47,156,141,15,125,15,141,250,31,16,0,125,0,109,1
15,78,78,16,141,78,63,32,47,47,62,140,78,110,110,62,156,1
15,32,125,78,63,78,78,93,78,109,78,93,109,15,94,31,78,1
31,79,78,16,141,140,63,94,47,47,62,140,78,141,110,62,156,1
47,94,109,16,203,125,16,188,157,62,94,78,94,109,109,31,110,1
16,219,94,32,78,109,0,141,110,93,109,63,78,78,78,15,78,1
110,63,94,16,203,47,16,78,157,62,94,78,94,15,109,31,110,1
