ft1,ft4,dtsk4,dtsk6,dtfk7,ft7,dtfk10,ft10,dtsk10,ft11,dtfk12,ft12,dtfk13,ft13,dtfk14,ft14,dtsk14,gender
78,31,109,79,125,78,16,188,359,47,16,47,47,15,47,46,63,2
437,31,140,219,93,16,125,63,109,94,78,94,125,78,78,78,62,2
15,62,78,110,31,109,78,78,63,109,109,78,16,78,78,63,78,2
110,31,140,94,109,16,125,63,109,94,78,94,78,94,78,78,62,2
4369,63,80,192,89,36,47,78,78,111,63,78,81,37,33,69,61,2
4,31,78,187,89,24,58,68,150,94,141,62,79,13,78,63,78,2
6,63,80,172,11,73,47,78,78,111,63,78,78,15,33,69,61,2
156,63,172,94,79,78,110,250,78,63,78,47,15,63,78,78,125,2
15,16,78,62,109,94,78,78,63,47,109,94,410,94,109,172,125,2
78,63,172,141,93,172,110,250,78,63,78,47,125,266,78,78,125,2
32,32,187,125,63,31,16,94,78,78,63,15,20,88,109,16,93,2
32,16,62,78,47,117,47,47,63,31,109,172,32,32,63,46,125,2
78,32,187,94,63,15,16,94,78,78,63,15,125,15,109,16,93,2
141,219,62,62,63,109,547,63,1015,125,63,203,62,188,47,47,78,2
78,63,78,125,79,125,31,828,62,110,188,62,47,172,63,62,63,2
109,219,62,125,94,219,547,63,1015,125,63,203,63,125,47,47,78,2
125,63,109,94,94,0,63,78,109,93,94,47,47,78,79,31,78,2
16,31,110,46,16,62,78,78,78,110,94,94,78,78,78,31,94,2
0,63,109,63,94,31,63,78,109,93,94,47,94,31,79,31,78,2
47,31,79,94,78,16,31,62,79,62,110,15,31,78,94,16,78,2
16,32,78,125,62,94,63,78,93,93,78,78,62,32,93,32,62,2
31,31,79,62,78,16,31,62,79,62,110,15,62,32,94,16,78,2
31,15,140,94,109,0,47,63,78,94,78,0,16,78,94,16,78,2
0,32,94,31,31,140,63,78,78,94,94,78,78,15,62,16,94,2
16,15,140,31,62,31,47,63,78,94,78,0,94,15,94,16,78,2
343,62,78,63,62,16,94,62,156,109,110,234,47,78,62,31,47,2
0,47,63,141,110,62,32,125,47,125,140,63,16,78,47,47,62,2
47,62,78,156,62,16,94,62,156,109,110,234,62,47,62,31,47,2
31,62,172,125,94,46,78,47,62,62,110,109,16,93,94,47,62,2
32,32,78,62,16,141,47,94,46,31,110,78,16,78,78,62,79,2
109,62,172,78,79,15,78,47,62,62,110,109,79,46,94,47,62,2
78,63,78,78,63,78,109,62,94,93,63,78,47,31,63,47,62,2
62,78,63,15,78,125,62,78,63,94,79,93,78,47,78,62,63,2
78,63,78,94,62,78,109,62,94,93,63,78,63,31,63,47,62,2
47,47,125,47,93,16,15,78,78,63,16,110,16,47,78,0,31,2
16,93,32,0,609,47,31,63,78,62,78,109,0,94,16,94,16,2
156,47,125,110,31,78,15,78,78,63,16,110,16,93,78,0,31,2
32,157,78,94,79,78,141,62,79,78,78,63,94,15,62,31,79,2
16,0,94,93,125,141,94,78,78,110,141,78,78,47,78,94,94,2
78,157,78,15,140,63,141,62,79,78,78,63,94,156,62,31,79,2
109,94,78,94,63,62,156,63,109,94,78,188,78,78,47,78,63,2
47,63,62,172,62,94,63,78,78,109,156,62,63,78,63,62,47,2
62,94,78,110,63,47,156,63,109,94,78,188,47,47,47,78,63,2
47,0,78,94,63,16,78,94,62,109,46,93,31,94,78,31,63,2
15,78,47,219,62,47,94,62,63,125,1390,63,16,94,93,0,63,2
47,0,78,110,125,94,78,94,62,109,46,93,63,31,78,31,63,2
79,62,109,78,94,141,63,78,94,0,15,93,31,78,78,32,93,2
125,78,31,109,78,78,94,94,46,172,0,125,78,78,63,93,78,2
31,62,109,120,78,47,63,78,94,0,15,93,78,94,78,32,93,2
