dtfk1,ft1,dtfk2,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk5,dtsk6,dtfk7,ft7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,sum,gender
63,343,63,46,47,47,62,78,79,63,62,16,62,94,62,63,109,234,78,110,31,3952,2
63,0,125,47,47,93,47,125,141,141,110,62,156,32,125,62,125,63,78,47,47,3300,2
203,47,63,62,47,47,62,79,110,156,62,16,922,94,62,63,109,234,47,63,31,4171,2
140,31,141,109,94,94,62,172,100,125,94,46,94,78,47,141,62,109,93,32,47,3582,2
125,32,172,94,78,93,32,94,110,62,16,141,78,47,94,109,31,78,78,47,62,3159,2
31,109,250,63,94,94,62,78,125,78,79,15,828,78,47,141,62,109,46,94,47,5580,2
63,78,78,62,62,62,63,78,79,78,63,78,62,109,62,78,93,78,31,78,47,3012,2
78,62,47,62,62,63,78,63,62,15,78,125,94,62,78,78,94,93,47,62,62,3267,2
94,78,47,62,78,62,63,47,63,94,62,78,62,109,62,78,93,78,31,125,47,3780,2
109,47,63,31,78,78,47,125,47,47,93,16,594,15,78,47,63,110,47,94,0,3142,2
47,16,31,78,110,16,93,484,47,0,609,47,110,31,63,31,62,109,94,16,94,3721,2
94,156,32,78,110,78,47,0,62,110,31,78,0,15,78,47,63,110,93,78,0,3562,2
94,32,109,78,62,62,157,78,62,94,79,78,125,141,62,79,78,63,15,94,31,4392,2
94,16,78,78,63,93,0,109,78,93,125,141,15,94,78,78,110,78,47,78,94,3658,2
110,78,93,93,78,62,157,47,94,15,140,63,0,141,62,79,78,63,156,94,31,3643,2
94,109,62,63,63,63,94,78,63,94,63,62,93,156,63,78,94,188,78,78,78,3596,2
94,47,78,78,63,62,63,63,78,172,62,94,110,63,78,63,109,62,78,62,62,3406,2
63,62,78,47,63,63,94,63,47,110,63,47,110,156,63,78,94,188,47,94,78,3410,2
78,47,157,125,156,156,0,78,180,94,63,16,0,78,94,31,109,93,94,47,31,3397,2
94,15,110,125,78,15,78,141,187,219,62,47,110,94,62,15,125,63,94,94,0,4740,2
47,47,16,78,94,156,0,0,172,110,125,94,984,78,94,31,109,93,31,156,31,7215,2
62,79,109,94,78,78,62,109,125,78,94,141,94,63,78,141,0,93,78,63,32,3421,2
78,125,0,94,63,47,78,110,125,109,78,78,120,94,94,63,172,125,78,94,93,3729,2
78,31,97,31,156,78,62,0,94,120,78,47,735,63,78,141,0,93,94,78,32,3667,2
