dtfk2,dtsk3,ft4,dtfk7,dtsk7,dtfk9,dtfk10,ft10,dtfk11,ft11,dtfk13,ft13,dtsk13,dtfk14,ft14,gender
68,65,31,89,81,172,58,68,78,94,79,13,85,78,63,2
39,104,63,11,31,74,47,78,69,111,78,15,94,33,69,2
125,109,63,79,78,78,110,250,156,63,15,63,78,78,78,2
78,63,16,109,15,141,78,78,110,47,410,94,62,109,172,2
110,78,63,93,94,828,110,250,156,63,125,266,109,78,78,2
125,93,32,63,78,562,16,94,94,78,20,88,78,109,16,2
47,93,16,47,20,94,47,47,94,31,32,32,421,63,46,2
125,93,32,63,78,719,16,94,94,78,125,15,125,109,16,2
78,78,219,63,47,78,547,63,79,125,62,188,46,47,47,2
62,46,63,79,62,125,31,828,93,110,47,172,63,63,62,2
47,62,219,94,47,79,547,63,79,125,63,125,78,47,47,2
109,125,63,94,94,109,63,78,78,93,47,78,63,79,31,2
156,78,31,16,47,63,78,78,109,110,78,78,94,78,31,2
94,94,63,94,78,843,63,78,78,93,94,31,141,79,31,2
125,94,31,78,46,172,31,62,125,62,31,78,16,94,16,2
125,47,32,62,31,62,63,78,79,93,62,32,93,93,32,2
31,62,31,78,94,609,31,62,125,62,62,32,78,94,16,2
78,79,15,109,62,94,47,63,94,94,16,78,0,94,16,2
16,78,32,31,16,31,63,78,78,94,78,15,79,62,16,2
78,78,15,62,78,781,47,63,94,94,94,15,110,94,16,2
63,47,62,62,62,62,94,62,63,109,47,78,110,62,31,2
125,47,47,110,47,156,32,125,62,125,16,78,47,47,47,2
63,47,62,62,62,922,94,62,63,109,62,47,63,62,31,2
141,94,62,94,63,94,78,47,141,62,16,93,32,94,47,2
172,78,32,16,16,78,47,94,109,31,16,78,47,78,62,2
250,94,62,79,94,828,78,47,141,62,79,46,94,94,47,2
78,62,63,63,62,62,109,62,78,93,47,31,78,63,47,2
47,62,78,78,47,94,62,78,78,94,78,47,62,78,62,2
47,78,63,62,63,62,109,62,78,93,63,31,125,63,47,2
63,78,47,93,78,594,15,78,47,63,16,47,94,78,0,2
31,110,93,609,16,110,31,63,31,62,0,94,16,16,94,2
