dtfk1,ft1,dtfk3,dtsk3,dtfk4,ft4,dtfk5,dtsk6,dtfk7,dtfk9,dtfk10,ft10,dtfk11,ft11,ft12,ft13,dtsk13,ft14,gender
140,110,94,78,94,31,109,94,109,937,125,63,62,94,94,94,78,78,2
57,4369,69,90,90,63,80,192,89,78,47,78,69,111,78,37,78,69,2
192,4,98,65,78,31,70,187,89,172,58,68,78,94,62,13,85,63,2
74,6,79,104,90,63,73,172,11,74,47,78,69,111,78,15,94,69,2
110,156,94,109,109,63,172,94,79,78,110,250,156,63,47,63,78,78,2
94,15,78,63,156,16,0,62,109,141,78,78,110,47,94,94,62,172,2
187,78,78,78,109,63,0,141,93,828,110,250,156,63,47,266,109,78,2
93,32,63,93,93,32,187,125,63,562,16,94,94,78,15,88,78,16,2
125,32,94,93,62,16,110,78,47,94,47,47,94,31,172,32,421,46,2
78,78,78,93,93,32,109,94,63,719,16,94,94,78,15,15,125,16,2
62,141,63,78,78,219,62,62,63,78,547,63,79,125,203,188,46,47,2
62,78,47,46,62,63,63,125,79,125,31,828,93,110,62,172,63,62,2
31,109,47,62,78,219,47,125,94,79,547,63,79,125,203,125,78,47,2
109,125,78,125,125,63,109,94,94,109,63,78,78,93,47,78,63,31,2
94,16,78,78,94,31,78,46,16,63,78,78,109,110,94,78,94,31,2
125,0,94,94,125,63,93,63,94,843,63,78,78,93,47,31,141,31,2
93,47,110,94,94,31,79,94,78,172,31,62,125,62,15,78,16,16,2
94,16,62,47,78,32,98,125,62,62,63,78,79,93,78,32,93,32,2
79,31,46,62,94,31,94,62,78,609,31,62,125,62,15,32,78,16,2
94,31,79,79,79,15,140,94,109,94,47,63,94,94,0,78,0,16,2
94,0,62,78,78,32,0,31,31,31,63,78,78,94,78,15,79,16,2
62,16,62,78,79,15,0,31,62,781,47,63,94,94,0,15,110,16,2
63,343,46,47,47,62,78,63,62,62,94,62,63,109,234,78,110,31,2
63,0,47,47,93,47,125,141,110,156,32,125,62,125,63,78,47,47,2
203,47,62,47,47,62,79,156,62,922,94,62,63,109,234,47,63,31,2
140,31,109,94,94,62,172,125,94,94,78,47,141,62,109,93,32,47,2
125,32,94,78,93,32,94,62,16,78,47,94,109,31,78,78,47,62,2
31,109,63,94,94,62,78,78,79,828,78,47,141,62,109,46,94,47,2
63,78,62,62,62,63,78,78,63,62,109,62,78,93,78,31,78,47,2
78,62,62,62,63,78,63,15,78,94,62,78,78,94,93,47,62,62,2
94,78,62,78,62,63,47,94,62,62,109,62,78,93,78,31,125,47,2
109,47,31,78,78,47,125,47,93,594,15,78,47,63,110,47,94,0,2
47,16,78,110,16,93,484,0,609,110,31,63,31,62,109,94,16,94,2
94,156,78,110,78,47,0,110,31,0,15,78,47,63,110,93,78,0,2
94,32,78,62,62,157,78,94,79,125,141,62,79,78,63,15,94,31,2
94,16,78,63,93,0,109,93,125,15,94,78,78,110,78,47,78,94,2
110,78,93,78,62,157,47,15,140,0,141,62,79,78,63,156,94,31,2
94,109,63,63,63,94,78,94,63,93,156,63,78,94,188,78,78,78,2
94,47,78,63,62,63,63,172,62,110,63,78,63,109,62,78,62,62,2
63,62,47,63,63,94,63,110,63,110,156,63,78,94,188,47,94,78,2
78,47,125,156,156,0,78,94,63,0,78,94,31,109,93,94,47,31,2
94,15,125,78,15,78,141,219,62,110,94,62,15,125,63,94,94,0,2
47,47,78,94,156,0,0,110,125,984,78,94,31,109,93,31,156,31,2
62,79,94,78,78,62,109,78,94,94,63,78,141,0,93,78,63,32,2
78,125,94,63,47,78,110,109,78,120,94,94,63,172,125,78,94,93,2
78,31,31,156,78,62,0,120,78,735,63,78,141,0,93,94,78,32,2
