@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,13,14,16,17,18,19,24,25,26,27,33,34,37,38,39,40,41,42'

@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
94,62,78,62,109,125,94,203,78,78,63,94,109,78,78,3310,2
94,31,140,78,16,78,62,79,125,63,109,62,94,94,109,4249,2
90,63,80,110,36,79,79,96,47,78,78,69,111,78,109,8445,2
78,31,78,65,24,81,94,94,58,68,150,78,94,62,141,4213,2
90,63,80,103,73,31,47,94,47,78,78,69,111,78,109,3365,2
109,63,172,109,78,78,109,156,110,250,78,156,63,47,125,4252,2
156,16,78,109,94,15,110,109,78,78,63,110,47,94,62,3846,2
109,63,172,109,172,94,141,125,110,250,78,156,63,47,125,5502,2
93,32,187,78,31,78,78,94,16,94,78,94,78,15,78,3638,2
62,16,62,78,117,20,94,47,47,47,63,94,31,172,15,3279,2
93,32,187,63,15,78,94,47,16,94,78,94,78,15,78,3657,2
78,219,62,47,109,47,94,109,547,63,1015,79,125,203,62,4983,2
62,63,78,78,125,62,63,109,31,828,62,93,110,62,485,5531,2
78,219,62,109,219,47,63,94,547,63,1015,79,125,203,62,5221,2
125,63,109,125,0,94,94,78,63,78,109,78,93,47,78,3750,2
94,31,110,187,62,47,109,78,78,78,78,109,110,94,62,3373,2
125,63,109,110,31,78,94,93,63,78,109,78,93,47,78,5093,2
94,31,79,140,16,46,110,78,31,62,79,125,62,15,94,3298,2
78,32,78,124,94,31,94,62,63,78,93,79,93,78,0,3122,2
94,31,79,125,16,94,78,78,31,62,79,125,62,15,94,3749,2
79,15,140,90,0,62,110,93,47,63,78,94,94,0,78,2996,2
78,32,94,93,140,16,78,63,63,78,78,78,94,78,31,3220,2
79,15,140,125,31,78,109,78,47,63,78,94,94,0,78,3423,2
47,62,78,79,16,62,156,156,94,62,156,63,109,234,31,3952,2
93,47,63,141,62,47,78,125,32,125,47,62,125,63,94,3300,2
47,62,78,110,16,62,47,63,94,62,156,63,109,234,31,4171,2
94,62,172,100,46,63,94,109,78,47,62,141,62,109,94,3582,2
93,32,78,110,141,16,94,109,47,94,46,109,31,78,47,3159,2
94,62,172,125,15,94,516,94,78,47,62,141,62,109,94,5580,2
62,63,78,79,78,62,78,94,109,62,94,78,93,78,62,3012,2
63,78,63,62,125,47,63,125,62,78,63,78,94,93,78,3267,2
62,63,78,63,78,63,78,843,109,62,94,78,93,78,62,3780,2
78,47,125,47,16,78,78,16,15,78,78,47,63,110,62,3142,2
16,93,32,47,47,16,16,63,31,63,78,31,62,109,62,3721,2
78,47,125,62,78,94,78,0,15,78,78,47,63,110,62,3562,2
62,157,78,62,78,93,94,109,141,62,79,79,78,63,93,4392,2
93,0,94,78,141,94,110,93,94,78,78,78,110,78,94,3658,2
62,157,78,94,63,78,79,78,141,62,79,79,78,63,93,3643,2
63,94,78,63,62,47,63,109,156,63,109,78,94,188,78,3596,2
62,63,62,78,94,78,78,125,63,78,78,63,109,62,125,3406,2
63,94,78,47,47,78,62,78,156,63,109,78,94,188,78,3410,2
156,0,78,180,16,78,266,47,78,94,62,31,109,93,0,3397,2
15,78,47,187,47,31,156,63,94,62,63,15,125,63,141,4740,2
156,0,78,172,94,94,31,1312,78,94,62,31,109,93,0,7215,2
78,62,109,125,141,31,110,125,63,78,94,141,0,93,32,3421,2
47,78,31,125,78,31,156,15,94,94,46,63,172,125,500,3729,2
78,62,109,94,47,109,63,109,63,78,94,141,0,93,32,3667,2
